File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/lib libcoreutils_a-utimecmp.c,0,0,2,2,2538
../samples/decompilations/coreutils/lib libcoreutils_a-renameatu.c,0,0,0,0,683
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_alnum.c,0,0,0,0,217
../samples/decompilations/coreutils/lib libcoreutils_a-chownat.c,0,0,0,0,111
../samples/decompilations/coreutils/lib libcoreutils_a-version-etc.c,0,1,2,3,2282
../samples/decompilations/coreutils/gnulib-tests bench_crc-randomb.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-dtimespec-bound.c,0,0,0,0,201
../samples/decompilations/coreutils/gnulib-tests bench_sha384-bench-sha384.c,0,0,2,2,867
../samples/decompilations/coreutils/src cksum-crctab.c,0,0,0,0,1
../samples/decompilations/coreutils/src users.c,0,0,5,5,3236
../samples/decompilations/coreutils/src cksum-digest.c,1,9,17,27,13206
../samples/decompilations/coreutils/lib libcoreutils_a-sm3.c,0,0,8,8,20677
../samples/decompilations/coreutils/src operand2sig.c,0,1,0,1,693
../samples/decompilations/coreutils/src dirname.c,1,0,2,3,1743
../samples/decompilations/coreutils/src find-mount-point.c,0,0,0,0,2
../samples/decompilations/coreutils/src rm.c,1,0,1,2,3410
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtowcs-state.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-c-strtod.c,0,0,0,0,148
../samples/decompilations/coreutils/lib libcoreutils_a-qcopy-acl.c,0,0,0,0,195
../samples/decompilations/coreutils/src pathchk.c,0,3,5,8,3246
../samples/decompilations/coreutils/src chown-core.c,0,0,1,1,5669
../samples/decompilations/coreutils/lib libcoreutils_a-memset_explicit.c,0,0,0,0,52
../samples/decompilations/coreutils/lib libcoreutils_a-posix_memalign.c,0,0,0,0,110
../samples/decompilations/coreutils/src set-fields.c,0,3,4,7,2389
../samples/decompilations/coreutils/lib libcoreutils_a-allocator.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtol.c,0,0,8,8,2363
../samples/decompilations/coreutils/src touch.c,0,0,1,1,4380
../samples/decompilations/coreutils/src kill.c,1,0,4,5,3398
../samples/decompilations/coreutils/src factor.c,14,20,59,93,34548
../samples/decompilations/coreutils/src sync.c,0,2,2,4,2281
../samples/decompilations/coreutils/lib libcoreutils_a-inttostr.c,0,0,2,2,250
../samples/decompilations/coreutils/lib libcoreutils_a-xgetcwd.c,0,0,0,0,111
../samples/decompilations/coreutils/lib libcoreutils_a-dup-safer-flag.c,0,0,0,0,64
../samples/decompilations/coreutils/lib libcoreutils_a-mountlist.c,0,3,1,4,3869
../samples/decompilations/coreutils/src dd.c,2,7,36,45,26566
../samples/decompilations/coreutils/lib libcoreutils_a-c-strcasecmp.c,0,0,1,1,250
../samples/decompilations/coreutils/src blake2 cksum-b2sum.c,0,0,1,1,441
../samples/decompilations/coreutils/lib libcoreutils_a-fprintftime.c,0,0,0,0,99
../samples/decompilations/coreutils/lib libcoreutils_a-xdectoumax.c,0,0,1,1,511
../samples/decompilations/coreutils/src cksum-cksum.c,1,0,7,8,3366
../samples/decompilations/coreutils/src ls-ls.c,0,0,0,0,1
