File,for loops,while loops,do-while loops,total loops,total nodes
editor/plugins/mesh_library_editor_plugin.c,15,15,29,59,74206
modules/openxr/extensions/openxr_huawei_controller_extension.c,0,1,8,9,20390
scene/animation/animation_player.c,6,39,85,130,358318
thirdparty/libwebp/src/enc/alpha_enc.c,0,0,4,4,6697
thirdparty/brotli/dec/bit_reader.c,0,1,1,2,918
thirdparty/recastnavigation/Recast/Source/RecastRegion.c,3,16,65,84,41592
servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,6,18,94,118,151199
scene/3d/skeleton_3d.c,14,26,81,121,403593
modules/fbx/editor/editor_scene_importer_ufbx.c,10,12,37,59,63146
thirdparty/graphite/src/CmapCache.c,0,2,2,4,3847
thirdparty/jolt_physics/Jolt/Core/Factory.c,14,13,27,54,27171
editor/file_info.c,3,19,39,61,17426
scene/3d/physics/spring_arm_3d.c,0,4,19,23,75586
scene/gui/view_panner.c,6,0,8,14,31049
thirdparty/freetype/src/base/ftinit.c,0,1,5,6,1128
thirdparty/graphite/src/FeatureMap.c,3,1,12,16,7930
thirdparty/openxr/src/loader/loader_logger_recorders.c,0,0,4,4,6378
scene/resources/2d/capsule_shape_2d.c,5,1,13,19,44622
modules/fbx/fbx_state.c,0,0,4,4,17602
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,17,2,23,42,38706
thirdparty/libvorbis/res0.c,1,2,41,44,9953
thirdparty/libwebp/src/utils/filters_utils.c,1,0,4,5,1364
thirdparty/libktx/lib/texture2.c,1,1,17,19,19926
editor/export/editor_export_platform_pc.c,4,1,28,33,68843
thirdparty/harfbuzz/src/hb-ot-face.c,0,8,12,20,7894
scene/gui/menu_button.c,7,4,24,35,75737
thirdparty/libwebp/src/dsp/ssim_sse2.c,0,0,2,2,15843
core/io/resource_uid.c,2,7,33,42,83449
thirdparty/harfbuzz/src/hb-ot-shape-fallback.c,5,5,37,47,33681
servers/rendering/renderer_rd/effects/tone_mapper.c,3,6,29,38,43978
thirdparty/mbedtls/library/ssl_tls13_server.c,5,2,4,11,21625
editor/scene_tree_dock.c,68,113,281,462,542805
thirdparty/embree/common/sys/library.c,0,0,1,1,1451
servers/rendering/renderer_rd/effects/resolve.c,1,4,30,35,35349
thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,18,38,129,185,304586
thirdparty/jolt_physics/Jolt/Core/JobSystemThreadPool.c,6,5,20,31,12291
thirdparty/brotli/common/shared_dictionary.c,1,0,0,1,940
thirdparty/mbedtls/library/x509write.c,0,0,3,3,1386
scene/resources/visual_shader_particle_nodes.c,26,15,47,88,248625
thirdparty/enet/list.c,1,0,0,1,550
modules/godot_physics_2d/godot_body_pair_2d.c,2,6,10,18,31951
