File,for loops,while loops,do-while loops,total loops,total nodes
crypto/x509/pcy_tree.c,8,2,9,19,6482
crypto/rsa/rsa_schemes.c,0,0,1,1,498
crypto/cms/cms_kari.c,1,0,0,1,5915
crypto/ml_dsa/ml_dsa_sample.c,1,2,5,8,3150
crypto/aes/aes-x86_64.c,5,3,6,14,7103
crypto/evp/e_sm4.c,0,0,1,1,1443
providers/implementations/rands/drbg.c,0,0,7,7,12732
apps/openssl-bin-dsaparam.c,0,1,0,1,2028
ssl/quic/quic_demux.c,0,5,3,8,10151
test/provider_pkey_test-bin-provider_pkey_test.c,0,3,1,4,5304
ssl/quic/quic_record_tx.c,0,5,7,12,10597
crypto/bio/bss_mem.c,0,0,1,1,4918
engines/padlock-dso-e_padlock-x86_64.c,16,3,9,28,10337
crypto/slh_dsa/slh_xmss.c,0,0,2,2,1853
crypto/md5/md5_dgst.c,0,0,3,3,2484
crypto/bn/bn_nist.c,1,0,4,5,10982
crypto/x509/v3_info.c,0,0,2,2,2099
engines/padlock-dso-e_padlock.c,2,1,14,17,18778
crypto/crmf/crmf_pbm.c,0,0,1,1,2182
crypto/cmp/cmp_hdr.c,0,1,1,2,3313
crypto/asn1/a_i2d_fp.c,1,1,0,2,1233
test/list_test-bin-list_test.c,0,0,4,4,5402
test/sslapitest-bin-tls-provider.c,1,3,28,32,44602
crypto/ocsp/ocsp_vfy.c,0,1,2,3,4339
ssl/t1_lib.c,9,15,59,83,58166
providers/implementations/ciphers/cipher_chacha20_hw.c,0,2,3,5,3371
crypto/bf/bf_enc.c,0,0,2,2,6665
crypto/x509/v3_sxnet.c,0,1,2,3,3026
crypto/bio/bio_print.c,2,4,14,20,7399
crypto/x509/x509_cmp.c,2,4,2,8,7018
crypto/ec/ecx_meth.c,2,0,0,2,9197
crypto/rc2/rc2cfb64.c,0,0,2,2,854
crypto/x86_64cpuid.c,1,2,10,13,3525
crypto/des/rand_key.c,0,0,1,1,86
apps/openssl-bin-rsautl.c,0,1,1,2,2523
ssl/quic/quic_sstream.c,0,2,8,10,6016
test/helpers/cmp_client_test-bin-cmp_testlib.c,0,1,0,1,573
crypto/slh_dsa/slh_hypertree.c,0,0,2,2,1256
ssl/record/methods/tls_common.c,2,6,18,26,24956
fuzz/hashtable-test-bin-fuzz_rand.c,0,0,1,1,1942
crypto/x509/v3_admis.c,2,2,0,4,4332
crypto/x509/v3_sda.c,1,0,1,2,882
crypto/ts/ts_conf.c,1,3,0,4,5441
crypto/ec/eck_prn.c,2,0,1,3,3560
crypto/srp/srp_vfy.c,6,2,1,9,8192
crypto/x509/v3_bitst.c,0,2,2,4,902
crypto/modes/cfb128.c,0,0,8,8,7136
crypto/engine/eng_fat.c,0,1,1,2,1607
providers/implementations/keymgmt/dsa_kmgmt.c,1,0,0,1,6278
engines/dasync-dso-e_dasync.c,0,1,0,1,7934
crypto/des/ofb64ede.c,0,0,1,1,950
fuzz/quic-lcidm-test-bin-test-corpus.c,0,1,1,2,967
providers/implementations/ciphers/cipher_rc2.c,1,0,0,1,5494
crypto/aria/aria.c,0,0,2,2,10608
crypto/engine/eng_fat.c,0,1,1,2,1607
crypto/rsa/rsa_gen.c,4,2,2,8,8153
crypto/x509/x_ietfatt.c,2,1,0,3,2007
crypto/modes/cts128.c,0,0,10,10,17558
crypto/evp/skeymgmt_meth.c,0,1,0,1,2401
test/helpers/quicapitest-bin-quictestlib.c,0,1,11,12,15422
crypto/param_build_set.c,0,0,2,2,1217
ssl/record/methods/dtls_meth.c,0,2,1,3,7923
crypto/bn/bn_div.c,0,1,4,5,2293
crypto/bn/rsaz-4k-avx512.c,0,0,2,2,6117
crypto/modes/ofb128.c,1,0,1,2,1516
crypto/x509/pcy_node.c,0,1,1,2,1628
fuzz/acert-test-bin-test-corpus.c,0,1,1,2,967
test/keymgmt_internal_test-bin-keymgmt_internal_test.c,0,0,2,2,6723
crypto/cmp/cmp_genm.c,3,0,3,6,5703
crypto/bn/rsaz-2k-avxifma.c,0,0,1,1,919
crypto/asn1/bio_asn1.c,0,2,3,5,3985
crypto/hmac/hmac.c,1,0,0,1,4053
test/quic_record_test-bin-quic_record_test.c,3,1,5,9,10317
crypto/modes/cbc128.c,0,0,3,3,8142
ssl/quic/quic_channel.c,15,4,10,29,48541
crypto/evp/skeymgmt_meth.c,0,1,0,1,2401
crypto/slh_dsa/slh_wots.c,0,0,9,9,12713
crypto/evp/signature.c,0,1,2,3,11656
test/pairwise_fail_test-bin-pairwise_fail_test.c,0,1,1,2,2410
crypto/asn1/asn1_time_test-bin-a_time.c,0,1,5,6,11281
ssl/ssl_conf.c,0,1,8,9,15828
crypto/encode_decode/encoder_lib.c,0,2,2,4,7544
test/constant_time_test-bin-constant_time_test.c,0,3,7,10,5746
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,5,3,7,15,21535
ssl/quic/quic_tls_api.c,0,1,0,1,3074
test/ext_internal_test-bin-ext_internal_test.c,0,1,1,2,379
ssl/record/rec_layer_s3.c,5,2,10,17,22561
crypto/slh_dsa/slh_dsa.c,0,0,2,2,3440
crypto/encode_decode/decoder_pkey.c,1,1,1,3,7717
crypto/bio/bf_buff.c,0,5,5,10,9890
test/quic_tserver_test-bin-quic_tserver_test.c,1,2,0,3,4786
crypto/cms/cms_lib.c,1,1,3,5,10526
crypto/evp/e_rc2.c,0,0,5,5,3002
test/packettest-bin-packettest.c,0,1,4,5,20919
providers/implementations/digests/sha3_prov.c,2,0,0,2,4859
crypto/sha/sha256-mb-x86_64.c,0,1,18,19,154584
test/siphash_internal_test-bin-siphash_internal_test.c,0,0,1,1,3927
crypto/evp/e_chacha20_poly1305.c,0,2,5,7,9915
ssl/quic/quic_rcidm.c,0,3,1,4,19461
crypto/sha/sha1-x86_64.c,0,3,5,8,68871
ssl/quic/quic_reactor.c,0,3,1,4,4038
test/quic_cfq_test-bin-quic_cfq_test.c,0,2,9,11,1563
test/recordlentest-bin-recordlentest.c,1,0,1,2,1813
fuzz/decoder-test-bin-fuzz_rand.c,0,0,1,1,1942
test/testutil/driver.c,0,2,10,12,5435
crypto/x509/t_x509.c,0,3,8,11,7299
providers/implementations/macs/kmac_prov.c,0,0,3,3,5389
crypto/evp/p_seal.c,0,0,1,1,925
crypto/cast/c_cfb64.c,0,0,2,2,1088
ssl/quic/quic_trace.c,0,0,9,9,4267
test/endecoder_legacy_test-bin-endecoder_legacy_test.c,0,0,8,8,7361
crypto/des/ofb64ede.c,0,0,1,1,950
crypto/cms/cms_lib.c,1,1,3,5,10526
test/poly1305_internal_test-bin-poly1305_internal_test.c,1,0,1,2,938
crypto/rsa/rsa_sp800_56b_gen.c,0,0,3,3,3718
ssl/quic/quic_txp.c,3,1,13,17,27072
crypto/asn1/tasn_dec.c,0,3,10,13,16620
crypto/sm3/sm3.c,0,0,4,4,19775
crypto/bn/bn_ctx.c,0,1,4,5,2909
crypto/bn/bn_recp.c,0,1,0,1,1792
crypto/modes/xts128gb.c,0,0,1,1,7149
test/ssl_test-bin-ssl_test.c,2,1,0,3,7594
crypto/evp/mac_meth.c,0,0,1,1,2758
fuzz/ml-kem-test-bin-ml-kem.c,0,0,1,1,3334
crypto/bio/bss_fd.c,0,1,0,1,2323
crypto/des/set_key.c,0,0,2,2,2266
providers/implementations/digests/blake2b_prov.c,2,0,1,3,19442
crypto/rsa/rsa_oaep.c,0,0,8,8,7572
crypto/provider_core.c,3,1,18,22,22195
test/helpers/quic_multistream_test-bin-pktsplitbio.c,0,0,3,3,1241
crypto/x509/x509cset.c,0,1,0,1,1633
