File,for loops,while loops,do-while loops,total loops,total nodes
ssl/ssl_conf.c,1,1,8,10,15652
crypto/params_from_text.c,1,0,3,4,3169
providers/implementations/kdfs/pkcs12kdf.c,3,1,6,10,3702
test/helpers/quicapitest-bin-quictestlib.c,1,1,11,13,15095
crypto/cmp/cmp_ctx.c,2,0,0,2,14794
crypto/x509/x_crl.c,3,1,2,6,7211
ssl/ssl_asn1.c,12,0,2,14,8407
crypto/des/des_enc.c,4,0,4,8,31283
ssl/tls_srp.c,8,0,0,8,9167
test/drbgtest-bin-drbgtest.c,4,1,6,11,14256
ssl/quic/json_enc.c,6,1,10,17,16162
crypto/evp/e_chacha20_poly1305.c,3,2,5,10,9203
crypto/x509/x509cset.c,3,1,0,4,1617
crypto/ec/ecp_nistz256.c,7,3,18,28,13240
providers/implementations/kdfs/sshkdf.c,3,1,0,4,3253
engines/afalg-dso-e_afalg.c,5,1,2,8,7687
ssl/t1_lib.c,11,15,59,85,56741
crypto/rsa/rsa_ossl.c,1,1,3,5,12797
ssl/statem/statem_srvr.c,10,1,7,18,50320
test/helpers/quic_newcid_test-bin-quictestlib.c,1,1,11,13,15095
providers/implementations/ciphers/ciphercommon_ccm.c,2,0,0,2,5476
test/ocspapitest-bin-ocspapitest.c,1,0,0,1,3171
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha1_hw.c,11,3,7,21,18139
crypto/err/err_save.c,3,0,6,9,4497
crypto/sha/sha1dgst.c,3,0,3,6,2959
ssl/statem/statem.c,2,0,0,2,9134
crypto/cmp/cmp_genm.c,4,0,3,7,5576
test/helpers/dtls_mtu_test-bin-ssltestlib.c,6,7,12,25,18505
test/quic_ackm_test-bin-quic_ackm_test.c,1,1,12,14,6770
test/membio_test-bin-membio_test.c,2,0,0,2,2468
crypto/ripemd/rmd_dgst.c,3,0,4,7,12981
ssl/statem/statem_dtls.c,7,6,6,19,16609
crypto/modes/ctr128.c,3,2,3,8,7144
crypto/thread/arch/thread_posix.c,2,0,0,2,2118
crypto/ml_dsa/ml_dsa_key.c,1,0,11,12,9044
crypto/bio/bio_addr.c,6,1,1,8,6292
ssl/statem/statem_clnt.c,6,0,4,10,45942
crypto/des/cbc_enc.c,2,0,2,4,2139
crypto/rc4/rc4-x86_64.c,1,1,10,12,7836
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,11,3,7,21,19668
test/helpers/sslbuffertest-bin-ssltestlib.c,6,7,12,25,18505
crypto/evp/evp_lib.c,1,0,0,1,19410
crypto/des/cfb_enc.c,2,2,4,8,6803
crypto/ui/ui_lib.c,15,4,0,19,13676
providers/implementations/macs/siphash_prov.c,4,0,0,4,3043
crypto/ec/ecp_smpl.c,4,0,8,12,22537
crypto/des/fcrypt.c,2,0,2,4,2336
crypto/md5/md5_dgst.c,3,0,3,6,2174
crypto/bn/x86_64-mont5.c,14,10,22,46,61613
ssl/quic/quic_wire.c,3,0,9,12,20203
crypto/whrlpool/wp_dgst.c,11,2,5,18,4447
crypto/bn/bn_nist.c,13,0,4,17,10586
apps/openssl-bin-passwd.c,5,4,40,49,11561
providers/implementations/digests/ripemd_prov.c,1,0,0,1,874
test/evp_xof_test-bin-evp_xof_test.c,2,0,4,6,5585
crypto/x509/x509cset.c,3,1,0,4,1617
crypto/store/store_result.c,1,1,1,3,5191
apps/openssl-bin-speed.c,58,117,129,304,102783
test/hpke_test-bin-hpke_test.c,16,4,11,31,21701
ssl/tls_srp.c,8,0,0,8,9167
crypto/modes/cbc128.c,2,0,3,5,7553
crypto/seed/seed.c,2,0,0,2,20073
ssl/quic/quic_channel.c,16,4,10,30,48263
crypto/ml_kem/ml_kem.c,6,4,64,74,136836
ssl/ssl_sess.c,17,3,5,25,25680
crypto/err/err_prn.c,2,0,3,5,2122
ssl/record/methods/tls_common.c,3,6,18,27,24718
crypto/des/ofb64ede.c,2,0,1,3,770
ssl/quic/quic_wire.c,3,0,9,12,20203
test/helpers/quic_multistream_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/sha/sha1dgst.c,3,0,3,6,2959
providers/implementations/kdfs/sskdf.c,2,3,0,5,7085
providers/implementations/digests/md5_prov.c,1,0,0,1,1040
crypto/md5/md5_dgst.c,3,0,3,6,2174
crypto/evp/encode.c,1,3,5,9,6246
crypto/aes/aes_ige.c,8,0,12,20,9944
crypto/ffc/ffc_params.c,2,1,0,3,4230
apps/apps.c,9,13,22,44,38372
crypto/poly1305/poly1305.c,1,0,2,3,1756
ssl/record/methods/dtls_meth.c,4,2,1,7,7261
ssl/quic/quic_record_rx.c,1,7,4,12,22087
engines/padlock-dso-e_padlock-x86_64.c,18,3,9,30,10337
ssl/rio/poll_builder.c,1,0,3,4,1139
crypto/rc4/rc4-x86_64.c,1,1,10,12,7836
test/quic_txp_test-bin-quic_txp_test.c,3,1,2,6,11547
crypto/modes/ocb128.c,11,3,7,21,13109
crypto/bio/bss_dgram_pair.c,5,2,5,12,13507
crypto/bn/x86_64-mont5.c,14,10,22,46,61613
test/evp_test-bin-evp_test.c,13,14,39,66,79151
test/quic_client_test-bin-quic_client_test.c,1,0,2,3,2590
ssl/quic/quic_demux.c,2,5,3,10,9642
crypto/ct/ct_oct.c,5,1,1,7,5281
crypto/des/cfb64ede.c,1,2,4,7,9071
crypto/cmac/cmac.c,1,0,6,7,5839
test/helpers/quicfaultstest-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/quicapitest-bin-ssltestlib.c,6,7,12,25,18505
crypto/err/err.c,66,2,21,89,34690
crypto/ml_kem/ml_kem.c,6,4,64,74,136836
test/helpers/quic_srt_gen_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/x509/x_crl.c,3,1,2,6,7211
