file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
scene/resources/texture.c,scene/resources/texture.c,godot,scene/resources/texture.c,2,0,0,2,scene/resources/texture.c,scene/resources/texture.c,8,5,37,50,216269,scene/resources/texture.c,9,5,37,51,215393
scene/resources/syntax_highlighter.c,scene/resources/syntax_highlighter.c,godot,scene/resources/syntax_highlighter.c,15,5,0,20,scene/resources/syntax_highlighter.c,scene/resources/syntax_highlighter.c,11,19,56,86,189178,scene/resources/syntax_highlighter.c,14,19,56,89,188438
scene/resources/audio_stream_wav.c,scene/resources/audio_stream_wav.c,godot,scene/resources/audio_stream_wav.c,27,4,0,31,scene/resources/audio_stream_wav.c,scene/resources/audio_stream_wav.c,26,11,44,81,164658,scene/resources/audio_stream_wav.c,27,11,44,82,163742
scene/resources/style_box.c,scene/resources/style_box.c,godot,scene/resources/style_box.c,2,0,0,2,scene/resources/style_box.c,scene/resources/style_box.c,4,2,22,28,101519,scene/resources/style_box.c,6,2,22,30,101160
scene/resources/curve.c,scene/resources/curve.c,godot,scene/resources/curve.c,37,3,0,40,scene/resources/curve.c,scene/resources/curve.c,12,14,133,159,521610,scene/resources/curve.c,12,14,133,159,521610
scene/resources/style_box_flat.c,scene/resources/style_box_flat.c,godot,scene/resources/style_box_flat.c,10,0,0,10,scene/resources/style_box_flat.c,scene/resources/style_box_flat.c,5,2,17,24,180463,scene/resources/style_box_flat.c,9,2,17,28,179791
scene/resources/image_texture.c,scene/resources/image_texture.c,godot,scene/resources/image_texture.c,7,0,0,7,scene/resources/image_texture.c,scene/resources/image_texture.c,19,4,40,63,160673,scene/resources/image_texture.c,23,4,40,67,159356
scene/resources/portable_compressed_texture.c,scene/resources/portable_compressed_texture.c,godot,scene/resources/portable_compressed_texture.c,2,0,0,2,scene/resources/portable_compressed_texture.c,scene/resources/portable_compressed_texture.c,7,0,36,43,104136,scene/resources/portable_compressed_texture.c,8,0,36,44,103515
scene/resources/gradient.c,scene/resources/gradient.c,godot,scene/resources/gradient.c,5,0,0,5,scene/resources/gradient.c,scene/resources/gradient.c,4,12,56,72,156751,scene/resources/gradient.c,5,12,56,73,156348
scene/resources/immediate_mesh.c,scene/resources/immediate_mesh.c,godot,scene/resources/immediate_mesh.c,3,0,0,3,scene/resources/immediate_mesh.c,scene/resources/immediate_mesh.c,10,2,27,39,83618,scene/resources/immediate_mesh.c,12,2,27,41,82830
scene/resources/3d/sky_material.c,scene/resources/3d/sky_material.c,godot,scene/resources/3d/sky_material.c,3,0,0,3,scene/resources/3d/sky_material.c,scene/resources/3d/sky_material.c,7,3,9,19,131919,scene/resources/3d/sky_material.c,8,3,9,20,131425
scene/resources/3d/mesh_library.c,scene/resources/3d/mesh_library.c,godot,scene/resources/3d/mesh_library.c,2,0,0,2,scene/resources/3d/mesh_library.c,scene/resources/3d/mesh_library.c,37,35,36,108,220699,scene/resources/3d/mesh_library.c,38,35,36,109,219358
scene/resources/3d/world_boundary_shape_3d.c,scene/resources/3d/world_boundary_shape_3d.c,godot,scene/resources/3d/world_boundary_shape_3d.c,0,0,0,0,scene/resources/3d/world_boundary_shape_3d.c,scene/resources/3d/world_boundary_shape_3d.c,5,0,12,17,39851,scene/resources/3d/world_boundary_shape_3d.c,6,0,12,18,39701
scene/resources/3d/importer_mesh.c,scene/resources/3d/importer_mesh.c,godot,scene/resources/3d/importer_mesh.c,50,1,0,51,scene/resources/3d/importer_mesh.c,scene/resources/3d/importer_mesh.c,15,39,130,184,353398,scene/resources/3d/importer_mesh.c,21,39,130,190,351218
scene/resources/3d/primitive_meshes.c,scene/resources/3d/primitive_meshes.c,godot,scene/resources/3d/primitive_meshes.c,67,2,0,69,scene/resources/3d/primitive_meshes.c,scene/resources/3d/primitive_meshes.c,25,28,109,162,575163,scene/resources/3d/primitive_meshes.c,39,28,111,178,572045
scene/resources/3d/height_map_shape_3d.c,scene/resources/3d/height_map_shape_3d.c,godot,scene/resources/3d/height_map_shape_3d.c,8,2,0,10,scene/resources/3d/height_map_shape_3d.c,scene/resources/3d/height_map_shape_3d.c,5,1,29,35,87146,scene/resources/3d/height_map_shape_3d.c,6,1,29,36,86686
scene/resources/3d/fog_material.c,scene/resources/3d/fog_material.c,godot,scene/resources/3d/fog_material.c,0,0,0,0,scene/resources/3d/fog_material.c,scene/resources/3d/fog_material.c,5,0,18,23,62930,scene/resources/3d/fog_material.c,6,0,18,24,62692
scene/resources/visual_shader.c,scene/resources/visual_shader.c,godot,scene/resources/visual_shader.c,74,19,0,93,scene/resources/visual_shader.c,scene/resources/visual_shader.c,83,176,402,661,1062677,scene/resources/visual_shader.c,112,176,401,689,1055528
scene/resources/atlas_texture.c,scene/resources/atlas_texture.c,godot,scene/resources/atlas_texture.c,0,0,0,0,scene/resources/atlas_texture.c,scene/resources/atlas_texture.c,6,2,17,25,83250,scene/resources/atlas_texture.c,7,2,17,26,82791
scene/resources/material.c,scene/resources/material.c,godot,scene/resources/material.c,5,2,0,7,scene/resources/material.c,scene/resources/material.c,19,39,137,195,730012,scene/resources/material.c,23,39,137,199,726037
scene/resources/compressed_texture.c,scene/resources/compressed_texture.c,godot,scene/resources/compressed_texture.c,5,0,0,5,scene/resources/compressed_texture.c,scene/resources/compressed_texture.c,16,2,15,33,109167,scene/resources/compressed_texture.c,19,2,15,36,107885
scene/resources/curve_texture.c,scene/resources/curve_texture.c,godot,scene/resources/curve_texture.c,8,0,0,8,scene/resources/curve_texture.c,scene/resources/curve_texture.c,11,5,34,50,89364,scene/resources/curve_texture.c,12,5,34,51,88853
scene/resources/resource_format_text.c,scene/resources/resource_format_text.c,godot,scene/resources/resource_format_text.c,11,19,0,30,scene/resources/resource_format_text.c,scene/resources/resource_format_text.c,9,61,174,244,266641,scene/resources/resource_format_text.c,12,57,172,241,256762
scene/resources/animation.c,scene/resources/animation.c,godot,scene/resources/animation.c,103,18,0,121,scene/resources/animation.c,scene/resources/animation.c,41,168,404,613,1001560,scene/resources/animation.c,60,165,403,628,997849
scene/resources/visual_shader_nodes.c,scene/resources/visual_shader_nodes.c,godot,scene/resources/visual_shader_nodes.c,4,0,0,4,scene/resources/visual_shader_nodes.c,scene/resources/visual_shader_nodes.c,90,14,170,274,1650322,scene/resources/visual_shader_nodes.c,94,14,170,278,1640458
scene/resources/particle_process_material.c,scene/resources/particle_process_material.c,godot,scene/resources/particle_process_material.c,1,1,0,2,scene/resources/particle_process_material.c,scene/resources/particle_process_material.c,6,11,41,58,449853,scene/resources/particle_process_material.c,32,11,41,84,442173
scene/resources/packed_scene.c,scene/resources/packed_scene.c,godot,scene/resources/packed_scene.c,45,6,2,51,scene/resources/packed_scene.c,scene/resources/packed_scene.c,37,53,165,255,377469,scene/resources/packed_scene.c,41,53,157,251,364788
scene/resources/surface_tool.c,scene/resources/surface_tool.c,godot,scene/resources/surface_tool.c,47,0,0,47,scene/resources/surface_tool.c,scene/resources/surface_tool.c,6,25,88,119,307010,scene/resources/surface_tool.c,14,25,88,127,305729
scene/resources/mesh_data_tool.c,scene/resources/mesh_data_tool.c,godot,scene/resources/mesh_data_tool.c,7,0,0,7,scene/resources/mesh_data_tool.c,scene/resources/mesh_data_tool.c,3,6,34,43,228186,scene/resources/mesh_data_tool.c,9,6,34,49,226778
scene/resources/2d/skeleton/skeleton_modification_2d_jiggle.c,scene/resources/2d/skeleton/skeleton_modification_2d_jiggle.c,godot,scene/resources/2d/skeleton/skeleton_modification_2d_jiggle.c,4,0,0,4,scene/resources/2d/skeleton/skeleton_modification_2d_jiggle.c,scene/resources/2d/skeleton/skeleton_modification_2d_jiggle.c,5,3,14,22,187685,scene/resources/2d/skeleton/skeleton_modification_2d_jiggle.c,6,3,14,23,186762
scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,godot,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,0,0,0,0,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,5,1,10,16,74752,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,6,1,10,17,74443
scene/resources/2d/skeleton/skeleton_modification_2d_fabrik.c,scene/resources/2d/skeleton/skeleton_modification_2d_fabrik.c,godot,scene/resources/2d/skeleton/skeleton_modification_2d_fabrik.c,5,2,0,7,scene/resources/2d/skeleton/skeleton_modification_2d_fabrik.c,scene/resources/2d/skeleton/skeleton_modification_2d_fabrik.c,5,11,35,51,128140,scene/resources/2d/skeleton/skeleton_modification_2d_fabrik.c,6,11,35,52,127733
scene/resources/2d/skeleton/skeleton_modification_2d.c,scene/resources/2d/skeleton/skeleton_modification_2d.c,godot,scene/resources/2d/skeleton/skeleton_modification_2d.c,0,0,0,0,scene/resources/2d/skeleton/skeleton_modification_2d.c,scene/resources/2d/skeleton/skeleton_modification_2d.c,4,1,22,27,82874,scene/resources/2d/skeleton/skeleton_modification_2d.c,6,1,22,29,82494
scene/resources/2d/navigation_polygon.c,scene/resources/2d/navigation_polygon.c,godot,scene/resources/2d/navigation_polygon.c,17,0,0,17,scene/resources/2d/navigation_polygon.c,scene/resources/2d/navigation_polygon.c,4,17,57,78,278443,scene/resources/2d/navigation_polygon.c,5,17,57,79,277599
scene/resources/2d/tile_set.c,scene/resources/2d/tile_set.c,godot,scene/resources/2d/tile_set.c,102,25,0,127,scene/resources/2d/tile_set.c,scene/resources/2d/tile_set.c,117,237,708,1062,1751213,scene/resources/2d/tile_set.c,173,237,704,1114,1732198
scene/resources/theme.c,scene/resources/theme.c,godot,scene/resources/theme.c,18,1,0,19,scene/resources/theme.c,scene/resources/theme.c,32,107,243,382,615093,scene/resources/theme.c,32,107,242,381,611793
scene/resources/mesh.c,scene/resources/mesh.c,godot,scene/resources/mesh.c,73,0,2,73,scene/resources/mesh.c,scene/resources/mesh.c,22,33,110,165,630816,scene/resources/mesh.c,28,33,110,171,627264
scene/resources/visual_shader_particle_nodes.c,scene/resources/visual_shader_particle_nodes.c,godot,scene/resources/visual_shader_particle_nodes.c,15,0,0,15,scene/resources/visual_shader_particle_nodes.c,scene/resources/visual_shader_particle_nodes.c,26,15,47,88,248625,scene/resources/visual_shader_particle_nodes.c,27,15,47,89,246884
scene/resources/multimesh.c,scene/resources/multimesh.c,godot,scene/resources/multimesh.c,8,0,0,8,scene/resources/multimesh.c,scene/resources/multimesh.c,4,0,20,24,207134,scene/resources/multimesh.c,5,0,20,25,206440
scene/resources/shader.c,scene/resources/shader.c,godot,scene/resources/shader.c,0,0,0,0,scene/resources/shader.c,scene/resources/shader.c,6,14,61,81,156930,scene/resources/shader.c,13,14,61,88,154963
scene/resources/font.c,scene/resources/font.c,godot,scene/resources/font.c,64,6,0,70,scene/resources/font.c,scene/resources/font.c,21,57,144,222,1384417,scene/resources/font.c,38,56,144,238,1374461
scene/resources/shader_include.c,scene/resources/shader_include.c,godot,scene/resources/shader_include.c,0,0,0,0,scene/resources/shader_include.c,scene/resources/shader_include.c,7,4,18,29,56971,scene/resources/shader_include.c,8,4,18,30,56487
scene/resources/video_stream.c,scene/resources/video_stream.c,godot,scene/resources/video_stream.c,0,0,0,0,scene/resources/video_stream.c,scene/resources/video_stream.c,5,2,15,22,96594,scene/resources/video_stream.c,8,2,15,25,96120
scene/resources/style_box_texture.c,scene/resources/style_box_texture.c,godot,scene/resources/style_box_texture.c,2,0,0,2,scene/resources/style_box_texture.c,scene/resources/style_box_texture.c,5,0,8,13,109791,scene/resources/style_box_texture.c,8,0,8,16,109357
scene/resources/audio_stream_polyphonic.c,scene/resources/audio_stream_polyphonic.c,godot,scene/resources/audio_stream_polyphonic.c,3,1,0,4,scene/resources/audio_stream_polyphonic.c,scene/resources/audio_stream_polyphonic.c,13,2,23,38,100369,scene/resources/audio_stream_polyphonic.c,17,2,23,42,99435
scene/register_scene_types.c,scene/register_scene_types.c,godot,scene/register_scene_types.c,3,0,0,3,scene/register_scene_types.c,scene/register_scene_types.c,93,3,41,137,1124158,scene/register_scene_types.c,137,3,41,181,1105080
scene/3d/cpu_particles_3d.c,scene/3d/cpu_particles_3d.c,godot,scene/3d/cpu_particles_3d.c,9,2,0,11,scene/3d/cpu_particles_3d.c,scene/3d/cpu_particles_3d.c,33,17,71,121,459283,scene/3d/cpu_particles_3d.c,44,17,71,132,456130
scene/3d/gpu_particles_collision_3d.c,scene/3d/gpu_particles_collision_3d.c,godot,scene/3d/gpu_particles_collision_3d.c,12,5,0,17,scene/3d/gpu_particles_collision_3d.c,scene/3d/gpu_particles_collision_3d.c,16,10,51,77,253869,scene/3d/gpu_particles_collision_3d.c,18,10,51,79,252619
scene/3d/decal.c,scene/3d/decal.c,godot,scene/3d/decal.c,0,0,0,0,scene/3d/decal.c,scene/3d/decal.c,5,1,13,19,111039,scene/3d/decal.c,6,1,13,20,110605
scene/3d/world_environment.c,scene/3d/world_environment.c,godot,scene/3d/world_environment.c,0,0,0,0,scene/3d/world_environment.c,scene/3d/world_environment.c,3,1,9,13,66998,scene/3d/world_environment.c,4,1,9,14,66211
scene/3d/velocity_tracker_3d.c,scene/3d/velocity_tracker_3d.c,godot,scene/3d/velocity_tracker_3d.c,2,0,0,2,scene/3d/velocity_tracker_3d.c,scene/3d/velocity_tracker_3d.c,2,0,10,12,39757,scene/3d/velocity_tracker_3d.c,3,0,10,13,39523
scene/3d/skeleton_ik_3d.c,scene/3d/skeleton_ik_3d.c,godot,scene/3d/skeleton_ik_3d.c,4,5,0,9,scene/3d/skeleton_ik_3d.c,scene/3d/skeleton_ik_3d.c,5,4,20,29,153083,scene/3d/skeleton_ik_3d.c,7,4,20,31,152483
scene/3d/gpu_particles_3d.c,scene/3d/gpu_particles_3d.c,godot,scene/3d/gpu_particles_3d.c,9,0,0,9,scene/3d/gpu_particles_3d.c,scene/3d/gpu_particles_3d.c,7,10,25,42,265701,scene/3d/gpu_particles_3d.c,11,10,25,46,258840
scene/3d/skeleton_3d.c,scene/3d/skeleton_3d.c,godot,scene/3d/skeleton_3d.c,24,3,0,27,scene/3d/skeleton_3d.c,scene/3d/skeleton_3d.c,14,26,81,121,403593,scene/3d/skeleton_3d.c,17,26,81,124,401848
scene/3d/skeleton_modifier_3d.c,scene/3d/skeleton_modifier_3d.c,godot,scene/3d/skeleton_modifier_3d.c,0,0,0,0,scene/3d/skeleton_modifier_3d.c,scene/3d/skeleton_modifier_3d.c,4,3,15,22,57405,scene/3d/skeleton_modifier_3d.c,4,3,15,22,57387
scene/3d/multimesh_instance_3d.c,scene/3d/multimesh_instance_3d.c,godot,scene/3d/multimesh_instance_3d.c,2,0,0,2,scene/3d/multimesh_instance_3d.c,scene/3d/multimesh_instance_3d.c,5,0,6,11,36294,scene/3d/multimesh_instance_3d.c,6,0,6,12,35997
scene/3d/voxel_gi.c,scene/3d/voxel_gi.c,godot,scene/3d/voxel_gi.c,4,1,0,5,scene/3d/voxel_gi.c,scene/3d/voxel_gi.c,12,4,31,47,203400,scene/3d/voxel_gi.c,14,4,29,47,200560
scene/3d/xr_nodes.c,scene/3d/xr_nodes.c,godot,scene/3d/xr_nodes.c,4,0,0,4,scene/3d/xr_nodes.c,scene/3d/xr_nodes.c,10,17,53,80,193516,scene/3d/xr_nodes.c,11,17,52,80,192012
scene/3d/node_3d.c,scene/3d/node_3d.c,godot,scene/3d/node_3d.c,4,2,0,6,scene/3d/node_3d.c,scene/3d/node_3d.c,9,5,24,38,256357,scene/3d/node_3d.c,12,5,24,41,255354
scene/3d/camera_3d.c,scene/3d/camera_3d.c,godot,scene/3d/camera_3d.c,2,0,0,2,scene/3d/camera_3d.c,scene/3d/camera_3d.c,5,5,17,27,265843,scene/3d/camera_3d.c,7,5,17,29,264866
scene/3d/mesh_instance_3d.c,scene/3d/mesh_instance_3d.c,godot,scene/3d/mesh_instance_3d.c,19,0,0,19,scene/3d/mesh_instance_3d.c,scene/3d/mesh_instance_3d.c,21,8,58,87,227268,scene/3d/mesh_instance_3d.c,23,8,58,89,225642
scene/3d/physics/character_body_3d.c,scene/3d/physics/character_body_3d.c,godot,scene/3d/physics/character_body_3d.c,4,0,0,4,scene/3d/physics/character_body_3d.c,scene/3d/physics/character_body_3d.c,17,8,32,57,226926,scene/3d/physics/character_body_3d.c,22,8,32,62,225542
scene/3d/physics/physics_body_3d.c,scene/3d/physics/physics_body_3d.c,godot,scene/3d/physics/physics_body_3d.c,1,0,0,1,scene/3d/physics/physics_body_3d.c,scene/3d/physics/physics_body_3d.c,9,1,25,35,88199,scene/3d/physics/physics_body_3d.c,13,1,25,39,87500
scene/3d/physics/joints/generic_6dof_joint_3d.c,scene/3d/physics/joints/generic_6dof_joint_3d.c,godot,scene/3d/physics/joints/generic_6dof_joint_3d.c,2,0,0,2,scene/3d/physics/joints/generic_6dof_joint_3d.c,scene/3d/physics/joints/generic_6dof_joint_3d.c,5,0,31,36,123806,scene/3d/physics/joints/generic_6dof_joint_3d.c,14,0,31,45,123560
scene/3d/physics/collision_polygon_3d.c,scene/3d/physics/collision_polygon_3d.c,godot,scene/3d/physics/collision_polygon_3d.c,2,0,0,2,scene/3d/physics/collision_polygon_3d.c,scene/3d/physics/collision_polygon_3d.c,4,2,12,18,77213,scene/3d/physics/collision_polygon_3d.c,5,2,12,19,76722
scene/3d/physics/collision_shape_3d.c,scene/3d/physics/collision_shape_3d.c,godot,scene/3d/physics/collision_shape_3d.c,3,0,0,3,scene/3d/physics/collision_shape_3d.c,scene/3d/physics/collision_shape_3d.c,5,6,21,32,83575,scene/3d/physics/collision_shape_3d.c,6,6,21,33,82995
scene/3d/physics/collision_object_3d.c,scene/3d/physics/collision_object_3d.c,godot,scene/3d/physics/collision_object_3d.c,8,1,0,9,scene/3d/physics/collision_object_3d.c,scene/3d/physics/collision_object_3d.c,11,38,73,122,264905,scene/3d/physics/collision_object_3d.c,16,38,73,127,262031
scene/3d/voxelizer.c,scene/3d/voxelizer.c,godot,scene/3d/voxelizer.c,43,3,0,46,scene/3d/voxelizer.c,scene/3d/voxelizer.c,6,14,82,102,103571,scene/3d/voxelizer.c,18,14,79,111,100701
scene/3d/audio_stream_player_3d.c,scene/3d/audio_stream_player_3d.c,godot,scene/3d/audio_stream_player_3d.c,10,0,0,10,scene/3d/audio_stream_player_3d.c,scene/3d/audio_stream_player_3d.c,5,8,47,60,208962,scene/3d/audio_stream_player_3d.c,6,8,47,61,208196
