file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
scene/animation/animation_player.c,scene/animation/animation_player.c,6,39,85,130,358318,scene/animation/animation_player.c,6,39,85,130,358151
thirdparty/libwebp/src/enc/alpha_enc.c,thirdparty/libwebp/src/enc/alpha_enc.c,0,0,4,4,6697,thirdparty/libwebp/src/enc/alpha_enc.c,1,0,4,5,6627
servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,6,18,94,118,151199,servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,10,18,93,121,150011
scene/3d/skeleton_3d.c,scene/3d/skeleton_3d.c,14,26,81,121,403593,scene/3d/skeleton_3d.c,17,26,81,124,401848
modules/fbx/editor/editor_scene_importer_ufbx.c,modules/fbx/editor/editor_scene_importer_ufbx.c,10,12,37,59,63146,modules/fbx/editor/editor_scene_importer_ufbx.c,13,12,37,62,62214
thirdparty/jolt_physics/jolt/core/factory.c,thirdparty/jolt_physics/Jolt/Core/Factory.c,14,13,27,54,27171,thirdparty/jolt_physics/Jolt/Core/Factory.c,18,13,27,58,25901
scene/gui/view_panner.c,scene/gui/view_panner.c,6,0,8,14,31049,scene/gui/view_panner.c,7,0,8,15,30517
thirdparty/openxr/src/loader/loader_logger_recorders.c,thirdparty/openxr/src/loader/loader_logger_recorders.c,0,0,4,4,6378,thirdparty/openxr/src/loader/loader_logger_recorders.c,2,0,4,6,6135
thirdparty/jolt_physics/jolt/physics/collision/shape/compoundshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,17,2,23,42,38706,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,17,2,23,42,38706
thirdparty/libktx/lib/texture2.c,thirdparty/libktx/lib/texture2.c,1,1,17,19,19926,thirdparty/libktx/lib/texture2.c,4,1,17,22,19324
thirdparty/harfbuzz/src/hb-ot-face.c,thirdparty/harfbuzz/src/hb-ot-face.c,0,8,12,20,7894,thirdparty/harfbuzz/src/hb-ot-face.c,2,8,12,22,7300
scene/gui/menu_button.c,scene/gui/menu_button.c,7,4,24,35,75737,scene/gui/menu_button.c,7,4,24,35,75737
thirdparty/libwebp/src/dsp/ssim_sse2.c,thirdparty/libwebp/src/dsp/ssim_sse2.c,0,0,2,2,15843,thirdparty/libwebp/src/dsp/ssim_sse2.c,3,0,2,5,15495
servers/rendering/renderer_rd/effects/tone_mapper.c,servers/rendering/renderer_rd/effects/tone_mapper.c,3,6,29,38,43978,servers/rendering/renderer_rd/effects/tone_mapper.c,4,6,29,39,43825
editor/scene_tree_dock.c,editor/scene_tree_dock.c,68,113,281,462,542805,editor/scene_tree_dock.c,59,102,254,415,528306
thirdparty/glslang/glslang/machineindependent/linkvalidate.c,thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,18,38,129,185,304586,thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,21,38,128,187,303684
scene/resources/visual_shader_particle_nodes.c,scene/resources/visual_shader_particle_nodes.c,26,15,47,88,248625,scene/resources/visual_shader_particle_nodes.c,27,15,47,89,246884
modules/godot_physics_2d/godot_body_pair_2d.c,modules/godot_physics_2d/godot_body_pair_2d.c,2,6,10,18,31951,modules/godot_physics_2d/godot_body_pair_2d.c,4,6,10,20,31618
servers/rendering/renderer_rd/effects/copy_effects.c,servers/rendering/renderer_rd/effects/copy_effects.c,12,22,156,190,176320,servers/rendering/renderer_rd/effects/copy_effects.c,25,22,156,203,174937
