File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/godot/editor plugins mesh_library_editor_plugin.linuxbsd.editor.x86_64.c,15,15,29,59,74206
../samples/decompilations/godot/modules openxr extensions openxr_huawei_controller_extension.linuxbsd.editor.x86_64.c,0,1,8,9,20390
../samples/decompilations/godot/scene animation animation_player.linuxbsd.editor.x86_64.c,6,39,85,130,358318
../samples/decompilations/godot/thirdparty libwebp src enc alpha_enc.linuxbsd.editor.x86_64.c,0,0,4,4,6697
../samples/decompilations/godot/thirdparty brotli dec bit_reader.linuxbsd.editor.x86_64.c,0,1,1,2,918
../samples/decompilations/godot/thirdparty recastnavigation Recast Source RecastRegion.linuxbsd.editor.x86_64.c,3,16,65,84,41592
../samples/decompilations/godot/servers rendering renderer_rd forward_mobile scene_shader_forward_mobile.linuxbsd.editor.x86_64.c,6,18,94,118,151199
../samples/decompilations/godot/scene 3d skeleton_3d.linuxbsd.editor.x86_64.c,14,26,81,121,403593
../samples/decompilations/godot/thirdparty cvtt ConvectionKernels_BC7_PrioData.linuxbsd.editor.x86_64.c,0,0,0,0,167
../samples/decompilations/godot/modules fbx editor editor_scene_importer_ufbx.linuxbsd.editor.x86_64.c,10,12,37,59,63146
../samples/decompilations/godot/thirdparty jolt_physics Jolt Physics Constraints Constraint.linuxbsd.editor.x86_64.c,0,0,0,0,5145
../samples/decompilations/godot/thirdparty graphite src CmapCache.linuxbsd.editor.x86_64.c,0,2,2,4,3847
../samples/decompilations/godot/modules raycast register_types.linuxbsd.editor.x86_64.c,0,0,0,0,220
../samples/decompilations/godot/thirdparty jolt_physics Jolt Core Factory.linuxbsd.editor.x86_64.c,14,13,27,54,27171
../samples/decompilations/godot/editor file_info.linuxbsd.editor.x86_64.c,3,19,39,61,17426
../samples/decompilations/godot/scene 3d physics spring_arm_3d.linuxbsd.editor.x86_64.c,0,4,19,23,75586
../samples/decompilations/godot/scene gui view_panner.linuxbsd.editor.x86_64.c,6,0,8,14,31049
../samples/decompilations/godot/thirdparty freetype src base ftinit.linuxbsd.editor.x86_64.c,0,1,5,6,1128
../samples/decompilations/godot/thirdparty graphite src FeatureMap.linuxbsd.editor.x86_64.c,3,1,12,16,7930
../samples/decompilations/godot/modules godot_physics_2d register_types.linuxbsd.editor.x86_64.c,0,0,0,0,1685
../samples/decompilations/godot/thirdparty thorvg src renderer tvgAccessor.linuxbsd.editor.x86_64.c,0,0,0,0,2376
../samples/decompilations/godot/thirdparty openxr src loader loader_logger_recorders.linuxbsd.editor.x86_64.c,0,0,4,4,6378
../samples/decompilations/godot/scene resources 2d capsule_shape_2d.linuxbsd.editor.x86_64.c,5,1,13,19,44622
../samples/decompilations/godot/modules fbx fbx_state.linuxbsd.editor.x86_64.c,0,0,4,4,17602
../samples/decompilations/godot/modules jolt_physics joints jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0,15123
../samples/decompilations/godot/thirdparty jolt_physics Jolt Physics Collision Shape CompoundShape.linuxbsd.editor.x86_64.c,17,2,23,42,38706
../samples/decompilations/godot/thirdparty libvorbis res0.linuxbsd.editor.x86_64.c,1,2,41,44,9953
../samples/decompilations/godot/thirdparty libwebp src utils filters_utils.linuxbsd.editor.x86_64.c,1,0,4,5,1364
../samples/decompilations/godot/thirdparty libktx lib texture2.linuxbsd.editor.x86_64.c,1,1,17,19,19926
../samples/decompilations/godot/editor export editor_export_platform_pc.linuxbsd.editor.x86_64.c,4,1,28,33,68843
../samples/decompilations/godot/thirdparty harfbuzz src hb-ot-face.linuxbsd.editor.x86_64.c,0,8,12,20,7894
../samples/decompilations/godot/scene gui menu_button.linuxbsd.editor.x86_64.c,7,4,24,35,75737
../samples/decompilations/godot/thirdparty libwebp src dsp ssim_sse2.linuxbsd.editor.x86_64.c,0,0,2,2,15843
../samples/decompilations/godot/core io resource_uid.linuxbsd.editor.x86_64.c,2,7,33,42,83449
../samples/decompilations/godot/thirdparty icu4c common servlk.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/thirdparty harfbuzz src hb-ot-shape-fallback.linuxbsd.editor.x86_64.c,5,5,37,47,33681
../samples/decompilations/godot/servers rendering renderer_rd effects tone_mapper.linuxbsd.editor.x86_64.c,3,6,29,38,43978
../samples/decompilations/godot/thirdparty mbedtls library ssl_tls13_server.linuxbsd.editor.x86_64.c,5,2,4,11,21625
../samples/decompilations/godot/editor scene_tree_dock.linuxbsd.editor.x86_64.c,68,113,281,462,542805
../samples/decompilations/godot/thirdparty thorvg src loaders svg tvgSvgSceneBuilder.linuxbsd.editor.x86_64.c,0,0,0,0,1463
../samples/decompilations/godot/thirdparty embree common sys library.linuxbsd.editor.x86_64.c,0,0,1,1,1451
../samples/decompilations/godot/servers rendering renderer_rd effects resolve.linuxbsd.editor.x86_64.c,1,4,30,35,35349
../samples/decompilations/godot/thirdparty glslang glslang MachineIndependent linkValidate.linuxbsd.editor.x86_64.c,18,38,129,185,304586
../samples/decompilations/godot/thirdparty jolt_physics Jolt Core JobSystemThreadPool.linuxbsd.editor.x86_64.c,6,5,20,31,12291
../samples/decompilations/godot/thirdparty brotli common shared_dictionary.linuxbsd.editor.x86_64.c,1,0,0,1,940
../samples/decompilations/godot/thirdparty mbedtls library x509write.linuxbsd.editor.x86_64.c,0,0,3,3,1386
../samples/decompilations/godot/scene resources visual_shader_particle_nodes.linuxbsd.editor.x86_64.c,26,15,47,88,248625
../samples/decompilations/godot/thirdparty enet list.linuxbsd.editor.x86_64.c,1,0,0,1,550
../samples/decompilations/godot/modules godot_physics_2d godot_body_pair_2d.linuxbsd.editor.x86_64.c,2,6,10,18,31951
../samples/decompilations/godot/thirdparty libwebp src dsp dec_clip_tables.linuxbsd.editor.x86_64.c,0,0,0,0,16
../samples/decompilations/godot/thirdparty meshoptimizer indexgenerator.linuxbsd.editor.x86_64.c,8,12,33,53,12125
../samples/decompilations/godot/thirdparty libwebp src dsp lossless_enc_mips_dsp_r2.linuxbsd.editor.x86_64.c,0,0,0,0,16
../samples/decompilations/godot/thirdparty pcre2 src pcre2_xclass_32.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/thirdparty harfbuzz src hb-font.linuxbsd.editor.x86_64.c,0,10,19,29,68214
../samples/decompilations/godot/servers rendering renderer_rd effects copy_effects.linuxbsd.editor.x86_64.c,12,22,156,190,176320
../samples/decompilations/godot/drivers pulseaudio audio_driver_pulseaudio.linuxbsd.editor.x86_64.c,2,13,12,27,47752
../samples/decompilations/godot/core variant variant_parser.linuxbsd.editor.x86_64.c,13,26,82,121,170821
../samples/decompilations/godot/editor project_manager project_list.linuxbsd.editor.x86_64.c,25,38,78,141,184869
../samples/decompilations/godot/editor plugins navigation_link_2d_editor_plugin.linuxbsd.editor.x86_64.c,7,2,11,20,42424
../samples/decompilations/godot/modules gltf structures gltf_skin.linuxbsd.editor.x86_64.c,8,20,35,63,117331
../samples/decompilations/godot/thirdparty embree kernels geometry primitive4.linuxbsd.editor.x86_64.c,10,0,0,10,4891
../samples/decompilations/godot/modules vhacd register_types.linuxbsd.editor.x86_64.c,1,3,9,13,11698
../samples/decompilations/godot/editor property_selector.linuxbsd.editor.x86_64.c,14,14,33,61,94283
../samples/decompilations/godot/servers display native_menu.linuxbsd.editor.x86_64.c,2,1,27,30,302364
../samples/decompilations/godot/thirdparty pcre2 src pcre2_auto_possess_16.linuxbsd.editor.x86_64.c,1,3,9,13,8159
../samples/decompilations/godot/scene theme theme_owner.linuxbsd.editor.x86_64.c,7,13,8,28,14082
../samples/decompilations/godot/thirdparty icu4c common ustack.linuxbsd.editor.x86_64.c,0,0,0,0,914
../samples/decompilations/godot/scene gui link_button.linuxbsd.editor.x86_64.c,5,0,9,14,108154
../samples/decompilations/godot/modules multiplayer scene_replication_config.linuxbsd.editor.x86_64.c,14,1,39,54,107630
