File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-pcy_tree.c,8,2,9,19,6482
../samples/decompilations/openssl/crypto pkcs12 libcrypto-lib-p12_crpt.c,0,0,0,0,763
../samples/decompilations/openssl/crypto rsa libcrypto-shlib-rsa_schemes.c,0,0,1,1,498
../samples/decompilations/openssl/test quic_ackm_test-bin-cc_dummy.c,0,0,0,0,762
../samples/decompilations/openssl/crypto cms libcrypto-lib-cms_kari.c,1,0,0,1,5915
../samples/decompilations/openssl/crypto ml_dsa libcrypto-shlib-ml_dsa_sample.c,1,2,5,8,3150
../samples/decompilations/openssl/crypto store libcrypto-lib-store_init.c,0,0,0,0,23
../samples/decompilations/openssl/test nodefltctxtest-bin-nodefltctxtest.c,0,0,0,0,313
../samples/decompilations/openssl/crypto aes libcrypto-lib-aes-x86_64.c,5,3,6,14,7103
../samples/decompilations/openssl/crypto evp libcrypto-shlib-e_sm4.c,0,0,1,1,1443
../samples/decompilations/openssl/providers implementations rands libdefault-lib-drbg.c,0,0,7,7,12732
../samples/decompilations/openssl/apps openssl-bin-dsaparam.c,0,1,0,1,2028
../samples/decompilations/openssl/crypto pkcs7 libcrypto-lib-pkcs7err.c,0,0,0,0,65
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_demux.c,0,5,3,8,10151
../samples/decompilations/openssl/test provider_pkey_test-bin-provider_pkey_test.c,0,3,1,4,5304
../samples/decompilations/openssl/ssl quic libssl-lib-quic_record_tx.c,0,5,7,12,10597
../samples/decompilations/openssl/crypto des libcrypto-lib-ecb3_enc.c,0,0,0,0,194
../samples/decompilations/openssl/crypto bio libcrypto-lib-bss_mem.c,0,0,1,1,4918
../samples/decompilations/openssl/providers implementations ciphers liblegacy-lib-cipher_rc4_hmac_md5_hw.c,0,0,0,0,4932
../samples/decompilations/openssl/ssl libssl-shlib-ssl_err_legacy.c,0,0,0,0,27
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-x_attrib.c,0,0,0,0,2064
../samples/decompilations/openssl/crypto thread arch libssl-shlib-thread_posix.c,0,0,0,0,2270
../samples/decompilations/openssl/engines padlock-dso-e_padlock-x86_64.c,16,3,9,28,10337
../samples/decompilations/openssl/crypto asn1 libcrypto-shlib-d2i_pr.c,0,0,0,0,2736
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_aria_ccm_hw.c,0,0,0,0,219
../samples/decompilations/openssl/crypto slh_dsa libcrypto-lib-slh_xmss.c,0,0,2,2,1853
../samples/decompilations/openssl/crypto ec libcrypto-lib-ec_deprecated.c,0,0,0,0,637
../samples/decompilations/openssl/providers implementations encode_decode libdefault-lib-encode_key2blob.c,0,0,0,0,1083
../samples/decompilations/openssl/crypto rsa libcrypto-lib-rsa_mp_names.c,0,0,0,0,1
../samples/decompilations/openssl/crypto md5 libcrypto-lib-md5_dgst.c,0,0,3,3,2484
../samples/decompilations/openssl/crypto bn libcrypto-shlib-bn_nist.c,1,0,4,5,10982
../samples/decompilations/openssl/test testutil libtestutil-lib-apps_shims.c,0,0,0,0,187
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-v3_info.c,0,0,2,2,2099
../samples/decompilations/openssl/ssl libssl-shlib-ssl_utst.c,0,0,0,0,1
../samples/decompilations/openssl/engines padlock-dso-e_padlock.c,2,1,14,17,18778
../samples/decompilations/openssl/crypto crmf libcrypto-shlib-crmf_pbm.c,0,0,1,1,2182
../samples/decompilations/openssl/crypto cmp libcrypto-lib-cmp_hdr.c,0,1,1,2,3313
../samples/decompilations/openssl/crypto evp libcrypto-lib-evp_fetch.c,0,0,0,0,7158
../samples/decompilations/openssl/crypto dh libcrypto-lib-dh_err.c,0,0,0,0,65
../samples/decompilations/openssl/crypto asn1 libcrypto-lib-asn1_err.c,0,0,0,0,65
