File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-acl-errno-valid.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-se-label.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-randread.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-umaxtostr.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc yes.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-filevercmp.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests timespec-sub.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-arpa_inet.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-mini-mpq-gnulib.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-readtokens.c,1,2,2,5,1481
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-c32islower.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unistr libcoreutils_a-u32-strlen.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-progname.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc operand2sig.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-xfts.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-freading.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc b2sum-digest.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc fmt.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-md5-stream.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc lbracket.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib unictype libcoreutils_a-ctype_alnum.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledlib libcoreutils_a-canon-host.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledgnulib-tests timespec-add.c,0,0,0,0,1
../samples/decompilations/coreutils/rerolled/rerolledsrc selinux.c,0,0,0,0,1
