File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/godot/rerolled/rerolledmodules godot_physics_2d godot_area_2d.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledmodules cvtt image_compress_cvtt.linuxbsd.editor.x86_64.c,3,0,13,16,11940
../samples/decompilations/godot/rerolled/rerolledthirdparty glslang SPIRV SPVRemapper.linuxbsd.editor.x86_64.c,31,77,85,193,136825
../samples/decompilations/godot/rerolled/rerolledmodules jolt_physics joints jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledthirdparty glslang SPIRV SpvTools.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledscene resources 3d shape_3d.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledservers rendering renderer_rd storage_rd texture_storage.linuxbsd.editor.x86_64.c,30,66,182,278,293567
../samples/decompilations/godot/rerolled/rerolledrerolledthirdparty libwebp src dsp filters_sse2.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledscene resources syntax_highlighter.linuxbsd.editor.x86_64.c,14,19,56,89,188438
../samples/decompilations/godot/rerolled/rerolledthirdparty pcre2 src pcre2_tables_16.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty icu4c common ucnvlat1.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerollededitor gui editor_spin_slider.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerollededitor export editor_export_plugin.linuxbsd.editor.x86_64.c,7,5,33,45,200339
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledmodules jolt_physics joints jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledmodules navigation nav_agent.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledscene 3d world_environment.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty enet list.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty graphite src FeatureMap.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledscene 3d physics joints pin_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledthirdparty misc pcg.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty harfbuzz src hb-ot-face.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty msdfgen core MSDFErrorCorrection.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty icu4c common ucnv.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty jolt_physics Jolt Physics Collision GroupFilter.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty volk volk.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty libwebp src dsp filters_neon.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty libvorbis bitrate.linuxbsd.editor.x86_64.c,2,0,5,7,4699
../samples/decompilations/godot/rerolled/rerolledthirdparty icu4c common udataswp.linuxbsd.editor.x86_64.c,3,0,5,8,5225
../samples/decompilations/godot/rerolled/rerolledrerolledthirdparty embree kernels bvh bvh_statistics.linuxbsd.editor.x86_64.c,49,0,21,70,77349
../samples/decompilations/godot/rerolled/rerolledmodules gdscript gdscript_byte_codegen.linuxbsd.editor.x86_64.c,45,75,176,296,324967
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty openxr src loader runtime_interface.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty pcre2 src pcre2_xclass_16.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledmain steam_tracker.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledcore math quaternion.linuxbsd.editor.x86_64.c,1,0,0,1,20535
../samples/decompilations/godot/rerolled/rerolledrerolledrerollededitor debugger debug_adapter debug_adapter_parser.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty libwebp src dsp filters_sse2.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty etcpak DecodeRGB.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledmodules gdscript language_server gdscript_workspace.linuxbsd.editor.x86_64.c,15,32,128,175,222290
../samples/decompilations/godot/rerolled/rerolledplatform linuxbsd godot_linuxbsd.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledthirdparty icu4c common filteredbrk.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerollededitor import_dock.linuxbsd.editor.x86_64.c,21,31,104,156,174956
../samples/decompilations/godot/rerolled/rerolledrerolledthirdparty miniupnpc src minisoap.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledservers rendering renderer_rd effects copy_effects.linuxbsd.editor.x86_64.c,25,22,156,203,174937
../samples/decompilations/godot/rerolled/rerolledthirdparty embree common lexers stringstream.linuxbsd.editor.x86_64.c,3,2,6,11,37367
../samples/decompilations/godot/rerolled/rerolledrerolledscene property_utils.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty thorvg src renderer tvgInitializer.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerollededitor plugins abstract_polygon_2d_editor.linuxbsd.editor.x86_64.c,10,8,16,34,77585
../samples/decompilations/godot/rerolled/rerolledscene gui button.linuxbsd.editor.x86_64.c,6,2,10,18,201132
../samples/decompilations/godot/rerolled/rerolledthirdparty libwebp sharpyuv sharpyuv_cpu.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledservers rendering shader_compiler.linuxbsd.editor.x86_64.c,25,74,197,296,242078
../samples/decompilations/godot/rerolled/rerolledrerolledcore os mutex.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledthirdparty pcre2 src pcre2_dfa_match_16.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledrerolledrerolledscene gui button.linuxbsd.editor.x86_64.c,6,2,10,18,201132
../samples/decompilations/godot/rerolled/rerollededitor plugins skeleton_ik_3d_editor_plugin.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledthirdparty icu4c common bytestrie.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolledmodules websocket websocket_peer.linuxbsd.editor.x86_64.c,0,0,0,0,1
../samples/decompilations/godot/rerolled/rerolleddrivers png resource_saver_png.linuxbsd.editor.x86_64.c,0,0,0,0,1
