File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-pcy_tree.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto pkcs12 libcrypto-lib-p12_crpt.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-shlib-rsa_schemes.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test quic_ackm_test-bin-cc_dummy.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto cms libcrypto-lib-cms_kari.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ml_dsa libcrypto-shlib-ml_dsa_sample.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto store libcrypto-lib-store_init.c,0,0,0,0
../samples/decompilations/rerolled/openssl/test nodefltctxtest-bin-nodefltctxtest.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto aes libcrypto-lib-aes-x86_64.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto evp libcrypto-shlib-e_sm4.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations rands libdefault-lib-drbg.c,0,0,0,0
../samples/decompilations/rerolled/openssl/apps openssl-bin-dsaparam.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto pkcs7 libcrypto-lib-pkcs7err.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-shlib-quic_demux.c,2,5,3,10
../samples/decompilations/rerolled/openssl/test provider_pkey_test-bin-provider_pkey_test.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl quic libssl-lib-quic_record_tx.c,1,5,7,13
../samples/decompilations/rerolled/openssl/crypto des libcrypto-lib-ecb3_enc.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto bio libcrypto-lib-bss_mem.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers liblegacy-lib-cipher_rc4_hmac_md5_hw.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl libssl-shlib-ssl_err_legacy.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-x_attrib.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto thread arch libssl-shlib-thread_posix.c,2,0,0,2
../samples/decompilations/rerolled/openssl/engines padlock-dso-e_padlock-x86_64.c,18,3,9,30
../samples/decompilations/rerolled/openssl/crypto asn1 libcrypto-shlib-d2i_pr.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations ciphers libdefault-lib-cipher_aria_ccm_hw.c,1,0,0,1
../samples/decompilations/rerolled/openssl/crypto slh_dsa libcrypto-lib-slh_xmss.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto ec libcrypto-lib-ec_deprecated.c,0,0,0,0
../samples/decompilations/rerolled/openssl/providers implementations encode_decode libdefault-lib-encode_key2blob.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto rsa libcrypto-lib-rsa_mp_names.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto md5 libcrypto-lib-md5_dgst.c,3,0,3,6
../samples/decompilations/rerolled/openssl/crypto bn libcrypto-shlib-bn_nist.c,13,0,4,17
../samples/decompilations/rerolled/openssl/test testutil libtestutil-lib-apps_shims.c,0,0,0,0
../samples/decompilations/rerolled/openssl/crypto x509 libcrypto-shlib-v3_info.c,0,0,0,0
../samples/decompilations/rerolled/openssl/ssl libssl-shlib-ssl_utst.c,0,0,0,0
../samples/decompilations/rerolled/openssl/engines padlock-dso-e_padlock.c,3,1,14,18
