File,for/loops,while/loops,do-while/loops,total
lib/libcoreutils_a-utimecmp.c,0,0,2,2
lib/libcoreutils_a-version-etc.c,0,1,2,3
gnulib-tests/bench_sha384-bench-sha384.c,0,0,2,2
src/users.c,0,0,5,5
src/cksum-digest.c,1,9,17,27
lib/libcoreutils_a-sm3.c,0,0,8,8
src/operand2sig.c,0,1,0,1
src/dirname.c,1,0,2,3
src/rm.c,1,0,1,2
src/pathchk.c,0,3,5,8
src/chown-core.c,0,0,1,1
src/set-fields.c,0,3,4,7
lib/libcoreutils_a-xstrtol.c,0,0,8,8
src/touch.c,0,0,1,1
src/kill.c,1,0,4,5
src/factor.c,14,20,59,93
src/sync.c,0,2,2,4
lib/libcoreutils_a-inttostr.c,0,0,2,2
lib/libcoreutils_a-mountlist.c,0,3,1,4
src/dd.c,2,7,36,45
lib/libcoreutils_a-c-strcasecmp.c,0,0,1,1
src/blake2/cksum-b2sum.c,0,0,1,1
lib/libcoreutils_a-xdectoumax.c,0,0,1,1
src/cksum-cksum.c,1,0,7,8
lib/libcoreutils_a-randperm.c,1,1,2,4
lib/libcoreutils_a-gettime-res.c,0,1,2,3
lib/libcoreutils_a-basename-lgpl.c,0,2,2,4
lib/libcoreutils_a-mktime.c,0,2,2,4
src/shuf.c,4,3,4,11
lib/libcoreutils_a-offtostr.c,0,0,2,2
lib/libcoreutils_a-mkancesdirs.c,0,1,2,3
src/libcksum_avx2_a-cksum_avx2.c,0,0,3,3
src/cut.c,1,6,17,24
src/printf.c,1,6,8,15
lib/libcoreutils_a-hash-pjw.c,0,0,1,1
lib/libcoreutils_a-xstrtoimax.c,0,0,8,8
lib/libcoreutils_a-linebuffer.c,0,0,1,1
src/relpath.c,0,2,1,3
src/fmt.c,5,4,16,25
src/printenv.c,3,3,1,7
src/temp-stream.c,0,1,0,1
lib/libcoreutils_a-full-write.c,0,0,1,1
lib/libcoreutils_a-printf-args.c,0,0,1,1
src/sha256sum-digest.c,1,8,12,21
src/rmdir.c,0,1,5,6
lib/libcoreutils_a-rand-isaac.c,0,0,4,4
lib/libcoreutils_a-sig2str.c,0,0,2,2
lib/libcoreutils_a-areadlink-with-size.c,0,0,1,1
src/yes.c,0,1,4,5
src/uptime.c,0,0,2,2
lib/libcoreutils_a-crc-x86_64-pclmul.c,17,0,3,20
lib/libcoreutils_a-human.c,0,2,5,7
src/head.c,0,6,15,21
src/libcksum_pclmul_a-cksum_pclmul.c,10,0,5,15
lib/libcoreutils_a-dirname-lgpl.c,0,0,2,2
src/dircolors.c,1,6,7,14
lib/libcoreutils_a-printf-parse.c,0,3,13,16
src/mkfifo.c,0,1,3,4
lib/libcoreutils_a-base32.c,0,1,3,4
lib/libcoreutils_a-posixtm.c,0,1,2,3
lib/unistr/libcoreutils_a-u32-strlen.c,0,0,1,1
src/timeout.c,0,1,2,3
lib/libcoreutils_a-strnumcmp.c,1,7,28,36
src/wc.c,1,5,11,17
lib/libcoreutils_a-ldtoastr.c,0,1,0,1
lib/libcoreutils_a-xgethostname.c,0,1,0,1
