File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-utimecmp.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-renameatu.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_alnum.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-chownat.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-version-etc.c,0,1,2,3
../samples/decompilations/coreutils/gnulib-tests bench_crc-randomb.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-dtimespec-bound.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests bench_sha384-bench-sha384.c,0,0,2,2
../samples/decompilations/coreutils/src cksum-crctab.c,0,0,0,0
../samples/decompilations/coreutils/src users.c,0,0,5,5
../samples/decompilations/coreutils/src cksum-digest.c,1,9,17,27
../samples/decompilations/coreutils/lib libcoreutils_a-sm3.c,0,0,8,8
../samples/decompilations/coreutils/src operand2sig.c,0,1,0,1
../samples/decompilations/coreutils/src dirname.c,1,0,2,3
../samples/decompilations/coreutils/src find-mount-point.c,0,0,0,0
../samples/decompilations/coreutils/src rm.c,1,0,1,2
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtowcs-state.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c-strtod.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-qcopy-acl.c,0,0,0,0
../samples/decompilations/coreutils/src pathchk.c,0,3,5,8
../samples/decompilations/coreutils/src chown-core.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-memset_explicit.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-posix_memalign.c,0,0,0,0
../samples/decompilations/coreutils/src set-fields.c,0,3,4,7
../samples/decompilations/coreutils/lib libcoreutils_a-allocator.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtol.c,0,0,8,8
../samples/decompilations/coreutils/src touch.c,0,0,1,1
../samples/decompilations/coreutils/src kill.c,1,0,4,5
../samples/decompilations/coreutils/src factor.c,14,20,59,93
../samples/decompilations/coreutils/src sync.c,0,2,2,4
../samples/decompilations/coreutils/lib libcoreutils_a-inttostr.c,0,0,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-xgetcwd.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-dup-safer-flag.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mountlist.c,0,3,1,4
../samples/decompilations/coreutils/src dd.c,2,7,36,45
../samples/decompilations/coreutils/lib libcoreutils_a-c-strcasecmp.c,0,0,1,1
../samples/decompilations/coreutils/src blake2 cksum-b2sum.c,0,0,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-fprintftime.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xdectoumax.c,0,0,1,1
../samples/decompilations/coreutils/src cksum-cksum.c,1,0,7,8
../samples/decompilations/coreutils/src ls-ls.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-randperm.c,1,1,2,4
../samples/decompilations/coreutils/lib libcoreutils_a-copy-acl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-utimens.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-fd-safer-flag.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-openat-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isupper.c,0,0,0,0
../samples/decompilations/coreutils/src chown-chown.c,0,0,0,0
