File,for/loops,while/loops,do-while/loops,total
editor/plugins/mesh_library_editor_plugin.c,15,15,29,59
modules/openxr/extensions/openxr_huawei_controller_extension.c,0,1,8,9
scene/animation/animation_player.c,6,39,85,130
thirdparty/libwebp/src/enc/alpha_enc.c,0,0,4,4
thirdparty/brotli/dec/bit_reader.c,0,1,1,2
thirdparty/recastnavigation/Recast/Source/RecastRegion.c,3,15,65,83
servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,6,18,94,118
scene/3d/skeleton_3d.c,13,26,81,120
thirdparty/cvtt/ConvectionKernels_BC7_PrioData.c,0,0,0,0
modules/fbx/editor/editor_scene_importer_ufbx.c,10,12,37,59
thirdparty/jolt_physics/Jolt/Physics/Constraints/Constraint.c,0,0,0,0
thirdparty/graphite/src/CmapCache.c,0,2,2,4
modules/raycast/register_types.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Core/Factory.c,14,13,27,54
editor/file_info.c,3,19,39,61
scene/3d/physics/spring_arm_3d.c,0,4,19,23
scene/gui/view_panner.c,6,0,8,14
thirdparty/freetype/src/base/ftinit.c,0,1,5,6
thirdparty/graphite/src/FeatureMap.c,3,1,12,16
modules/godot_physics_2d/register_types.c,0,0,0,0
thirdparty/thorvg/src/renderer/tvgAccessor.c,0,0,0,0
thirdparty/openxr/src/loader/loader_logger_recorders.c,0,0,4,4
scene/resources/2d/capsule_shape_2d.c,5,1,13,19
modules/fbx/fbx_state.c,0,0,4,4
modules/jolt_physics/joints/jolt_hinge_joint_3d.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,16,3,18,37
thirdparty/libvorbis/res0.c,1,2,41,44
thirdparty/libwebp/src/utils/filters_utils.c,1,0,4,5
thirdparty/libktx/lib/texture2.c,1,1,17,19
editor/export/editor_export_platform_pc.c,4,1,28,33
thirdparty/harfbuzz/src/hb-ot-face.c,0,8,12,20
scene/gui/menu_button.c,7,4,24,35
thirdparty/libwebp/src/dsp/ssim_sse2.c,0,0,2,2
core/io/resource_uid.c,2,7,33,42
thirdparty/icu4c/common/servlk.c,0,0,0,0
thirdparty/harfbuzz/src/hb-ot-shape-fallback.c,5,5,37,47
servers/rendering/renderer_rd/effects/tone_mapper.c,3,6,29,38
thirdparty/mbedtls/library/ssl_tls13_server.c,5,2,4,11
editor/scene_tree_dock.c,68,113,281,462
thirdparty/thorvg/src/loaders/svg/tvgSvgSceneBuilder.c,0,0,0,0
thirdparty/embree/common/sys/library.c,0,0,1,1
servers/rendering/renderer_rd/effects/resolve.c,1,4,30,35
thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,18,38,129,185
thirdparty/jolt_physics/Jolt/Core/JobSystemThreadPool.c,6,5,20,31
thirdparty/brotli/common/shared_dictionary.c,1,0,0,1
thirdparty/mbedtls/library/x509write.c,0,0,3,3
scene/resources/visual_shader_particle_nodes.c,26,15,47,88
thirdparty/enet/list.c,1,0,0,1
modules/godot_physics_2d/godot_body_pair_2d.c,2,6,10,18
thirdparty/libwebp/src/dsp/dec_clip_tables.c,0,0,0,0
thirdparty/meshoptimizer/indexgenerator.c,8,12,33,53
thirdparty/libwebp/src/dsp/lossless_enc_mips_dsp_r2.c,0,0,0,0
thirdparty/pcre2/src/pcre2_xclass_32.c,0,0,0,0
thirdparty/harfbuzz/src/hb-font.c,0,10,19,29
servers/rendering/renderer_rd/effects/copy_effects.c,12,22,156,190
drivers/pulseaudio/audio_driver_pulseaudio.c,2,13,12,27
core/variant/variant_parser.c,13,26,82,121
editor/project_manager/project_list.c,25,38,78,141
editor/plugins/navigation_link_2d_editor_plugin.c,7,2,11,20
modules/gltf/structures/gltf_skin.c,8,20,35,63
thirdparty/embree/kernels/geometry/primitive4.c,10,0,0,10
modules/vhacd/register_types.c,1,3,9,13
editor/property_selector.c,14,14,33,61
servers/display/native_menu.c,2,1,27,30
thirdparty/pcre2/src/pcre2_auto_possess_16.c,1,3,9,13
scene/theme/theme_owner.c,7,13,8,28
thirdparty/icu4c/common/ustack.c,0,0,0,0
scene/gui/link_button.c,5,0,9,14
modules/multiplayer/scene_replication_config.c,14,1,39,54
thirdparty/libwebp/src/dsp/upsampling_mips_dsp_r2.c,0,0,0,0
modules/navigation/register_types.c,0,0,1,1
thirdparty/zstd/decompress/huf_decompress_amd64.c,4,1,1,6
platform/linuxbsd/fontconfig-so_wrap.c,0,0,0,0
scene/3d/world_environment.c,3,1,9,13
thirdparty/libvorbis/registry.c,0,0,0,0
core/io/translation_loader_po.c,4,11,16,31
editor/gui/editor_file_dialog.c,34,47,107,188
modules/dds/texture_loader_dds.c,3,1,26,30
modules/openxr/extensions/openxr_fb_foveation_extension.c,0,1,8,9
core/math/quaternion.c,0,0,0,0
thirdparty/freetype/src/base/ftdebug.c,0,0,0,0
thirdparty/pcre2/src/pcre2_tables_32.c,0,0,0,0
drivers/gles3/storage/particles_storage.c,2,42,69,113
modules/gdscript/editor/gdscript_highlighter.c,17,23,70,110
editor/gui/editor_scene_tabs.c,11,12,27,50
scene/2d/physics/shape_cast_2d.c,6,9,23,38
editor/plugins/polygon_3d_editor_plugin.c,16,8,23,47
thirdparty/icu4c/common/ucnvisci.c,0,0,0,0
servers/audio/effects/audio_effect_distortion.c,8,9,20,37
core/io/image.c,11,24,389,424
servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,23,106,274,403
thirdparty/meshoptimizer/overdrawoptimizer.c,3,1,14,18
thirdparty/icu4c/common/uset.c,0,1,1,2
editor/plugins/gizmos/marker_3d_gizmo_plugin.c,9,0,12,21
scene/resources/2d/world_boundary_shape_2d.c,5,1,14,20
scene/animation/animation_node_extension.c,5,2,21,28
thirdparty/icu4c/common/uinit.c,0,0,0,0
thirdparty/libktx/lib/dfdutils/createdfd.c,0,1,11,12
thirdparty/icu4c/common/uloc_keytype.c,0,7,11,18
modules/basis_universal/register_types.c,0,0,0,0
editor/plugins/gizmos/joint_3d_gizmo_plugin.c,5,9,12,26
thirdparty/volk/volk.c,0,0,0,0
modules/godot_physics_3d/godot_collision_solver_3d_sat.c,0,3,5,8
servers/rendering/renderer_rd/uniform_set_cache_rd.c,2,1,18,21
thirdparty/libwebp/src/dsp/lossless_enc_sse2.c,2,1,35,38
thirdparty/mbedtls/library/pk.c,0,0,0,0
modules/gltf/skin_tool.c,22,53,118,193
servers/audio/effects/audio_effect_reverb.c,7,1,29,37
thirdparty/embree/kernels/common/alloc.c,0,11,26,37
editor/plugins/gizmos/light_3d_gizmo_plugin.c,5,4,12,21
thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,28,43,108,179
thirdparty/libwebp/src/enc/backward_references_enc.c,4,12,32,48
thirdparty/pcre2/src/pcre2_extuni_32.c,0,0,0,0
thirdparty/harfbuzz/src/hb-ot-shaper-indic-table.c,0,0,0,0
thirdparty/jpeg-compressor/jpgd.c,7,18,86,111
core/io/http_client_tcp.c,3,3,26,32
thirdparty/astcenc/astcenc_color_unquantize.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,3
thirdparty/icu4c/common/charstr.c,0,1,3,4
thirdparty/libwebp/src/enc/picture_enc.c,2,0,0,2
modules/gdscript/gdscript_function.c,5,12,61,78
thirdparty/graphite/src/gr_face.c,0,0,2,2
scene/resources/sprite_frames.c,9,39,108,156
thirdparty/libwebp/sharpyuv/sharpyuv.c,0,3,16,19
thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterBinning.c,0,0,10,10
core/io/file_access_compressed.c,3,2,7,12
thirdparty/mbedtls/library/x509write_csr.c,0,0,0,0
platform/linuxbsd/freedesktop_screensaver.c,0,0,2,2
core/variant/variant.c,1,40,116,157
modules/webrtc/webrtc_data_channel.c,4,0,21,25
thirdparty/openxr/src/loader/loader_logger.c,7,16,17,40
thirdparty/embree/kernels/builders/primrefgen.c,0,9,38,47
thirdparty/mbedtls/library/x509_csr.c,2,0,2,4
modules/navigation/nav_agent.c,0,0,0,0
thirdparty/icu4c/common/propsvec.c,0,1,3,4
thirdparty/mbedtls/library/entropy_poll.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleAntiRollBar.c,0,0,0,0
thirdparty/meshoptimizer/vcacheoptimizer.c,2,4,16,22
thirdparty/jolt_physics/Jolt/Geometry/OrientedBox.c,0,0,5,5
thirdparty/icu4c/common/umath.c,0,0,0,0
thirdparty/freetype/src/cache/ftcache.c,0,15,26,41
modules/multiplayer/scene_rpc_interface.c,2,14,66,82
editor/create_dialog.c,20,51,117,188
modules/jolt_physics/shapes/jolt_world_boundary_shape_3d.c,0,0,3,3
thirdparty/libwebp/src/dec/alpha_dec.c,0,0,1,1
thirdparty/harfbuzz/src/hb-ucd.c,0,0,2,2
thirdparty/icu4c/common/filteredbrk.c,0,3,10,13
thirdparty/icu4c/common/umutex.c,0,2,1,3
platform/linuxbsd/speechd-so_wrap.c,0,0,0,0
thirdparty/minizip/ioapi.c,0,0,0,0
thirdparty/icu4c/common/rbbistbl.c,0,0,1,1
editor/filesystem_dock.c,44,99,269,412
thirdparty/thorvg/src/renderer/sw_engine/tvgSwRenderer.c,0,2,15,17
thirdparty/astcenc/astcenc_quantization.c,0,0,0,0
modules/svg/register_types.c,0,0,0,0
modules/camera/register_types.c,0,0,0,0
modules/godot_physics_2d/godot_collision_object_2d.c,1,4,6,11
servers/rendering/renderer_rd/effects/sort_effects.c,1,2,8,11
thirdparty/zlib/inffast.c,0,2,6,8
modules/tga/image_loader_tga.c,3,5,14,22
modules/openxr/extensions/platform/openxr_vulkan_extension.c,1,1,12,14
scene/3d/physics/character_body_3d.c,17,8,32,57
core/object/undo_redo.c,6,9,41,56
modules/openxr/action_map/openxr_action_map.c,5,3,31,39
thirdparty/freetype/src/base/ftpatent.c,0,0,0,0
modules/upnp/upnp_miniupnp.c,4,3,13,20
scene/gui/button.c,6,2,10,18
modules/enet/enet_packet_peer.c,4,1,29,34
thirdparty/misc/fastlz.c,2,5,20,27
thirdparty/glslang/SPIRV/InReadableOrder.c,2,5,3,10
thirdparty/icu4c/common/ucnv_io.c,0,0,0,0
editor/debugger/editor_expression_evaluator.c,10,10,22,42
core/object/worker_thread_pool.c,6,20,78,104
thirdparty/libvorbis/psy.c,1,15,38,54
thirdparty/graphite/src/gr_slot.c,0,0,0,0
core/io/packed_data_container.c,6,6,69,81
thirdparty/icu4c/common/resbund.c,0,0,0,0
editor/gui/editor_validation_panel.c,11,6,28,45
thirdparty/meshoptimizer/allocator.c,0,0,0,0
modules/openxr/editor/openxr_select_runtime.c,8,2,20,30
drivers/coremidi/midi_driver_coremidi.c,0,0,0,0
thirdparty/msdfgen/core/msdf-error-correction.c,0,2,13,15
scene/gui/spin_box.c,6,10,18,34
thirdparty/mbedtls/library/sha256.c,4,0,10,14
