File,for loops,while loops,do-while loops,total
../samples/decompilations/godot/editor plugins mesh_library_editor_plugin.linuxbsd.editor.x86_64.c,15,15,29,59
../samples/decompilations/godot/modules openxr extensions openxr_huawei_controller_extension.linuxbsd.editor.x86_64.c,0,1,8,9
../samples/decompilations/godot/scene animation animation_player.linuxbsd.editor.x86_64.c,6,39,85,130
../samples/decompilations/godot/thirdparty libwebp src enc alpha_enc.linuxbsd.editor.x86_64.c,0,0,4,4
../samples/decompilations/godot/thirdparty brotli dec bit_reader.linuxbsd.editor.x86_64.c,0,1,1,2
../samples/decompilations/godot/thirdparty recastnavigation Recast Source RecastRegion.linuxbsd.editor.x86_64.c,3,15,65,83
../samples/decompilations/godot/servers rendering renderer_rd forward_mobile scene_shader_forward_mobile.linuxbsd.editor.x86_64.c,6,18,94,118
../samples/decompilations/godot/scene 3d skeleton_3d.linuxbsd.editor.x86_64.c,13,26,81,120
../samples/decompilations/godot/thirdparty cvtt ConvectionKernels_BC7_PrioData.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/modules fbx editor editor_scene_importer_ufbx.linuxbsd.editor.x86_64.c,10,12,37,59
../samples/decompilations/godot/thirdparty jolt_physics Jolt Physics Constraints Constraint.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty graphite src CmapCache.linuxbsd.editor.x86_64.c,0,2,2,4
../samples/decompilations/godot/modules raycast register_types.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty jolt_physics Jolt Core Factory.linuxbsd.editor.x86_64.c,14,13,27,54
../samples/decompilations/godot/editor file_info.linuxbsd.editor.x86_64.c,3,19,39,61
../samples/decompilations/godot/scene 3d physics spring_arm_3d.linuxbsd.editor.x86_64.c,0,4,19,23
../samples/decompilations/godot/scene gui view_panner.linuxbsd.editor.x86_64.c,6,0,8,14
../samples/decompilations/godot/thirdparty freetype src base ftinit.linuxbsd.editor.x86_64.c,0,1,5,6
../samples/decompilations/godot/thirdparty graphite src FeatureMap.linuxbsd.editor.x86_64.c,3,1,12,16
../samples/decompilations/godot/modules godot_physics_2d register_types.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty thorvg src renderer tvgAccessor.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty openxr src loader loader_logger_recorders.linuxbsd.editor.x86_64.c,0,0,4,4
../samples/decompilations/godot/scene resources 2d capsule_shape_2d.linuxbsd.editor.x86_64.c,5,1,13,19
../samples/decompilations/godot/modules fbx fbx_state.linuxbsd.editor.x86_64.c,0,0,4,4
../samples/decompilations/godot/modules jolt_physics joints jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty jolt_physics Jolt Physics Collision Shape CompoundShape.linuxbsd.editor.x86_64.c,16,3,18,37
../samples/decompilations/godot/thirdparty libvorbis res0.linuxbsd.editor.x86_64.c,1,2,41,44
../samples/decompilations/godot/thirdparty libwebp src utils filters_utils.linuxbsd.editor.x86_64.c,1,0,4,5
../samples/decompilations/godot/thirdparty libktx lib texture2.linuxbsd.editor.x86_64.c,1,1,17,19
../samples/decompilations/godot/editor export editor_export_platform_pc.linuxbsd.editor.x86_64.c,4,1,28,33
../samples/decompilations/godot/thirdparty harfbuzz src hb-ot-face.linuxbsd.editor.x86_64.c,0,8,12,20
../samples/decompilations/godot/scene gui menu_button.linuxbsd.editor.x86_64.c,7,4,24,35
../samples/decompilations/godot/thirdparty libwebp src dsp ssim_sse2.linuxbsd.editor.x86_64.c,0,0,2,2
../samples/decompilations/godot/core io resource_uid.linuxbsd.editor.x86_64.c,2,7,33,42
../samples/decompilations/godot/thirdparty icu4c common servlk.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty harfbuzz src hb-ot-shape-fallback.linuxbsd.editor.x86_64.c,5,5,37,47
../samples/decompilations/godot/servers rendering renderer_rd effects tone_mapper.linuxbsd.editor.x86_64.c,3,6,29,38
../samples/decompilations/godot/thirdparty mbedtls library ssl_tls13_server.linuxbsd.editor.x86_64.c,5,2,4,11
../samples/decompilations/godot/editor scene_tree_dock.linuxbsd.editor.x86_64.c,68,113,281,462
../samples/decompilations/godot/thirdparty thorvg src loaders svg tvgSvgSceneBuilder.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty embree common sys library.linuxbsd.editor.x86_64.c,0,0,1,1
../samples/decompilations/godot/servers rendering renderer_rd effects resolve.linuxbsd.editor.x86_64.c,1,4,30,35
../samples/decompilations/godot/thirdparty glslang glslang MachineIndependent linkValidate.linuxbsd.editor.x86_64.c,18,38,129,185
../samples/decompilations/godot/thirdparty jolt_physics Jolt Core JobSystemThreadPool.linuxbsd.editor.x86_64.c,6,5,20,31
../samples/decompilations/godot/thirdparty brotli common shared_dictionary.linuxbsd.editor.x86_64.c,1,0,0,1
../samples/decompilations/godot/thirdparty mbedtls library x509write.linuxbsd.editor.x86_64.c,0,0,3,3
../samples/decompilations/godot/scene resources visual_shader_particle_nodes.linuxbsd.editor.x86_64.c,26,15,47,88
../samples/decompilations/godot/thirdparty enet list.linuxbsd.editor.x86_64.c,1,0,0,1
../samples/decompilations/godot/modules godot_physics_2d godot_body_pair_2d.linuxbsd.editor.x86_64.c,2,6,10,18
../samples/decompilations/godot/thirdparty libwebp src dsp dec_clip_tables.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty meshoptimizer indexgenerator.linuxbsd.editor.x86_64.c,8,12,33,53
../samples/decompilations/godot/thirdparty libwebp src dsp lossless_enc_mips_dsp_r2.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty pcre2 src pcre2_xclass_32.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/godot/thirdparty harfbuzz src hb-font.linuxbsd.editor.x86_64.c,0,10,19,29
../samples/decompilations/godot/servers rendering renderer_rd effects copy_effects.linuxbsd.editor.x86_64.c,12,22,156,190
../samples/decompilations/godot/drivers pulseaudio audio_driver_pulseaudio.linuxbsd.editor.x86_64.c,2,13,12,27
../samples/decompilations/godot/core variant variant_parser.linuxbsd.editor.x86_64.c,13,26,82,121
../samples/decompilations/godot/editor project_manager project_list.linuxbsd.editor.x86_64.c,25,38,78,141
../samples/decompilations/godot/editor plugins navigation_link_2d_editor_plugin.linuxbsd.editor.x86_64.c,7,2,11,20
../samples/decompilations/godot/modules gltf structures gltf_skin.linuxbsd.editor.x86_64.c,8,20,35,63
../samples/decompilations/godot/thirdparty embree kernels geometry primitive4.linuxbsd.editor.x86_64.c,10,0,0,10
../samples/decompilations/godot/modules vhacd register_types.linuxbsd.editor.x86_64.c,1,3,9,13
../samples/decompilations/godot/editor property_selector.linuxbsd.editor.x86_64.c,14,14,33,61
../samples/decompilations/godot/servers display native_menu.linuxbsd.editor.x86_64.c,2,1,27,30
../samples/decompilations/godot/thirdparty pcre2 src pcre2_auto_possess_16.linuxbsd.editor.x86_64.c,1,3,9,13
../samples/decompilations/godot/scene theme theme_owner.linuxbsd.editor.x86_64.c,7,13,8,28
