File,for loops,while loops,do-while loops,total loops,total nodes
lib/libcoreutils_a-utimecmp.c,0,0,2,2,2538
lib/libcoreutils_a-version-etc.c,0,1,2,3,2282
gnulib-tests/bench_sha384-bench-sha384.c,0,0,2,2,867
src/users.c,0,0,5,5,3236
src/cksum-digest.c,1,9,17,27,13206
lib/libcoreutils_a-sm3.c,0,0,8,8,20677
src/operand2sig.c,0,1,0,1,693
src/dirname.c,1,0,2,3,1743
src/rm.c,1,0,1,2,3410
src/pathchk.c,0,3,5,8,3246
src/chown-core.c,0,0,1,1,5669
src/set-fields.c,0,3,4,7,2389
lib/libcoreutils_a-xstrtol.c,0,0,8,8,2363
src/touch.c,0,0,1,1,4380
src/kill.c,1,0,4,5,3398
src/factor.c,14,20,59,93,34548
src/sync.c,0,2,2,4,2281
lib/libcoreutils_a-inttostr.c,0,0,2,2,250
lib/libcoreutils_a-mountlist.c,0,3,1,4,3869
src/dd.c,2,7,36,45,26566
lib/libcoreutils_a-c-strcasecmp.c,0,0,1,1,250
src/blake2/cksum-b2sum.c,0,0,1,1,441
lib/libcoreutils_a-xdectoumax.c,0,0,1,1,511
src/cksum-cksum.c,1,0,7,8,3366
lib/libcoreutils_a-randperm.c,1,1,2,4,1410
lib/libcoreutils_a-gettime-res.c,0,1,2,3,386
lib/libcoreutils_a-basename-lgpl.c,0,2,2,4,326
lib/libcoreutils_a-mktime.c,0,2,2,4,3286
src/shuf.c,4,3,4,11,6822
lib/libcoreutils_a-offtostr.c,0,0,2,2,251
lib/libcoreutils_a-mkancesdirs.c,0,1,2,3,922
src/libcksum_avx2_a-cksum_avx2.c,0,0,3,3,1057
src/cut.c,1,6,17,24,11008
src/printf.c,1,6,8,15,13249
lib/libcoreutils_a-hash-pjw.c,0,0,1,1,148
lib/libcoreutils_a-xstrtoimax.c,0,0,8,8,2362
lib/libcoreutils_a-linebuffer.c,0,0,1,1,655
src/relpath.c,0,2,1,3,1030
src/fmt.c,5,4,16,25,8986
src/printenv.c,3,3,1,7,1909
src/temp-stream.c,0,1,0,1,879
lib/libcoreutils_a-full-write.c,0,0,1,1,196
lib/libcoreutils_a-printf-args.c,0,0,1,1,1381
src/sha256sum-digest.c,1,8,12,21,10759
src/rmdir.c,0,1,5,6,3088
lib/libcoreutils_a-rand-isaac.c,0,0,4,4,2865
lib/libcoreutils_a-sig2str.c,0,0,2,2,994
lib/libcoreutils_a-areadlink-with-size.c,0,0,1,1,622
src/yes.c,0,1,4,5,1826
src/uptime.c,0,0,2,2,2564
lib/libcoreutils_a-crc-x86_64-pclmul.c,17,0,3,20,3922
lib/libcoreutils_a-human.c,0,2,5,7,4795
src/head.c,0,6,15,21,10897
src/libcksum_pclmul_a-cksum_pclmul.c,10,0,5,15,3090
lib/libcoreutils_a-dirname-lgpl.c,0,0,2,2,477
src/dircolors.c,1,6,7,14,6082
lib/libcoreutils_a-printf-parse.c,0,3,13,16,5600
src/mkfifo.c,0,1,3,4,2056
lib/libcoreutils_a-base32.c,0,1,3,4,3972
lib/libcoreutils_a-posixtm.c,0,1,2,3,1536
lib/unistr/libcoreutils_a-u32-strlen.c,0,0,1,1,109
src/timeout.c,0,1,2,3,5429
lib/libcoreutils_a-strnumcmp.c,1,7,28,36,3046
src/wc.c,1,5,11,17,15332
lib/libcoreutils_a-ldtoastr.c,0,1,0,1,698
lib/libcoreutils_a-xgethostname.c,0,1,0,1,453
lib/unistr/libcoreutils_a-u32-chr.c,0,0,1,1,100
src/who.c,0,0,5,5,9082
