File,for loops,while loops,do-while loops,total
thirdparty/pcre2/src/pcre2_dfa_match_32.linuxbsd.editor.x86_64.c,3,7,23,10
thirdparty/glslang/SPIRV/disassemble.linuxbsd.editor.x86_64.c,3,1,18,4
scene/3d/occluder_instance_3d.linuxbsd.editor.x86_64.c,16,9,49,25
thirdparty/icu4c/common/unorm.linuxbsd.editor.x86_64.c,0,0,0,0
scene/theme/theme_owner.linuxbsd.editor.x86_64.c,7,13,8,20
scene/3d/path_3d.linuxbsd.editor.x86_64.c,6,3,16,9
editor/node_dock.linuxbsd.editor.x86_64.c,8,2,7,10
scene/2d/parallax_layer.linuxbsd.editor.x86_64.c,5,2,14,7
editor/plugins/gizmos/lightmap_probe_gizmo_plugin.linuxbsd.editor.x86_64.c,5,3,8,8
thirdparty/msdfgen/core/Projection.linuxbsd.editor.x86_64.c,0,0,0,0
modules/openxr/editor/openxr_select_runtime.linuxbsd.editor.x86_64.c,8,2,20,10
thirdparty/graphite/src/gr_face.linuxbsd.editor.x86_64.c,0,0,2,0
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MutableCompoundShape.linuxbsd.editor.x86_64.c,11,5,41,16
thirdparty/jolt_physics/Jolt/Physics/Constraints/HingeConstraint.linuxbsd.editor.x86_64.c,2,0,4,2
servers/rendering/renderer_rd/effects/luminance.linuxbsd.editor.x86_64.c,5,8,45,13
scene/resources/texture.linuxbsd.editor.x86_64.c,8,5,37,13
scene/2d/navigation_obstacle_2d.linuxbsd.editor.x86_64.c,8,3,24,11
scene/gui/graph_edit_arranger.linuxbsd.editor.x86_64.c,5,47,104,52
thirdparty/thorvg/src/renderer/tvgSwCanvas.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/libwebp/src/dsp/lossless.linuxbsd.editor.x86_64.c,1,0,35,1
thirdparty/mbedtls/library/cipher_wrap.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/libvorbis/res0.linuxbsd.editor.x86_64.c,1,2,41,3
thirdparty/mbedtls/library/ecp_curves.linuxbsd.editor.x86_64.c,1,2,14,3
scene/3d/decal.linuxbsd.editor.x86_64.c,5,1,13,6
editor/import/resource_importer_imagefont.linuxbsd.editor.x86_64.c,8,1,15,9
servers/rendering/renderer_rd/storage_rd/material_storage.linuxbsd.editor.x86_64.c,8,131,265,139
thirdparty/graphite/src/GlyphCache.linuxbsd.editor.x86_64.c,1,2,9,3
thirdparty/mbedtls/library/sha512.linuxbsd.editor.x86_64.c,9,0,8,9
thirdparty/jolt_physics/Jolt/Physics/IslandBuilder.linuxbsd.editor.x86_64.c,0,6,20,6
scene/main/status_indicator.linuxbsd.editor.x86_64.c,0,2,16,2
modules/multiplayer/editor/editor_network_profiler.linuxbsd.editor.x86_64.c,11,17,42,28
modules/gdscript/language_server/gdscript_language_server.linuxbsd.editor.x86_64.c,7,0,14,7
thirdparty/thorvg/src/renderer/sw_engine/tvgSwStroke.linuxbsd.editor.x86_64.c,0,2,2,2
thirdparty/embree/kernels/bvh/bvh_refit.linuxbsd.editor.x86_64.c,1,4,24,5
thirdparty/basis_universal/encoder/basisu_comp.linuxbsd.editor.x86_64.c,67,81,375,148
thirdparty/msdfgen/core/Contour.linuxbsd.editor.x86_64.c,0,1,10,1
thirdparty/mbedtls/library/pk.linuxbsd.editor.x86_64.c,0,0,0,0
editor/plugins/gizmos/audio_stream_player_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,5,3,6,8
thirdparty/freetype/src/base/ftmm.linuxbsd.editor.x86_64.c,0,0,0,0
scene/theme/default_theme.linuxbsd.editor.x86_64.c,0,0,0,0
thirdparty/mbedtls/library/sha3.linuxbsd.editor.x86_64.c,6,5,8,11
servers/rendering/shader_types.linuxbsd.editor.x86_64.c,1,17,70,18
scene/2d/physics/physics_body_2d.linuxbsd.editor.x86_64.c,10,1,14,11
thirdparty/glslang/glslang/MachineIndependent/reflection.linuxbsd.editor.x86_64.c,28,19,94,47
servers/rendering/storage/render_data.linuxbsd.editor.x86_64.c,5,0,17,5
