File,for loops,while loops,do-while loops,total
crypto/rsa/libcrypto-shlib-rsa_gen.c,4,2,2,6
crypto/x509/libcrypto-shlib-v3_iobo.c,0,0,0,0
crypto/evp/libcrypto-shlib-e_rc5.c,0,0,0,0
crypto/thread/arch/libcrypto-shlib-thread_none.c,0,0,0,0
ssl/libssl-lib-ssl_txt.c,0,0,5,0
crypto/pkcs12/libcrypto-lib-p12_npas.c,0,2,0,2
test/tls13encryptiontest-bin-tls13encryptiontest.c,0,1,2,1
test/helpers/json_test-bin-pktsplitbio.c,0,0,3,0
test/asn1_internal_test-bin-asn1_internal_test.c,0,1,6,1
crypto/rsa/libcrypto-shlib-rsa_backend.c,0,0,4,0
test/buildtest_c_self_test-bin-buildtest_self_test.c,0,0,0,0
crypto/ec/libcrypto-shlib-ecp_nistz256.c,1,3,18,4
crypto/ui/libcrypto-shlib-ui_lib.c,1,4,0,5
crypto/x509/libcrypto-lib-x509_trust.c,2,2,0,4
crypto/evp/libcrypto-shlib-keymgmt_lib.c,0,0,1,0
crypto/ocsp/libcrypto-lib-ocsp_srv.c,0,0,0,0
crypto/libcrypto-shlib-getenv.c,0,0,0,0
crypto/asn1/libcrypto-shlib-a_dup.c,0,0,0,0
test/cmp_asn_test-bin-cmp_asn_test.c,0,0,0,0
crypto/ct/libcrypto-shlib-ct_err.c,0,0,0,0
crypto/evp/libcrypto-shlib-keymgmt_meth.c,0,0,1,0
providers/implementations/skeymgmt/libdefault-lib-generic.c,0,0,0,0
crypto/libcrypto-shlib-mem.c,0,0,0,0
crypto/des/libcrypto-lib-fcrypt_b.c,0,0,1,0
crypto/ocsp/libcrypto-lib-v3_ocsp.c,0,1,0,1
crypto/des/libcrypto-shlib-rand_key.c,0,0,1,0
providers/implementations/exchange/libdefault-lib-kdf_exch.c,0,0,0,0
crypto/libcrypto-shlib-info.c,0,0,0,0
test/mdc2_internal_test-bin-mdc2_internal_test.c,0,0,0,0
test/testutil/libtestutil-lib-test_options.c,0,0,0,0
test/sm3_internal_test-bin-sm3_internal_test.c,0,0,0,0
crypto/ocsp/libcrypto-shlib-ocsp_ext.c,2,0,0,2
