File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-fd-hook.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-freadahead.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbrlen.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-stdlib.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_alnum.c,0,0,0,0
../samples/decompilations/coreutils/src nl.c,1,2,3,3
../samples/decompilations/coreutils/src selinux.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c-file-type.c,0,0,0,0
../samples/decompilations/coreutils/src blake2 b2sum-blake2b-ref.c,2,0,3,2
../samples/decompilations/coreutils/src ls-dir.c,0,0,0,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-scratch_buffer_set_array_size.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-qset-acl.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-read-file.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-hash-triple-simple.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-save-cwd.c,0,0,0,0
../samples/decompilations/coreutils/src sync.c,0,2,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-closein.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_space.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-skipchars.c,0,2,2,2
../samples/decompilations/coreutils/lib libcoreutils_a-sha1.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-argv-iter.c,0,0,0,0
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_lower.c,0,0,0,0
../samples/decompilations/coreutils/src md5sum-digest.c,0,8,13,8
../samples/decompilations/coreutils/src install.c,0,2,3,2
../samples/decompilations/coreutils/lib libcoreutils_a-isapipe.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-ialloc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xvasprintf.c,0,0,3,0
../samples/decompilations/coreutils/src df.c,1,3,11,4
../samples/decompilations/coreutils/lib libcoreutils_a-xdectoumax.c,0,0,1,0
../samples/decompilations/coreutils/src sum-digest.c,0,1,2,1
../samples/decompilations/coreutils/lib libcoreutils_a-time_rz.c,0,1,4,1
../samples/decompilations/coreutils/src base32-basenc.c,0,2,7,2
../samples/decompilations/coreutils/lib libcoreutils_a-readutmp.c,0,2,6,2
../samples/decompilations/coreutils/lib libcoreutils_a-set-acl.c,0,0,0,0
../samples/decompilations/coreutils/src group-list.c,0,0,1,0
../samples/decompilations/coreutils/src sha384sum-digest.c,1,8,12,9
../samples/decompilations/coreutils/lib libcoreutils_a-chmodat.c,0,0,0,0
../samples/decompilations/coreutils/src mkfifo.c,0,1,3,1
../samples/decompilations/coreutils/lib libcoreutils_a-mkstemp-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-vfzprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-safe-read.c,0,1,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtowcs.c,0,1,1,1
../samples/decompilations/coreutils/src version.c,0,0,0,0
../samples/decompilations/coreutils/src cat.c,2,2,6,4
../samples/decompilations/coreutils/src test.c,0,4,2,4
../samples/decompilations/coreutils/lib libcoreutils_a-filevercmp.c,1,1,6,2
../samples/decompilations/coreutils/lib libcoreutils_a-vaszprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-dtimespec-bound.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-malloca.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests concat-filename.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-printf-args.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-alignalloc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-randint.c,0,0,3,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_emplace_enlarge.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-localcharset.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-areadlinkat.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32isxdigit.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests test-localcharset.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-af_alg.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xgetgroups.c,0,0,0,0
../samples/decompilations/coreutils/src users.c,0,0,5,0
../samples/decompilations/coreutils/src timeout.c,0,1,2,1
../samples/decompilations/coreutils/lib libcoreutils_a-printf-frexp.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbsrtoc32s.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-canon-host.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xalloc-die.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests glthread thread.c,0,0,0,0
../samples/decompilations/coreutils/src chown-core.c,0,0,1,0
../samples/decompilations/coreutils/src cksum-digest.c,1,9,17,10
../samples/decompilations/coreutils/src du.c,0,4,5,4
../samples/decompilations/coreutils/lib libcoreutils_a-mbrtoc32.c,0,0,0,0
../samples/decompilations/coreutils/src cp-hash.c,0,0,0,0
../samples/decompilations/coreutils/src head.c,0,6,15,6
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_digit.c,0,0,0,0
../samples/decompilations/coreutils/src wc.c,1,5,11,6
../samples/decompilations/coreutils/lib libcoreutils_a-strnumcmp.c,1,7,28,8
../samples/decompilations/coreutils/lib libcoreutils_a-ftoastr.c,0,1,0,1
../samples/decompilations/coreutils/src pathchk.c,0,3,5,3
../samples/decompilations/coreutils/lib libcoreutils_a-str_endswith.c,0,0,0,0
../samples/decompilations/coreutils/src uniq.c,0,3,7,3
../samples/decompilations/coreutils/lib libcoreutils_a-c-strncasecmp.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbrtowc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-fflush.c,0,0,0,0
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-uctomb-aux.c,0,0,0,0
../samples/decompilations/coreutils/src who.c,0,0,5,0
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtol-error.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-ldtoastr.c,0,1,0,1
../samples/decompilations/coreutils/src relpath.c,0,2,1,2
../samples/decompilations/coreutils/src b2sum-digest.c,1,5,16,6
../samples/decompilations/coreutils/src chown-chown.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests bench_crc-bench-crc.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-cycle-check.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbslen.c,0,1,0,1
../samples/decompilations/coreutils/src shuf.c,4,3,4,7
../samples/decompilations/coreutils/src ls-vdir.c,0,0,0,0
../samples/decompilations/coreutils/src seq.c,0,2,16,2
../samples/decompilations/coreutils/lib libcoreutils_a-exclude.c,1,11,9,12
../samples/decompilations/coreutils/src chown-chgrp.c,0,0,0,0
../samples/decompilations/coreutils/lib glthread libcoreutils_a-tls.c,0,0,0,0
../samples/decompilations/coreutils/src dircolors.c,1,6,7,7
../samples/decompilations/coreutils/src prog-fprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-modechange.c,0,4,5,4
../samples/decompilations/coreutils/lib libcoreutils_a-long-options.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-se-selinux.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-backup-find.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-nproc.c,0,3,0,3
../samples/decompilations/coreutils/lib libcoreutils_a-selinux-at.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-xreadlink.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-openat-proc.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-vsnzprintf.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-sha256-stream.c,0,0,1,0
../samples/decompilations/coreutils/lib uniwidth libcoreutils_a-width.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mkancesdirs.c,0,1,2,1
../samples/decompilations/coreutils/lib libcoreutils_a-posixtm.c,0,1,2,1
../samples/decompilations/coreutils/src chroot.c,0,2,4,2
../samples/decompilations/coreutils/lib libcoreutils_a-fclose.c,0,0,0,0
../samples/decompilations/coreutils/src tail.c,3,20,22,23
../samples/decompilations/coreutils/src find-mount-point.c,0,0,0,0
../samples/decompilations/coreutils/src env.c,2,3,13,5
../samples/decompilations/coreutils/lib libcoreutils_a-openat-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-mbswidth.c,0,0,2,0
../samples/decompilations/coreutils/lib libcoreutils_a-get-permissions.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-i-ring.c,0,0,0,0
../samples/decompilations/coreutils/src csplit.c,2,9,18,11
../samples/decompilations/coreutils/gnulib-tests localename-unsafe.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-human.c,0,2,5,2
../samples/decompilations/coreutils/lib libcoreutils_a-xbinary-io.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-base64.c,0,1,4,1
