File,for/loops,while/loops,do-while/loops,total
crypto/x509/libcrypto-shlib-pcy_tree.c,8,2,9,19
crypto/rsa/libcrypto-shlib-rsa_schemes.c,0,0,1,1
crypto/cms/libcrypto-lib-cms_kari.c,1,0,0,1
crypto/ml_dsa/libcrypto-shlib-ml_dsa_sample.c,1,2,5,8
crypto/aes/libcrypto-lib-aes-x86_64.c,5,3,6,14
crypto/evp/libcrypto-shlib-e_sm4.c,0,0,1,1
providers/implementations/rands/libdefault-lib-drbg.c,0,0,7,7
apps/openssl-bin-dsaparam.c,0,1,0,1
ssl/quic/libssl-shlib-quic_demux.c,0,5,3,8
test/provider_pkey_test-bin-provider_pkey_test.c,0,3,1,4
ssl/quic/libssl-lib-quic_record_tx.c,0,5,7,12
crypto/bio/libcrypto-lib-bss_mem.c,0,0,1,1
engines/padlock-dso-e_padlock-x86_64.c,16,3,9,28
crypto/slh_dsa/libcrypto-lib-slh_xmss.c,0,0,2,2
crypto/md5/libcrypto-lib-md5_dgst.c,0,0,3,3
crypto/bn/libcrypto-shlib-bn_nist.c,1,0,4,5
crypto/x509/libcrypto-shlib-v3_info.c,0,0,2,2
engines/padlock-dso-e_padlock.c,2,1,14,17
crypto/crmf/libcrypto-shlib-crmf_pbm.c,0,0,1,1
crypto/cmp/libcrypto-lib-cmp_hdr.c,0,1,1,2
crypto/asn1/libcrypto-lib-a_i2d_fp.c,1,1,0,2
test/list_test-bin-list_test.c,0,0,4,4
test/sslapitest-bin-tls-provider.c,1,3,28,32
crypto/ocsp/libcrypto-lib-ocsp_vfy.c,0,1,2,3
ssl/libssl-lib-t1_lib.c,9,15,59,83
providers/implementations/ciphers/libdefault-lib-cipher_chacha20_hw.c,0,2,3,5
crypto/bf/libcrypto-lib-bf_enc.c,0,0,2,2
crypto/x509/libcrypto-shlib-v3_sxnet.c,0,1,2,3
crypto/bio/libcrypto-shlib-bio_print.c,2,4,14,20
crypto/x509/libcrypto-lib-x509_cmp.c,2,4,2,8
crypto/ec/libcrypto-shlib-ecx_meth.c,2,0,0,2
crypto/rc2/libcrypto-shlib-rc2cfb64.c,0,0,2,2
crypto/libcrypto-shlib-x86_64cpuid.c,1,2,10,13
crypto/des/libcrypto-lib-rand_key.c,0,0,1,1
apps/openssl-bin-rsautl.c,0,1,1,2
ssl/quic/libssl-shlib-quic_sstream.c,0,2,8,10
test/helpers/cmp_client_test-bin-cmp_testlib.c,0,1,0,1
crypto/slh_dsa/libcrypto-shlib-slh_hypertree.c,0,0,2,2
ssl/record/methods/libssl-shlib-tls_common.c,2,6,18,26
fuzz/hashtable-test-bin-fuzz_rand.c,0,0,1,1
