File,for loops,while loops,do-while loops,total loops,total nodes
lib/libcoreutils_a-readtokens.c,1,2,2,5,1481
src/blake2/cksum-blake2b-ref.c,12,0,3,15,18638
src/sort.c,5,49,57,111,48779
src/blake2/b2sum-blake2b-ref.c,12,0,3,15,18638
lib/libcoreutils_a-i-ring.c,1,0,0,1,423
src/copy.c,7,3,7,17,42033
src/od.c,1,7,35,43,20161
src/printf.c,2,6,8,16,13117
lib/libcoreutils_a-quotearg.c,5,2,5,12,14391
src/env.c,4,3,13,20,10174
src/cp.c,4,10,4,18,14545
src/pr.c,3,12,36,51,20975
lib/libcoreutils_a-sm3.c,1,0,8,9,20603
src/tr.c,3,3,34,40,20092
src/libcksum_avx2_a-cksum_avx2.c,1,0,3,4,992
lib/libcoreutils_a-sha512.c,6,0,0,6,1127
lib/libcoreutils_a-parse-datetime.c,1,7,20,28,30004
src/head.c,3,6,15,24,10619
lib/libcoreutils_a-readtokens0.c,1,0,1,2,1963
src/libwc_avx2_a-wc_avx2.c,1,1,3,5,1782
