File,for/loops,while/loops,do-while/loops,total
core/config/engine.c,0,0,0,0
core/config/project_settings.c,37,81,219,337
core/core_bind.c,43,66,200,309
core/core_globals.c,0,0,0,0
core/crypto/aes_context.c,0,0,0,0
core/crypto/crypto_core.c,0,0,0,0
core/crypto/crypto.c,9,0,11,20
core/crypto/hashing_context.c,0,0,0,0
core/debugger/debugger_marshalls.c,8,2,12,22
core/debugger/engine_debugger.c,0,0,0,0
core/debugger/engine_profiler.c,3,2,20,25
core/debugger/local_debugger.c,6,9,32,47
core/debugger/remote_debugger.c,8,16,51,75
core/debugger/remote_debugger_peer.c,0,0,0,0
core/debugger/script_debugger.c,4,6,24,34
core/doc_data.c,0,0,0,0
core/error/error_list.c,0,0,0,0
core/error/error_macros.c,0,0,0,0
core/extension/extension_api_dump.c,42,35,158,235
core/extension/gdextension_interface.c,7,8,33,48
core/extension/gdextension_library_loader.c,0,0,0,0
core/extension/gdextension.c,23,44,140,207
core/extension/gdextension_manager.c,0,0,0,0
core/extension/gdextension_special_compat_hashes.c,0,0,0,0
core/input/default_controller_mappings.gen.c,0,0,0,0
core/input/input_event.c,25,2,54,81
core/input/input.c,32,61,129,222
core/input/input_map.c,6,15,75,96
core/input/shortcut.c,0,0,0,0
core/io/compression.c,0,0,0,0
core/io/config_file.c,0,0,0,0
core/io/dir_access.c,0,0,0,0
core/io/dtls_server.c,0,0,0,0
core/io/file_access_compressed.c,4,2,7,13
core/io/file_access_encrypted.c,0,0,0,0
core/io/file_access.c,5,6,37,48
core/io/file_access_memory.c,0,0,0,0
core/io/file_access_pack.c,0,0,0,0
core/io/file_access_zip.c,4,5,20,29
core/io/http_client.c,0,0,0,0
core/io/http_client_tcp.c,4,3,26,33
core/io/image.c,13,24,389,426
core/io/image_loader.c,9,6,32,47
core/io/ip_address.c,0,0,0,0
core/io/ip.c,10,10,45,65
core/io/json.c,0,0,0,0
core/io/logger.c,1,2,15,18
core/io/marshalls.c,4,8,290,302
core/io/missing_resource.c,0,0,0,0
core/io/net_socket.c,0,0,0,0
core/io/packed_data_container.c,8,6,69,83
core/io/packet_peer_dtls.c,0,0,0,0
core/io/packet_peer.c,0,0,0,0
core/io/packet_peer_udp.c,0,0,0,0
core/io/pck_packer.c,0,0,0,0
core/io/plist.c,8,5,34,47
core/io/remote_filesystem_client.c,2,8,39,49
core/io/resource_format_binary.c,20,29,149,198
core/io/resource_importer.c,0,0,0,0
core/io/resource.c,15,14,65,94
core/io/resource_loader.c,16,43,150,209
core/io/resource_saver.c,5,7,42,54
core/io/resource_uid.c,0,0,0,0
core/io/stream_peer_gzip.c,0,0,0,0
core/io/stream_peer.c,0,0,0,0
core/io/stream_peer_tcp.c,0,0,0,0
core/io/stream_peer_tls.c,0,0,0,0
core/io/tcp_server.c,0,0,0,0
core/io/translation_loader_po.c,0,0,0,0
core/io/udp_server.c,0,0,0,0
core/io/xml_parser.c,0,0,0,0
core/io/zip_io.c,0,0,0,0
core/math/aabb.c,0,0,0,0
core/math/a_star_grid_2d.c,8,6,41,55
core/math/a_star.c,4,33,92,129
core/math/basis.c,1,3,2,6
core/math/color.c,2,1,14,17
core/math/convex_hull.c,11,31,61,103
core/math/dynamic_bvh.c,11,3,48,62
core/math/expression.c,0,0,0,0
core/math/face3.c,0,0,0,0
core/math/geometry_2d.c,18,32,87,137
core/math/geometry_3d.c,3,13,68,84
core/math/math_fieldwise.c,0,0,0,0
core/math/math_funcs.c,0,0,0,0
core/math/plane.c,0,0,0,0
core/math/projection.c,12,0,16,28
core/math/quaternion.c,1,0,0,1
core/math/quick_hull.c,0,0,0,0
core/math/random_number_generator.c,0,0,0,0
core/math/random_pcg.c,0,0,0,0
core/math/rect2i.c,0,0,0,0
core/math/rect2.c,0,0,0,0
core/math/static_raycaster.c,0,0,0,0
core/math/transform_2d.c,1,2,4,7
core/math/transform_3d.c,2,0,1,3
