File,for loops,while loops,do-while loops,total
apps/ca_internals_test-bin-ca.c,11,4,13,28
apps/lib/ca_internals_test-bin-apps.c,9,13,23,45
apps/lib/libapps-lib-apps.c,9,13,22,44
apps/lib/libapps-lib-s_cb.c,4,9,23,36
apps/openssl-bin-ca.c,11,4,13,28
apps/openssl-bin-cmp.c,2,5,16,23
apps/openssl-bin-passwd.c,5,4,40,49
apps/openssl-bin-pkcs12.c,8,4,5,17
apps/openssl-bin-speed.c,56,117,129,302
apps/openssl-bin-ts.c,2,2,1,5
crypto/aes/libcrypto-lib-aes_ige.c,8,0,12,20
crypto/aes/libcrypto-lib-aesni-xts-avx512.c,40,0,0,40
crypto/aes/libcrypto-shlib-aes_ige.c,8,0,12,20
crypto/aes/libcrypto-shlib-aesni-xts-avx512.c,40,0,0,40
crypto/asn1/libcrypto-lib-asn_mime.c,3,24,7,34
crypto/asn1/libcrypto-shlib-asn_mime.c,3,24,7,34
crypto/bf/libcrypto-lib-bf_enc.c,2,0,2,4
crypto/bf/libcrypto-shlib-bf_enc.c,2,0,2,4
crypto/bio/libcrypto-lib-bio_addr.c,6,1,1,8
crypto/bio/libcrypto-lib-bss_dgram_pair.c,5,2,5,12
crypto/bio/libcrypto-shlib-bio_addr.c,6,1,1,8
crypto/bio/libcrypto-shlib-bss_dgram_pair.c,5,2,5,12
crypto/bn/libcrypto-lib-bn_blind.c,1,0,2,3
crypto/bn/libcrypto-lib-bn_exp.c,2,5,37,44
crypto/bn/libcrypto-lib-bn_mul.c,3,5,3,11
crypto/bn/libcrypto-lib-bn_nist.c,13,0,4,17
crypto/bn/libcrypto-lib-rsaz-2k-avx512.c,3,0,1,4
crypto/bn/libcrypto-lib-rsaz-3k-avx512.c,3,0,1,4
crypto/bn/libcrypto-lib-rsaz-4k-avx512.c,4,0,2,6
crypto/bn/libcrypto-lib-rsaz-avx2.c,4,1,5,10
crypto/bn/libcrypto-lib-rsaz_exp.c,1,0,3,4
crypto/bn/libcrypto-lib-rsaz_exp_x2.c,6,1,6,13
crypto/bn/libcrypto-lib-x86_64-mont5.c,14,10,22,46
crypto/bn/libcrypto-shlib-bn_blind.c,1,0,2,3
crypto/bn/libcrypto-shlib-bn_exp.c,2,5,37,44
crypto/bn/libcrypto-shlib-bn_mul.c,3,5,3,11
crypto/bn/libcrypto-shlib-bn_nist.c,13,0,4,17
crypto/bn/libcrypto-shlib-rsaz-2k-avx512.c,3,0,1,4
crypto/bn/libcrypto-shlib-rsaz-3k-avx512.c,3,0,1,4
crypto/bn/libcrypto-shlib-rsaz-4k-avx512.c,4,0,2,6
crypto/bn/libcrypto-shlib-rsaz-avx2.c,4,1,5,10
crypto/bn/libcrypto-shlib-rsaz_exp.c,1,0,3,4
crypto/bn/libcrypto-shlib-rsaz_exp_x2.c,6,1,6,13
crypto/bn/libcrypto-shlib-x86_64-mont5.c,14,10,22,46
crypto/chacha/libcrypto-lib-chacha-x86_64.c,3,9,48,60
crypto/chacha/libcrypto-shlib-chacha-x86_64.c,3,9,48,60
crypto/cmac/libcrypto-lib-cmac.c,1,0,6,7
crypto/cmac/libcrypto-shlib-cmac.c,1,0,6,7
crypto/cmp/libcrypto-lib-cmp_ctx.c,2,0,0,2
crypto/cmp/libcrypto-lib-cmp_genm.c,4,0,3,7
crypto/cmp/libcrypto-shlib-cmp_ctx.c,2,0,0,2
crypto/cmp/libcrypto-shlib-cmp_genm.c,4,0,3,7
crypto/ct/libcrypto-lib-ct_oct.c,5,1,1,7
crypto/ct/libcrypto-shlib-ct_oct.c,5,1,1,7
crypto/des/libcrypto-lib-cbc_enc.c,2,0,2,4
crypto/des/libcrypto-lib-cfb64ede.c,1,2,4,7
crypto/des/libcrypto-lib-cfb_enc.c,2,2,4,8
crypto/des/libcrypto-lib-des_enc.c,4,0,4,8
crypto/des/libcrypto-lib-fcrypt.c,2,0,2,4
crypto/des/libcrypto-lib-ofb64ede.c,2,0,1,3
crypto/des/libcrypto-lib-ofb64enc.c,2,0,1,3
crypto/des/libcrypto-lib-set_key.c,1,0,2,3
crypto/des/libcrypto-shlib-cbc_enc.c,2,0,2,4
crypto/des/libcrypto-shlib-cfb64ede.c,1,2,4,7
crypto/des/libcrypto-shlib-cfb_enc.c,2,2,4,8
crypto/des/libcrypto-shlib-des_enc.c,4,0,4,8
crypto/des/libcrypto-shlib-fcrypt.c,2,0,2,4
crypto/des/libcrypto-shlib-ofb64ede.c,2,0,1,3
crypto/des/libcrypto-shlib-ofb64enc.c,2,0,1,3
crypto/des/libcrypto-shlib-set_key.c,1,0,2,3
crypto/des/liblegacy-lib-des_enc.c,4,0,4,8
crypto/ec/curve448/libcrypto-lib-f_generic.c,1,1,9,11
crypto/ec/curve448/libcrypto-lib-scalar.c,4,1,7,12
crypto/ec/curve448/libcrypto-shlib-f_generic.c,1,1,9,11
crypto/ec/curve448/libcrypto-shlib-scalar.c,4,1,7,12
crypto/ec/libcrypto-lib-curve25519.c,25,2,38,65
crypto/ec/libcrypto-lib-ec2_smpl.c,4,0,3,7
crypto/ec/libcrypto-lib-ec_mult.c,4,3,14,21
crypto/ec/libcrypto-lib-ecp_nistz256.c,7,3,18,28
crypto/ec/libcrypto-lib-ecp_smpl.c,4,0,8,12
crypto/ec/libcrypto-shlib-curve25519.c,25,2,38,65
crypto/ec/libcrypto-shlib-ec2_smpl.c,4,0,3,7
crypto/ec/libcrypto-shlib-ec_mult.c,4,3,14,21
crypto/ec/libcrypto-shlib-ecp_nistz256.c,7,3,18,28
crypto/ec/libcrypto-shlib-ecp_smpl.c,4,0,8,12
crypto/err/libcrypto-lib-err.c,66,2,21,89
crypto/err/libcrypto-lib-err_prn.c,2,0,3,5
crypto/err/libcrypto-lib-err_save.c,3,0,6,9
crypto/err/libcrypto-shlib-err.c,66,2,21,89
crypto/err/libcrypto-shlib-err_prn.c,2,0,3,5
crypto/err/libcrypto-shlib-err_save.c,3,0,6,9
crypto/evp/libcrypto-lib-e_aes_cbc_hmac_sha1.c,9,2,7,18
crypto/evp/libcrypto-lib-e_aes_cbc_hmac_sha256.c,9,2,7,18
crypto/evp/libcrypto-lib-e_chacha20_poly1305.c,3,2,5,10
crypto/evp/libcrypto-lib-encode.c,1,3,5,9
crypto/evp/libcrypto-lib-evp_lib.c,1,0,0,1
crypto/evp/libcrypto-lib-pmeth_lib.c,1,2,0,3
crypto/evp/libcrypto-shlib-e_aes_cbc_hmac_sha1.c,9,2,7,18
crypto/evp/libcrypto-shlib-e_aes_cbc_hmac_sha256.c,9,2,7,18
crypto/evp/libcrypto-shlib-e_chacha20_poly1305.c,3,2,5,10
crypto/evp/libcrypto-shlib-encode.c,1,3,5,9
crypto/evp/libcrypto-shlib-evp_lib.c,1,0,0,1
crypto/evp/libcrypto-shlib-pmeth_lib.c,1,2,0,3
