File,for/loops,while/loops,do-while/loops,total
crypto/x509/libcrypto-shlib-pcy_tree.c,0,0,0,0
crypto/pkcs12/libcrypto-lib-p12_crpt.c,0,0,0,0
crypto/rsa/libcrypto-shlib-rsa_schemes.c,0,0,0,0
test/quic_ackm_test-bin-cc_dummy.c,0,0,0,0
editor/plugins/mesh_library_editor_plugin.c,15,15,29,59
lib/libcoreutils_a-utimecmp.c,0,0,0,0
modules/openxr/extensions/openxr_huawei_controller_extension.c,0,0,0,0
scene/animation/animation_player.c,6,39,85,130
thirdparty/libwebp/src/enc/alpha_enc.c,1,0,4,5
lib/libcoreutils_a-renameatu.c,0,0,0,0
crypto/cms/libcrypto-lib-cms_kari.c,0,0,0,0
lib/unictype/libcoreutils_a-ctype_alnum.c,0,0,0,0
thirdparty/brotli/dec/bit_reader.c,0,0,0,0
thirdparty/recastnavigation/Recast/Source/RecastRegion.c,3,15,65,83
servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,11,18,93,122
scene/3d/skeleton_3d.c,17,26,81,124
crypto/ml_dsa/libcrypto-shlib-ml_dsa_sample.c,0,0,0,0
thirdparty/cvtt/ConvectionKernels_BC7_PrioData.c,0,0,0,0
crypto/store/libcrypto-lib-store_init.c,0,0,0,0
modules/fbx/editor/editor_scene_importer_ufbx.c,14,12,37,63
thirdparty/jolt_physics/Jolt/Physics/Constraints/Constraint.c,0,0,0,0
lib/libcoreutils_a-chownat.c,0,0,0,0
test/nodefltctxtest-bin-nodefltctxtest.c,0,0,0,0
thirdparty/graphite/src/CmapCache.c,0,0,0,0
modules/raycast/register_types.c,1,0,0,1
thirdparty/jolt_physics/Jolt/Core/Factory.c,19,13,27,59
editor/file_info.c,0,0,0,0
lib/libcoreutils_a-version-etc.c,0,0,0,0
scene/3d/physics/spring_arm_3d.c,11,4,19,34
crypto/aes/libcrypto-lib-aes-x86_64.c,0,0,0,0
scene/gui/view_panner.c,7,0,8,15
crypto/evp/libcrypto-shlib-e_sm4.c,0,0,0,0
providers/implementations/rands/libdefault-lib-drbg.c,1,0,7,8
apps/openssl-bin-dsaparam.c,0,0,0,0
gnulib-tests/bench_crc-randomb.c,0,0,0,0
crypto/pkcs7/libcrypto-lib-pkcs7err.c,0,0,0,0
thirdparty/freetype/src/base/ftinit.c,0,0,0,0
lib/libcoreutils_a-dtimespec-bound.c,0,0,0,0
thirdparty/graphite/src/FeatureMap.c,4,1,12,17
ssl/quic/libssl-shlib-quic_demux.c,2,5,3,10
modules/godot_physics_2d/register_types.c,0,0,0,0
test/provider_pkey_test-bin-provider_pkey_test.c,0,0,0,0
thirdparty/thorvg/src/renderer/tvgAccessor.c,0,0,0,0
ssl/quic/libssl-lib-quic_record_tx.c,1,5,7,13
thirdparty/openxr/src/loader/loader_logger_recorders.c,2,0,4,6
scene/resources/2d/capsule_shape_2d.c,5,1,13,19
crypto/des/libcrypto-lib-ecb3_enc.c,0,0,0,0
gnulib-tests/bench_sha384-bench-sha384.c,0,0,0,0
src/cksum-crctab.c,0,0,0,0
src/users.c,0,0,0,0
crypto/bio/libcrypto-lib-bss_mem.c,0,0,0,0
providers/implementations/ciphers/liblegacy-lib-cipher_rc4_hmac_md5_hw.c,0,0,0,0
modules/fbx/fbx_state.c,3,0,4,7
modules/jolt_physics/joints/jolt_hinge_joint_3d.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,16,3,18,37
thirdparty/libvorbis/res0.c,0,0,0,0
thirdparty/libwebp/src/utils/filters_utils.c,0,0,0,0
thirdparty/libktx/lib/texture2.c,4,1,17,22
ssl/libssl-shlib-ssl_err_legacy.c,0,0,0,0
editor/export/editor_export_platform_pc.c,0,0,0,0
crypto/x509/libcrypto-shlib-x_attrib.c,1,0,0,1
thirdparty/harfbuzz/src/hb-ot-face.c,2,8,12,22
scene/gui/menu_button.c,7,4,24,35
thirdparty/libwebp/src/dsp/ssim_sse2.c,3,0,2,5
crypto/thread/arch/libssl-shlib-thread_posix.c,2,0,0,2
engines/padlock-dso-e_padlock-x86_64.c,18,3,9,30
core/io/resource_uid.c,4,7,33,44
src/cksum-digest.c,0,0,0,0
thirdparty/icu4c/common/servlk.c,0,0,0,0
crypto/asn1/libcrypto-shlib-d2i_pr.c,0,0,0,0
thirdparty/harfbuzz/src/hb-ot-shape-fallback.c,6,5,37,48
servers/rendering/renderer_rd/effects/tone_mapper.c,5,6,29,40
thirdparty/mbedtls/library/ssl_tls13_server.c,0,0,0,0
editor/scene_tree_dock.c,68,113,281,462
thirdparty/thorvg/src/loaders/svg/tvgSvgSceneBuilder.c,0,0,0,0
providers/implementations/ciphers/libdefault-lib-cipher_aria_ccm_hw.c,1,0,0,1
thirdparty/embree/common/sys/library.c,0,0,0,0
crypto/slh_dsa/libcrypto-lib-slh_xmss.c,0,0,0,0
servers/rendering/renderer_rd/effects/resolve.c,0,0,0,0
thirdparty/glslang/glslang/MachineIndependent/linkValidate.c,21,38,128,187
crypto/ec/libcrypto-lib-ec_deprecated.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Core/JobSystemThreadPool.c,7,5,20,32
providers/implementations/encode_decode/libdefault-lib-encode_key2blob.c,0,0,0,0
crypto/rsa/libcrypto-lib-rsa_mp_names.c,0,0,0,0
thirdparty/brotli/common/shared_dictionary.c,2,0,0,2
thirdparty/mbedtls/library/x509write.c,0,0,0,0
crypto/md5/libcrypto-lib-md5_dgst.c,3,0,3,6
crypto/bn/libcrypto-shlib-bn_nist.c,8,0,4,12
test/testutil/libtestutil-lib-apps_shims.c,0,0,0,0
scene/resources/visual_shader_particle_nodes.c,26,15,47,88
crypto/x509/libcrypto-shlib-v3_info.c,0,0,0,0
thirdparty/enet/list.c,0,0,0,0
ssl/libssl-shlib-ssl_utst.c,0,0,0,0
engines/padlock-dso-e_padlock.c,3,1,14,18
lib/libcoreutils_a-sm3.c,1,0,8,9
