File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-pcy_tree.c,0,0,0,0
../samples/decompilations/rerolled/crypto pkcs12 libcrypto-lib-p12_crpt.c,0,0,0,0
../samples/decompilations/rerolled/crypto rsa libcrypto-shlib-rsa_schemes.c,0,0,0,0
../samples/decompilations/rerolled/test quic_ackm_test-bin-cc_dummy.c,0,0,0,0
../samples/decompilations/rerolled/editor plugins mesh_library_editor_plugin.linuxbsd.editor.x86_64.c,15,15,29,59
../samples/decompilations/rerolled/lib libcoreutils_a-utimecmp.c,0,0,0,0
../samples/decompilations/rerolled/modules openxr extensions openxr_huawei_controller_extension.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/scene animation animation_player.linuxbsd.editor.x86_64.c,6,39,85,130
../samples/decompilations/rerolled/thirdparty libwebp src enc alpha_enc.linuxbsd.editor.x86_64.c,1,0,4,5
../samples/decompilations/rerolled/lib libcoreutils_a-renameatu.c,0,0,0,0
../samples/decompilations/rerolled/crypto cms libcrypto-lib-cms_kari.c,0,0,0,0
../samples/decompilations/rerolled/lib unictype libcoreutils_a-ctype_alnum.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty brotli dec bit_reader.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty recastnavigation Recast Source RecastRegion.linuxbsd.editor.x86_64.c,3,15,65,83
../samples/decompilations/rerolled/servers rendering renderer_rd forward_mobile scene_shader_forward_mobile.linuxbsd.editor.x86_64.c,11,18,93,122
../samples/decompilations/rerolled/scene 3d skeleton_3d.linuxbsd.editor.x86_64.c,17,26,81,124
../samples/decompilations/rerolled/crypto ml_dsa libcrypto-shlib-ml_dsa_sample.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty cvtt ConvectionKernels_BC7_PrioData.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto store libcrypto-lib-store_init.c,0,0,0,0
../samples/decompilations/rerolled/modules fbx editor editor_scene_importer_ufbx.linuxbsd.editor.x86_64.c,14,12,37,63
../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Physics Constraints Constraint.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/lib libcoreutils_a-chownat.c,0,0,0,0
../samples/decompilations/rerolled/test nodefltctxtest-bin-nodefltctxtest.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty graphite src CmapCache.linuxbsd.editor.x86_64.c,0,0,0,0
