bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
lib/libcoreutils_a-sm3.c,lib/libcoreutils_a-sm3.c,0,0,8,8,20677,lib/libcoreutils_a-sm3.c,1,0,8,9,20603
src/libcksum_avx2_a-cksum_avx2.c,src/libcksum_avx2_a-cksum_avx2.c,0,0,3,3,1057,src/libcksum_avx2_a-cksum_avx2.c,1,0,3,4,992
src/printf.c,src/printf.c,1,6,8,15,13249,src/printf.c,2,6,8,16,13117
src/head.c,src/head.c,0,6,15,21,10897,src/head.c,3,6,15,24,10619
src/cp.c,src/cp.c,3,10,4,17,14599,src/cp.c,4,10,4,18,14545
src/env.c,src/env.c,2,3,13,18,10211,src/env.c,4,3,13,20,10174
src/od.c,src/od.c,0,7,35,42,20254,src/od.c,1,7,35,43,20161
lib/libcoreutils_a-readtokens.c,lib/libcoreutils_a-readtokens.c,0,2,2,4,1488,lib/libcoreutils_a-readtokens.c,1,2,2,5,1481
src/libwc_avx2_a-wc_avx2.c,src/libwc_avx2_a-wc_avx2.c,0,1,3,4,1994,src/libwc_avx2_a-wc_avx2.c,1,1,3,5,1782
lib/libcoreutils_a-readtokens0.c,lib/libcoreutils_a-readtokens0.c,0,0,1,1,2039,lib/libcoreutils_a-readtokens0.c,1,0,1,2,1963
src/pr.c,src/pr.c,3,12,36,51,20975,src/pr.c,3,12,36,51,20975
lib/libcoreutils_a-quotearg.c,lib/libcoreutils_a-quotearg.c,0,2,5,7,14729,lib/libcoreutils_a-quotearg.c,5,2,5,12,14391
src/tr.c,src/tr.c,2,3,34,39,20180,src/tr.c,3,3,34,40,20092
src/copy.c,src/copy.c,4,3,7,14,42276,src/copy.c,7,3,7,17,42033
src/blake2/b2sum-blake2b-ref.c,src/blake2/b2sum-blake2b-ref.c,2,0,3,5,21234,src/blake2/b2sum-blake2b-ref.c,12,0,3,15,18638
src/blake2/cksum-blake2b-ref.c,src/blake2/cksum-blake2b-ref.c,2,0,3,5,21234,src/blake2/cksum-blake2b-ref.c,12,0,3,15,18638
lib/libcoreutils_a-parse-datetime.c,lib/libcoreutils_a-parse-datetime.c,0,7,20,27,30179,lib/libcoreutils_a-parse-datetime.c,1,7,20,28,30004
src/sort.c,src/sort.c,2,50,57,109,51190,src/sort.c,5,49,57,111,48779
