file,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
scene/3d/occluder_instance_3d.c,scene/3d/occluder_instance_3d.c,16,9,49,25,scene/3d/occluder_instance_3d.c,16,9,49,74
editor/node_dock.c,editor/node_dock.c,8,2,7,10,editor/node_dock.c,8,2,7,17
scene/2d/parallax_layer.c,scene/2d/parallax_layer.c,5,2,14,7,scene/2d/parallax_layer.c,6,2,14,22
modules/openxr/editor/openxr_select_runtime.c,modules/openxr/editor/openxr_select_runtime.c,8,2,20,10,modules/openxr/editor/openxr_select_runtime.c,8,2,20,30
thirdparty/jolt_physics/jolt/physics/collision/shape/mutablecompoundshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MutableCompoundShape.c,11,5,41,16,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MutableCompoundShape.c,12,5,38,55
servers/rendering/renderer_rd/effects/luminance.c,servers/rendering/renderer_rd/effects/luminance.c,5,8,45,13,servers/rendering/renderer_rd/effects/luminance.c,5,8,45,58
scene/resources/texture.c,scene/resources/texture.c,8,5,37,13,scene/resources/texture.c,9,5,37,51
thirdparty/mbedtls/library/ecp_curves.c,thirdparty/mbedtls/library/ecp_curves.c,1,2,14,3,thirdparty/mbedtls/library/ecp_curves.c,2,2,14,18
scene/3d/decal.c,scene/3d/decal.c,5,1,13,6,scene/3d/decal.c,6,1,13,20
servers/rendering/renderer_rd/storage_rd/material_storage.c,servers/rendering/renderer_rd/storage_rd/material_storage.c,8,131,265,139,servers/rendering/renderer_rd/storage_rd/material_storage.c,16,131,265,412
thirdparty/graphite/src/glyphcache.c,thirdparty/graphite/src/GlyphCache.c,1,2,9,3,thirdparty/graphite/src/GlyphCache.c,5,2,9,16
thirdparty/mbedtls/library/sha512.c,thirdparty/mbedtls/library/sha512.c,9,0,8,9,thirdparty/mbedtls/library/sha512.c,12,0,8,20
modules/multiplayer/editor/editor_network_profiler.c,modules/multiplayer/editor/editor_network_profiler.c,11,17,42,28,modules/multiplayer/editor/editor_network_profiler.c,11,17,42,70
thirdparty/embree/kernels/bvh/bvh_refit.c,thirdparty/embree/kernels/bvh/bvh_refit.c,1,4,24,5,thirdparty/embree/kernels/bvh/bvh_refit.c,1,4,24,29
thirdparty/basis_universal/encoder/basisu_comp.c,thirdparty/basis_universal/encoder/basisu_comp.c,67,81,375,148,thirdparty/basis_universal/encoder/basisu_comp.c,80,81,373,534
thirdparty/mbedtls/library/sha3.c,thirdparty/mbedtls/library/sha3.c,6,5,8,11,thirdparty/mbedtls/library/sha3.c,8,5,8,21
scene/2d/physics/physics_body_2d.c,scene/2d/physics/physics_body_2d.c,10,1,14,11,scene/2d/physics/physics_body_2d.c,10,1,14,25
thirdparty/glslang/glslang/machineindependent/reflection.c,thirdparty/glslang/glslang/MachineIndependent/reflection.c,28,19,94,47,thirdparty/glslang/glslang/MachineIndependent/reflection.c,30,13,64,107
servers/rendering/renderer_rd/storage_rd/particles_storage.c,servers/rendering/renderer_rd/storage_rd/particles_storage.c,7,29,113,36,servers/rendering/renderer_rd/storage_rd/particles_storage.c,17,29,113,159
scene/3d/physics/collision_shape_3d.c,scene/3d/physics/collision_shape_3d.c,5,6,21,11,scene/3d/physics/collision_shape_3d.c,6,6,21,33
editor/plugins/version_control_editor_plugin.c,editor/plugins/version_control_editor_plugin.c,14,30,74,44,editor/plugins/version_control_editor_plugin.c,14,30,74,118
scene/3d/xr_body_modifier_3d.c,scene/3d/xr_body_modifier_3d.c,4,4,25,8,scene/3d/xr_body_modifier_3d.c,8,4,25,37
modules/gdscript/gdscript_editor.c,modules/gdscript/gdscript_editor.c,12,30,119,42,modules/gdscript/gdscript_editor.c,17,29,109,155
thirdparty/freetype/src/gxvalid/gxvalid.c,thirdparty/freetype/src/gxvalid/gxvalid.c,1,10,51,11,thirdparty/freetype/src/gxvalid/gxvalid.c,3,10,51,64
editor/inspector_dock.c,editor/inspector_dock.c,11,18,44,29,editor/inspector_dock.c,11,18,44,73
core/extension/gdextension_interface.c,core/extension/gdextension_interface.c,2,8,33,10,core/extension/gdextension_interface.c,7,8,33,48
modules/vhacd/register_types.c,modules/vhacd/register_types.c,1,3,9,4,modules/vhacd/register_types.c,3,3,9,15
thirdparty/basis_universal/encoder/basisu_backend.c,thirdparty/basis_universal/encoder/basisu_backend.c,9,22,123,31,thirdparty/basis_universal/encoder/basisu_backend.c,13,22,123,158
scene/gui/graph_edit.c,scene/gui/graph_edit.c,45,79,183,124,scene/gui/graph_edit.c,45,79,183,307
thirdparty/jolt_physics/jolt/physics/collision/shape/staticcompoundshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/StaticCompoundShape.c,14,9,29,23,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/StaticCompoundShape.c,14,9,29,52
scene/gui/check_button.c,scene/gui/check_button.c,7,0,8,7,scene/gui/check_button.c,7,0,8,15
editor/plugins/parallax_background_editor_plugin.c,editor/plugins/parallax_background_editor_plugin.c,10,2,12,12,editor/plugins/parallax_background_editor_plugin.c,10,2,12,24
thirdparty/libktx/lib/texture2.c,thirdparty/libktx/lib/texture2.c,1,1,17,2,thirdparty/libktx/lib/texture2.c,4,1,17,22
modules/gltf/editor/editor_scene_importer_gltf.c,modules/gltf/editor/editor_scene_importer_gltf.c,8,9,31,17,modules/gltf/editor/editor_scene_importer_gltf.c,8,9,31,48
scene/3d/lightmap_gi.c,scene/3d/lightmap_gi.c,33,28,105,61,scene/3d/lightmap_gi.c,33,28,105,166
thirdparty/icu4c/common/rbbinode.c,thirdparty/icu4c/common/rbbinode.c,0,2,3,2,thirdparty/icu4c/common/rbbinode.c,1,2,3,6
thirdparty/glslang/glslang/machineindependent/preprocessor/pp.c,thirdparty/glslang/glslang/MachineIndependent/preprocessor/Pp.c,11,20,86,31,thirdparty/glslang/glslang/MachineIndependent/preprocessor/Pp.c,16,20,86,122
thirdparty/harfbuzz/src/hb-buffer.c,thirdparty/harfbuzz/src/hb-buffer.c,5,10,74,15,thirdparty/harfbuzz/src/hb-buffer.c,7,10,74,91
core/math/a_star_grid_2d.c,core/math/a_star_grid_2d.c,5,6,41,11,core/math/a_star_grid_2d.c,8,6,41,55
thirdparty/glslang/spirv/spvbuilder.c,thirdparty/glslang/SPIRV/SpvBuilder.c,13,141,157,154,thirdparty/glslang/SPIRV/SpvBuilder.c,28,141,153,322
thirdparty/freetype/src/type1/type1.c,thirdparty/freetype/src/type1/type1.c,2,17,33,19,thirdparty/freetype/src/type1/type1.c,4,17,33,54
drivers/gles3/storage/texture_storage.c,drivers/gles3/storage/texture_storage.c,4,35,114,39,drivers/gles3/storage/texture_storage.c,19,35,113,167
modules/gridmap/editor/grid_map_editor_plugin.c,modules/gridmap/editor/grid_map_editor_plugin.c,18,21,113,39,modules/gridmap/editor/grid_map_editor_plugin.c,18,21,113,152
servers/rendering/renderer_rd/environment/sky.c,servers/rendering/renderer_rd/environment/sky.c,6,25,122,31,servers/rendering/renderer_rd/environment/sky.c,6,25,122,153
scene/2d/skeleton_2d.c,scene/2d/skeleton_2d.c,7,8,52,15,scene/2d/skeleton_2d.c,7,8,52,67
scene/2d/navigation_region_2d.c,scene/2d/navigation_region_2d.c,11,7,37,18,scene/2d/navigation_region_2d.c,11,7,37,55
modules/webrtc/webrtc_peer_connection.c,modules/webrtc/webrtc_peer_connection.c,5,0,38,5,modules/webrtc/webrtc_peer_connection.c,5,0,38,43
editor/directory_create_dialog.c,editor/directory_create_dialog.c,12,4,21,16,editor/directory_create_dialog.c,12,4,21,37
thirdparty/embree/common/sys/barrier.c,thirdparty/embree/common/sys/barrier.c,1,6,13,7,thirdparty/embree/common/sys/barrier.c,3,6,13,22
editor/gui/editor_object_selector.c,editor/gui/editor_object_selector.c,12,7,20,19,editor/gui/editor_object_selector.c,12,7,20,39
thirdparty/glslang/glslang/machineindependent/initialize.c,thirdparty/glslang/glslang/MachineIndependent/Initialize.c,9,18,164,27,thirdparty/glslang/glslang/MachineIndependent/Initialize.c,13,18,164,195
thirdparty/libwebp/src/dec/frame_dec.c,thirdparty/libwebp/src/dec/frame_dec.c,0,1,15,1,thirdparty/libwebp/src/dec/frame_dec.c,2,1,15,18
modules/mbedtls/crypto_mbedtls.c,modules/mbedtls/crypto_mbedtls.c,9,0,19,9,modules/mbedtls/crypto_mbedtls.c,9,0,19,28
thirdparty/vhacd/src/vhacd.c,thirdparty/vhacd/src/VHACD.c,0,8,59,8,thirdparty/vhacd/src/VHACD.c,7,8,59,74
scene/resources/atlas_texture.c,scene/resources/atlas_texture.c,6,2,17,8,scene/resources/atlas_texture.c,6,2,17,25
editor/plugins/collision_polygon_2d_editor_plugin.c,editor/plugins/collision_polygon_2d_editor_plugin.c,12,0,13,12,editor/plugins/collision_polygon_2d_editor_plugin.c,12,0,13,25
thirdparty/jolt_physics/jolt/geometry/indexify.c,thirdparty/jolt_physics/Jolt/Geometry/Indexify.c,0,3,14,3,thirdparty/jolt_physics/Jolt/Geometry/Indexify.c,1,3,14,18
thirdparty/basis_universal/encoder/pvpngreader.c,thirdparty/basis_universal/encoder/pvpngreader.c,5,11,106,16,thirdparty/basis_universal/encoder/pvpngreader.c,8,11,106,125
servers/rendering/renderer_rd/renderer_compositor_rd.c,servers/rendering/renderer_rd/renderer_compositor_rd.c,0,7,23,7,servers/rendering/renderer_rd/renderer_compositor_rd.c,2,7,23,32
thirdparty/thorvg/src/renderer/tvgtaskscheduler.c,thirdparty/thorvg/src/renderer/tvgTaskScheduler.c,0,3,9,3,thirdparty/thorvg/src/renderer/tvgTaskScheduler.c,1,3,9,13
servers/rendering/renderer_scene_occlusion_cull.c,servers/rendering/renderer_scene_occlusion_cull.c,2,0,6,2,servers/rendering/renderer_scene_occlusion_cull.c,3,0,6,9
thirdparty/icu4c/common/unisetspan.c,thirdparty/icu4c/common/unisetspan.c,2,15,40,17,thirdparty/icu4c/common/unisetspan.c,4,15,40,59
core/debugger/script_debugger.c,core/debugger/script_debugger.c,0,6,24,6,core/debugger/script_debugger.c,4,6,24,34
scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,5,1,10,6,scene/resources/2d/skeleton/skeleton_modification_2d_lookat.c,6,1,10,17
modules/gdscript/gdscript_disassembler.c,modules/gdscript/gdscript_disassembler.c,0,22,2,22,modules/gdscript/gdscript_disassembler.c,0,22,2,24
editor/editor_resource_picker.c,editor/editor_resource_picker.c,25,26,87,51,editor/editor_resource_picker.c,25,26,87,138
scene/gui/link_button.c,scene/gui/link_button.c,5,0,9,5,scene/gui/link_button.c,5,0,9,14
scene/3d/velocity_tracker_3d.c,scene/3d/velocity_tracker_3d.c,2,0,10,2,scene/3d/velocity_tracker_3d.c,3,0,10,13
editor/plugins/animation_library_editor.c,editor/plugins/animation_library_editor.c,28,42,100,70,editor/plugins/animation_library_editor.c,28,42,100,170
editor/plugins/animation_blend_space_2d_editor.c,editor/plugins/animation_blend_space_2d_editor.c,17,20,52,37,editor/plugins/animation_blend_space_2d_editor.c,17,20,52,89
editor/gui/editor_title_bar.c,editor/gui/editor_title_bar.c,8,0,9,8,editor/gui/editor_title_bar.c,8,0,9,17
servers/xr/xr_interface.c,servers/xr/xr_interface.c,3,1,11,4,servers/xr/xr_interface.c,6,1,11,18
platform/linuxbsd/joypad_linux.c,platform/linuxbsd/joypad_linux.c,8,6,24,14,platform/linuxbsd/joypad_linux.c,13,6,24,43
scene/2d/tile_map_layer.c,scene/2d/tile_map_layer.c,73,64,263,137,scene/2d/tile_map_layer.c,73,64,263,400
thirdparty/basis_universal/encoder/basisu_basis_file.c,thirdparty/basis_universal/encoder/basisu_basis_file.c,0,1,6,1,thirdparty/basis_universal/encoder/basisu_basis_file.c,2,1,6,9
scene/3d/sprite_3d.c,scene/3d/sprite_3d.c,12,30,89,42,scene/3d/sprite_3d.c,13,30,89,132
