file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
providers/implementations/rands/drbg_hash.c,providers/implementations/rands/drbg_hash.c,openssl,providers/implementations/rands/drbg_hash.c,4,0,0,4,providers/implementations/rands/drbg_hash.c,providers/implementations/rands/drbg_hash.c,0,3,10,3,providers/implementations/rands/drbg_hash.c,3,3,8,14
providers/implementations/rands/drbg_ctr.c,providers/implementations/rands/drbg_ctr.c,openssl,providers/implementations/rands/drbg_ctr.c,4,0,3,4,providers/implementations/rands/drbg_ctr.c,providers/implementations/rands/drbg_ctr.c,1,0,6,1,providers/implementations/rands/drbg_ctr.c,2,0,6,8
providers/implementations/encode_decode/ml_common_codecs.c,providers/implementations/encode_decode/ml_common_codecs.c,openssl,providers/implementations/encode_decode/ml_common_codecs.c,2,0,1,2,providers/implementations/encode_decode/ml_common_codecs.c,providers/implementations/encode_decode/ml_common_codecs.c,0,0,2,0,providers/implementations/encode_decode/ml_common_codecs.c,2,0,2,4
providers/implementations/keymgmt/ecx_kmgmt.c,providers/implementations/keymgmt/ecx_kmgmt.c,openssl,providers/implementations/keymgmt/ecx_kmgmt.c,0,0,0,0,providers/implementations/keymgmt/ecx_kmgmt.c,providers/implementations/keymgmt/ecx_kmgmt.c,0,0,0,0,providers/implementations/keymgmt/ec_kmgmt.c,1,0,0,1
providers/implementations/keymgmt/ec_kmgmt.c,providers/implementations/keymgmt/ec_kmgmt.c,openssl,providers/implementations/keymgmt/ec_kmgmt.c,0,0,0,0,providers/implementations/keymgmt/ec_kmgmt.c,providers/implementations/keymgmt/ec_kmgmt.c,0,0,0,0,providers/implementations/keymgmt/ec_kmgmt.c,1,0,0,1
providers/implementations/macs/siphash_prov.c,providers/implementations/macs/siphash_prov.c,openssl,providers/implementations/macs/siphash_prov.c,0,0,0,0,providers/implementations/macs/siphash_prov.c,providers/implementations/macs/siphash_prov.c,0,0,0,0,providers/implementations/macs/siphash_prov.c,4,0,0,4
providers/implementations/kdfs/sskdf.c,providers/implementations/kdfs/sskdf.c,openssl,providers/implementations/kdfs/sskdf.c,2,0,0,2,providers/implementations/kdfs/sskdf.c,providers/implementations/kdfs/sskdf.c,1,3,0,4,providers/implementations/kdfs/sskdf.c,2,3,0,5
providers/implementations/kdfs/sshkdf.c,providers/implementations/kdfs/sshkdf.c,openssl,providers/implementations/kdfs/sshkdf.c,1,0,0,1,providers/implementations/kdfs/sshkdf.c,providers/implementations/kdfs/sshkdf.c,0,1,0,1,providers/implementations/kdfs/sshkdf.c,3,1,0,4
providers/implementations/kdfs/pkcs12kdf.c,providers/implementations/kdfs/pkcs12kdf.c,openssl,providers/implementations/kdfs/pkcs12kdf.c,8,0,0,8,providers/implementations/kdfs/pkcs12kdf.c,providers/implementations/kdfs/pkcs12kdf.c,0,1,6,1,providers/implementations/kdfs/pkcs12kdf.c,3,1,6,10
providers/implementations/kdfs/pbkdf2.c,providers/implementations/kdfs/pbkdf2.c,openssl,providers/implementations/kdfs/pbkdf2.c,2,1,0,3,providers/implementations/kdfs/pbkdf2.c,providers/implementations/kdfs/pbkdf2.c,0,0,2,0,providers/implementations/kdfs/pbkdf2.c,3,0,2,5
providers/implementations/kdfs/tls1_prf.c,providers/implementations/kdfs/tls1_prf.c,openssl,providers/implementations/kdfs/tls1_prf.c,3,0,0,3,providers/implementations/kdfs/tls1_prf.c,providers/implementations/kdfs/tls1_prf.c,1,2,1,3,providers/implementations/kdfs/tls1_prf.c,4,2,1,7
