bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
ssl/quic/quic_demux.c,ssl/quic/quic_demux.c,0,5,3,8,10151,ssl/quic/quic_demux.c,2,5,3,10,9642
ssl/quic/quic_record_tx.c,ssl/quic/quic_record_tx.c,0,5,7,12,10597,ssl/quic/quic_record_tx.c,1,5,7,13,10525
engines/padlock-dso-e_padlock-x86_64.c,engines/padlock-dso-e_padlock-x86_64.c,16,3,9,28,10337,engines/padlock-dso-e_padlock-x86_64.c,18,3,9,30,10337
crypto/md5/md5_dgst.c,crypto/md5/md5_dgst.c,0,0,3,3,2484,crypto/md5/md5_dgst.c,3,0,3,6,2174
crypto/bn/bn_nist.c,crypto/bn/bn_nist.c,1,0,4,5,10982,crypto/bn/bn_nist.c,13,0,4,17,10586
engines/padlock-dso-e_padlock.c,engines/padlock-dso-e_padlock.c,2,1,14,17,18778,engines/padlock-dso-e_padlock.c,3,1,14,18,18218
ssl/t1_lib.c,ssl/t1_lib.c,9,15,59,83,58166,ssl/t1_lib.c,11,15,59,85,56741
providers/implementations/ciphers/cipher_chacha20_hw.c,providers/implementations/ciphers/cipher_chacha20_hw.c,0,2,3,5,3371,providers/implementations/ciphers/cipher_chacha20_hw.c,2,2,3,7,2967
crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,0,0,2,2,6665,crypto/bf/bf_enc.c,2,0,2,4,4445
ssl/record/methods/tls_common.c,ssl/record/methods/tls_common.c,2,6,18,26,24956,ssl/record/methods/tls_common.c,3,6,18,27,24718
crypto/des/ofb64ede.c,crypto/des/ofb64ede.c,0,0,1,1,950,crypto/des/ofb64ede.c,2,0,1,3,770
test/helpers/quicapitest-bin-quictestlib.c,test/helpers/quicapitest-bin-quictestlib.c,0,1,11,12,15422,test/helpers/quicapitest-bin-quictestlib.c,1,1,11,13,15095
ssl/record/methods/dtls_meth.c,ssl/record/methods/dtls_meth.c,0,2,1,3,7923,ssl/record/methods/dtls_meth.c,4,2,1,7,7261
crypto/bn/rsaz-4k-avx512.c,crypto/bn/rsaz-4k-avx512.c,0,0,2,2,6117,crypto/bn/rsaz-4k-avx512.c,4,0,2,6,5973
crypto/cmp/cmp_genm.c,crypto/cmp/cmp_genm.c,3,0,3,6,5703,crypto/cmp/cmp_genm.c,4,0,3,7,5576
crypto/modes/cbc128.c,crypto/modes/cbc128.c,0,0,3,3,8142,crypto/modes/cbc128.c,2,0,3,5,7553
ssl/quic/quic_channel.c,ssl/quic/quic_channel.c,15,4,10,29,48541,ssl/quic/quic_channel.c,16,4,10,30,48263
crypto/slh_dsa/slh_wots.c,crypto/slh_dsa/slh_wots.c,0,0,9,9,12713,crypto/slh_dsa/slh_wots.c,4,0,9,13,11997
ssl/ssl_conf.c,ssl/ssl_conf.c,0,1,8,9,15828,ssl/ssl_conf.c,1,1,8,10,15652
providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,5,3,7,15,21535,providers/implementations/ciphers/cipher_aes_cbc_hmac_sha256_hw.c,11,3,7,21,19668
crypto/evp/e_chacha20_poly1305.c,crypto/evp/e_chacha20_poly1305.c,0,2,5,7,9915,crypto/evp/e_chacha20_poly1305.c,3,2,5,10,9203
ssl/quic/quic_rcidm.c,ssl/quic/quic_rcidm.c,0,3,1,4,19461,ssl/quic/quic_rcidm.c,16,3,1,20,17993
crypto/sm3/sm3.c,crypto/sm3/sm3.c,0,0,4,4,19775,crypto/sm3/sm3.c,2,0,4,6,19395
crypto/des/set_key.c,crypto/des/set_key.c,0,0,2,2,2266,crypto/des/set_key.c,1,0,2,3,2118
crypto/provider_core.c,crypto/provider_core.c,3,1,18,22,22195,crypto/provider_core.c,6,1,18,25,21814
crypto/x509/x509cset.c,crypto/x509/x509cset.c,0,1,0,1,1633,crypto/x509/x509cset.c,3,1,0,4,1617
crypto/err/err_prn.c,crypto/err/err_prn.c,1,0,3,4,2198,crypto/err/err_prn.c,2,0,3,5,2122
crypto/ts/ts_rsp_sign.c,crypto/ts/ts_rsp_sign.c,1,0,3,4,9672,crypto/ts/ts_rsp_sign.c,3,0,3,6,9389
crypto/evp/e_aes_cbc_hmac_sha1.c,crypto/evp/e_aes_cbc_hmac_sha1.c,5,2,7,14,19259,crypto/evp/e_aes_cbc_hmac_sha1.c,9,2,7,18,18436
crypto/pem/pem_lib.c,crypto/pem/pem_lib.c,0,1,8,9,13260,crypto/pem/pem_lib.c,1,1,8,10,12729
crypto/store/store_result.c,crypto/store/store_result.c,0,1,1,2,5264,crypto/store/store_result.c,1,1,1,3,5191
crypto/evp/encode.c,crypto/evp/encode.c,0,3,5,8,6345,crypto/evp/encode.c,1,3,5,9,6246
ssl/statem/statem_lib.c,ssl/statem/statem_lib.c,4,2,12,18,33318,ssl/statem/statem_lib.c,5,2,12,19,32297
crypto/bn/x86_64-mont5.c,crypto/bn/x86_64-mont5.c,9,10,22,41,62085,crypto/bn/x86_64-mont5.c,14,10,22,46,61613
crypto/ec/curve25519.c,crypto/ec/curve25519.c,1,2,38,41,54945,crypto/ec/curve25519.c,25,2,38,65,52412
crypto/aes/aes_ige.c,crypto/aes/aes_ige.c,0,0,12,12,12424,crypto/aes/aes_ige.c,8,0,12,20,9944
crypto/evp/pmeth_lib.c,crypto/evp/pmeth_lib.c,0,2,0,2,32229,crypto/evp/pmeth_lib.c,1,2,0,3,30832
ssl/ssl_sess.c,ssl/ssl_sess.c,2,3,5,10,27306,ssl/ssl_sess.c,17,3,5,25,25680
ssl/statem/extensions_clnt.c,ssl/statem/extensions_clnt.c,6,3,8,17,29665,ssl/statem/extensions_clnt.c,7,3,8,18,28618
test/helpers/dtls_mtu_test-bin-ssltestlib.c,test/helpers/dtls_mtu_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/dtls_mtu_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/bn/rsaz-2k-avx512.c,crypto/bn/rsaz-2k-avx512.c,0,0,1,1,3252,crypto/bn/rsaz-2k-avx512.c,3,0,1,4,3214
crypto/bn/rsaz-avx2.c,crypto/bn/rsaz-avx2.c,0,1,5,6,22360,crypto/bn/rsaz-avx2.c,4,1,5,10,22289
providers/implementations/rands/drbg_hash.c,providers/implementations/rands/drbg_hash.c,0,3,10,13,6769,providers/implementations/rands/drbg_hash.c,3,3,8,14,6364
