bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,Repo,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
src/groups.c,src/groups.c,coreutils,src/groups.c,1,1,0,2,src/groups.c,0,0,0,0
src/coreutils-dir.c,src/coreutils-dir.c,coreutils,src/coreutils-dir.c,0,0,0,0,,,,,
src/coreutils-chgrp.c,src/coreutils-chgrp.c,coreutils,src/coreutils-chgrp.c,0,0,0,0,,,,,
src/seq.c,src/seq.c,coreutils,src/seq.c,4,5,1,9,src/seq.c,0,0,0,0
src/getlimits.c,src/getlimits.c,coreutils,src/getlimits.c,0,1,0,1,src/getlimits.c,0,0,0,0
src/printenv.c,src/printenv.c,coreutils,src/printenv.c,3,2,0,5,src/printenv.c,0,0,0,0
src/uniq.c,src/uniq.c,coreutils,src/uniq.c,3,3,0,6,src/uniq.c,0,0,0,0
src/who.c,src/who.c,coreutils,src/who.c,0,4,0,4,src/who.c,0,0,0,0
src/uname.c,src/uname.c,coreutils,src/uname.c,0,2,0,2,src/uname.c,0,0,0,0
src/cksum.c,src/cksum.c,coreutils,src/cksum.c,8,4,0,12,,,,,
src/df.c,src/df.c,coreutils,src/df.c,21,3,2,24,src/df.c,0,0,0,0
src/lbracket.c,src/lbracket.c,coreutils,src/lbracket.c,0,0,0,0,src/lbracket.c,0,0,0,0
src/comm.c,src/comm.c,coreutils,src/comm.c,3,2,0,5,src/comm.c,0,0,0,0
src/rm.c,src/rm.c,coreutils,src/rm.c,1,1,0,2,src/rm.c,0,0,0,0
src/yes.c,src/yes.c,coreutils,src/yes.c,1,1,2,2,src/yes.c,0,0,0,0
src/blake2/b2sum.c,src/blake2/b2sum.c,coreutils,src/blake2/b2sum.c,2,9,0,11,,,,,
src/blake2/blake2b-ref.c,src/blake2/blake2b-ref.c,coreutils,src/blake2/blake2b-ref.c,11,2,0,13,,,,,
src/remove.c,src/remove.c,coreutils,src/remove.c,1,1,0,2,src/remove.c,0,0,0,0
src/split.c,src/split.c,coreutils,src/split.c,4,20,4,24,src/split.c,0,0,0,0
src/printf.c,src/printf.c,coreutils,src/printf.c,7,3,1,10,src/printf.c,2,6,8,16
src/tac-pipe.c,src/tac-pipe.c,coreutils,src/tac-pipe.c,2,3,0,5,,,,,
src/libstdbuf.c,src/libstdbuf.c,coreutils,src/libstdbuf.c,0,0,0,0,,,,,
src/head.c,src/head.c,coreutils,src/head.c,6,11,1,17,src/head.c,3,6,15,24
src/ln.c,src/ln.c,coreutils,src/ln.c,1,1,0,2,src/ln.c,0,0,0,0
src/whoami.c,src/whoami.c,coreutils,src/whoami.c,0,0,0,0,src/whoami.c,0,0,0,0
src/temp-stream.c,src/temp-stream.c,coreutils,src/temp-stream.c,0,1,0,1,src/temp-stream.c,0,0,0,0
src/basename.c,src/basename.c,coreutils,src/basename.c,1,2,0,3,src/basename.c,0,0,0,0
src/cksum_vmull.c,src/cksum_vmull.c,coreutils,src/cksum_vmull.c,0,4,0,4,,,,,
src/tee.c,src/tee.c,coreutils,src/tee.c,4,2,0,6,src/tee.c,0,0,0,0
src/set-fields.c,src/set-fields.c,coreutils,src/set-fields.c,3,1,0,4,src/set-fields.c,0,0,0,0
src/expand-common.c,src/expand-common.c,coreutils,src/expand-common.c,3,1,0,4,src/expand-common.c,0,0,0,0
