bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
groups.c,../samples/.cache/coreutils/coreutils-9.7/src/groups.c,1,1,0,2,../samples/decompilations/rerolled/src groups.c,0,0,0,0
coreutils-dir.c,../samples/.cache/coreutils/coreutils-9.7/src/coreutils-dir.c,0,0,0,0,,,,,
coreutils-chgrp.c,../samples/.cache/coreutils/coreutils-9.7/src/coreutils-chgrp.c,0,0,0,0,,,,,
seq.c,../samples/.cache/coreutils/coreutils-9.7/src/seq.c,4,5,1,9,../samples/decompilations/rerolled/src seq.c,0,0,0,0
getlimits.c,../samples/.cache/coreutils/coreutils-9.7/src/getlimits.c,0,1,0,1,../samples/decompilations/rerolled/src getlimits.c,0,0,0,0
printenv.c,../samples/.cache/coreutils/coreutils-9.7/src/printenv.c,3,2,0,5,../samples/decompilations/rerolled/src printenv.c,0,0,0,0
uniq.c,../samples/.cache/coreutils/coreutils-9.7/src/uniq.c,3,3,0,6,../samples/decompilations/rerolled/src uniq.c,0,0,0,0
who.c,../samples/.cache/coreutils/coreutils-9.7/src/who.c,0,4,0,4,../samples/decompilations/rerolled/src who.c,0,0,0,0
uname.c,../samples/.cache/coreutils/coreutils-9.7/lib/uname.c,0,1,0,1,../samples/decompilations/rerolled/src uname.c,0,0,0,0
cksum.c,../samples/.cache/coreutils/coreutils-9.7/src/cksum.c,8,4,0,12,,,,,
df.c,../samples/.cache/coreutils/coreutils-9.7/src/df.c,21,3,2,24,../samples/decompilations/rerolled/src df.c,0,0,0,0
lbracket.c,../samples/.cache/coreutils/coreutils-9.7/src/lbracket.c,0,0,0,0,../samples/decompilations/rerolled/src lbracket.c,0,0,0,0
comm.c,../samples/.cache/coreutils/coreutils-9.7/src/comm.c,3,2,0,5,../samples/decompilations/rerolled/src comm.c,0,0,0,0
rm.c,../samples/.cache/coreutils/coreutils-9.7/src/rm.c,1,1,0,2,../samples/decompilations/rerolled/src rm.c,0,0,0,0
yes.c,../samples/.cache/coreutils/coreutils-9.7/src/yes.c,1,1,2,2,../samples/decompilations/rerolled/src yes.c,0,0,0,0
b2sum.c,../samples/.cache/coreutils/coreutils-9.7/src/blake2/b2sum.c,2,9,0,11,,,,,
blake2b-ref.c,../samples/.cache/coreutils/coreutils-9.7/src/blake2/blake2b-ref.c,11,2,0,13,,,,,
remove.c,../samples/.cache/coreutils/coreutils-9.7/lib/remove.c,0,0,0,0,../samples/decompilations/rerolled/src remove.c,0,0,0,0
split.c,../samples/.cache/coreutils/coreutils-9.7/src/split.c,4,20,4,24,../samples/decompilations/rerolled/src split.c,0,0,0,0
printf.c,../samples/.cache/coreutils/coreutils-9.7/src/printf.c,7,3,1,10,../samples/decompilations/rerolled/src printf.c,2,6,8,16
tac-pipe.c,../samples/.cache/coreutils/coreutils-9.7/src/tac-pipe.c,2,3,0,5,,,,,
libstdbuf.c,../samples/.cache/coreutils/coreutils-9.7/src/libstdbuf.c,0,0,0,0,,,,,
head.c,../samples/.cache/coreutils/coreutils-9.7/src/head.c,6,11,1,17,../samples/decompilations/rerolled/src head.c,3,6,15,24
ln.c,../samples/.cache/coreutils/coreutils-9.7/src/ln.c,1,1,0,2,../samples/decompilations/rerolled/src ln.c,0,0,0,0
whoami.c,../samples/.cache/coreutils/coreutils-9.7/src/whoami.c,0,0,0,0,../samples/decompilations/rerolled/src whoami.c,0,0,0,0
temp-stream.c,../samples/.cache/coreutils/coreutils-9.7/src/temp-stream.c,0,1,0,1,../samples/decompilations/rerolled/src temp-stream.c,0,0,0,0
basename.c,../samples/.cache/coreutils/coreutils-9.7/lib/basename.c,0,0,0,0,../samples/decompilations/rerolled/src basename.c,0,0,0,0
cksum_vmull.c,../samples/.cache/coreutils/coreutils-9.7/src/cksum_vmull.c,0,4,0,4,,,,,
tee.c,../samples/.cache/coreutils/coreutils-9.7/src/tee.c,4,2,0,6,../samples/decompilations/rerolled/src tee.c,0,0,0,0
set-fields.c,../samples/.cache/coreutils/coreutils-9.7/src/set-fields.c,3,1,0,4,../samples/decompilations/rerolled/src set-fields.c,0,0,0,0
expand-common.c,../samples/.cache/coreutils/coreutils-9.7/src/expand-common.c,3,1,0,4,../samples/decompilations/rerolled/src expand-common.c,0,0,0,0
cp.c,../samples/.cache/coreutils/coreutils-9.7/src/cp.c,2,7,1,9,../samples/decompilations/rerolled/src cp.c,4,10,4,18
csplit.c,../samples/.cache/coreutils/coreutils-9.7/src/csplit.c,13,10,0,23,../samples/decompilations/rerolled/src csplit.c,0,0,0,0
ls-vdir.c,../samples/.cache/coreutils/coreutils-9.7/src/ls-vdir.c,0,0,0,0,../samples/decompilations/rerolled/src ls-vdir.c,0,0,0,0
sum.c,../samples/.cache/coreutils/coreutils-9.7/src/sum.c,4,4,0,8,,,,,
users.c,../samples/.cache/coreutils/coreutils-9.7/src/users.c,2,1,0,3,../samples/decompilations/rerolled/src users.c,0,0,0,0
touch.c,../samples/.cache/coreutils/coreutils-9.7/src/touch.c,1,1,0,2,../samples/decompilations/rerolled/src touch.c,0,0,0,0
cksum_pclmul.c,../samples/.cache/coreutils/coreutils-9.7/src/cksum_pclmul.c,0,4,0,4,,,,,
date.c,../samples/.cache/coreutils/coreutils-9.7/src/date.c,2,2,0,4,../samples/decompilations/rerolled/src date.c,0,0,0,0
cut.c,../samples/.cache/coreutils/coreutils-9.7/src/cut.c,1,5,0,6,../samples/decompilations/rerolled/src cut.c,0,0,0,0
cp-hash.c,../samples/.cache/coreutils/coreutils-9.7/src/cp-hash.c,0,0,0,0,../samples/decompilations/rerolled/src cp-hash.c,0,0,0,0
tail.c,../samples/.cache/coreutils/coreutils-9.7/src/tail.c,21,14,2,35,../samples/decompilations/rerolled/src tail.c,0,0,0,0
mkfifo.c,../samples/.cache/coreutils/coreutils-9.7/lib/mkfifo.c,0,0,0,0,../samples/decompilations/rerolled/src mkfifo.c,0,0,0,0
wc.c,../samples/.cache/coreutils/coreutils-9.7/src/wc.c,11,2,2,13,../samples/decompilations/rerolled/src wc.c,0,0,0,0
rmdir.c,../samples/.cache/coreutils/coreutils-9.7/lib/rmdir.c,0,1,0,1,../samples/decompilations/rerolled/src rmdir.c,0,0,0,0
unlink.c,../samples/.cache/coreutils/coreutils-9.7/lib/unlink.c,0,1,0,1,../samples/decompilations/rerolled/src unlink.c,0,0,0,0
factor.c,../samples/.cache/coreutils/coreutils-9.7/src/factor.c,45,13,9,58,../samples/decompilations/rerolled/src factor.c,0,0,0,0
pwd.c,../samples/.cache/coreutils/coreutils-9.7/src/pwd.c,1,4,0,5,../samples/decompilations/rerolled/src pwd.c,0,0,0,0
id.c,../samples/.cache/coreutils/coreutils-9.7/src/id.c,2,1,0,3,../samples/decompilations/rerolled/src id.c,0,0,0,0
group-list.c,../samples/.cache/coreutils/coreutils-9.7/src/group-list.c,1,0,0,1,../samples/decompilations/rerolled/src group-list.c,0,0,0,0
nproc.c,../samples/.cache/coreutils/coreutils-9.7/lib/nproc.c,7,2,0,9,../samples/decompilations/rerolled/src nproc.c,0,0,0,0
shred.c,../samples/.cache/coreutils/coreutils-9.7/src/shred.c,7,6,1,13,../samples/decompilations/rerolled/src shred.c,0,0,0,0
stdbuf.c,../samples/.cache/coreutils/coreutils-9.7/src/stdbuf.c,2,3,0,5,../samples/decompilations/rerolled/src stdbuf.c,0,0,0,0
ls.c,../samples/.cache/coreutils/coreutils-9.7/src/ls.c,41,19,3,60,../samples/decompilations/rerolled/src ls.c,0,0,0,0
install.c,../samples/.cache/coreutils/coreutils-9.7/src/install.c,1,2,0,3,../samples/decompilations/rerolled/src install.c,0,0,0,0
readlink.c,../samples/.cache/coreutils/coreutils-9.7/lib/readlink.c,0,0,0,0,../samples/decompilations/rerolled/src readlink.c,0,0,0,0
numfmt.c,../samples/.cache/coreutils/coreutils-9.7/src/numfmt.c,5,13,0,18,../samples/decompilations/rerolled/src numfmt.c,0,0,0,0
du.c,../samples/.cache/coreutils/coreutils-9.7/src/du.c,1,6,0,7,../samples/decompilations/rerolled/src du.c,0,0,0,0
chmod.c,../samples/.cache/coreutils/coreutils-9.7/lib/chmod.c,0,0,0,0,../samples/decompilations/rerolled/src chmod.c,0,0,0,0
hostid.c,../samples/.cache/coreutils/coreutils-9.7/src/hostid.c,0,0,0,0,../samples/decompilations/rerolled/src hostid.c,0,0,0,0
echo.c,../samples/.cache/coreutils/coreutils-9.7/src/echo.c,1,5,0,6,../samples/decompilations/rerolled/src echo.c,0,0,0,0
cksum_avx2.c,../samples/.cache/coreutils/coreutils-9.7/src/cksum_avx2.c,0,4,0,4,,,,,
digest.c,../samples/.cache/openssl/openssl-3.5.0/crypto/evp/digest.c,3,0,0,3,,,,,
expr.c,../samples/.cache/coreutils/coreutils-9.7/src/expr.c,5,6,2,11,../samples/decompilations/rerolled/src expr.c,0,0,0,0
paste.c,../samples/.cache/coreutils/coreutils-9.7/src/paste.c,3,5,0,8,../samples/decompilations/rerolled/src paste.c,0,0,0,0
link.c,../samples/.cache/coreutils/coreutils-9.7/lib/link.c,0,1,0,1,../samples/decompilations/rerolled/src link.c,0,0,0,0
stat.c,../samples/.cache/coreutils/coreutils-9.7/lib/stat.c,1,4,0,5,../samples/decompilations/rerolled/src stat.c,0,0,0,0
dd.c,../samples/.cache/coreutils/coreutils-9.7/src/dd.c,12,7,10,19,../samples/decompilations/rerolled/src dd.c,0,0,0,0
ls-ls.c,../samples/.cache/coreutils/coreutils-9.7/src/ls-ls.c,0,0,0,0,../samples/decompilations/rerolled/src ls-ls.c,0,0,0,0
chown-chgrp.c,../samples/.cache/coreutils/coreutils-9.7/src/chown-chgrp.c,0,0,0,0,../samples/decompilations/rerolled/src chown-chgrp.c,0,0,0,0
hostname.c,../samples/.cache/coreutils/coreutils-9.7/src/hostname.c,0,0,0,0,,,,,
sort.c,../samples/.cache/godot/godot-4.4.1-stable/thirdparty/libbacktrace/sort.c,2,0,0,2,../samples/decompilations/rerolled/src sort.c,5,49,57,111
operand2sig.c,../samples/.cache/coreutils/coreutils-9.7/src/operand2sig.c,1,0,0,1,../samples/decompilations/rerolled/src operand2sig.c,0,0,0,0
fmt.c,../samples/.cache/openssl/openssl-3.5.0/apps/lib/fmt.c,0,0,0,0,../samples/decompilations/rerolled/src fmt.c,0,0,0,0
pathchk.c,../samples/.cache/coreutils/coreutils-9.7/src/pathchk.c,5,2,0,7,../samples/decompilations/rerolled/src pathchk.c,0,0,0,0
prog-fprintf.c,../samples/.cache/coreutils/coreutils-9.7/src/prog-fprintf.c,0,0,0,0,../samples/decompilations/rerolled/src prog-fprintf.c,0,0,0,0
coreutils-arch.c,../samples/.cache/coreutils/coreutils-9.7/src/coreutils-arch.c,0,0,0,0,,,,,
expand.c,../samples/.cache/coreutils/coreutils-9.7/src/expand.c,0,4,1,4,../samples/decompilations/rerolled/src expand.c,0,0,0,0
fold.c,../samples/.cache/coreutils/coreutils-9.7/src/fold.c,2,3,0,5,../samples/decompilations/rerolled/src fold.c,0,0,0,0
find-mount-point.c,../samples/.cache/coreutils/coreutils-9.7/src/find-mount-point.c,0,1,0,1,../samples/decompilations/rerolled/src find-mount-point.c,0,0,0,0
relpath.c,../samples/.cache/coreutils/coreutils-9.7/src/relpath.c,1,1,0,2,../samples/decompilations/rerolled/src relpath.c,0,0,0,0
dircolors.c,../samples/.cache/coreutils/coreutils-9.7/src/dircolors.c,3,6,1,9,../samples/decompilations/rerolled/src dircolors.c,2,6,7,15
tty.c,../samples/.cache/coreutils/coreutils-9.7/src/tty.c,0,1,0,1,../samples/decompilations/rerolled/src tty.c,0,0,0,0
env.c,../samples/.cache/coreutils/coreutils-9.7/src/env.c,10,7,0,17,../samples/decompilations/rerolled/src env.c,4,3,13,20
nice.c,../samples/.cache/coreutils/coreutils-9.7/src/nice.c,1,0,0,1,../samples/decompilations/rerolled/src nice.c,0,0,0,0
chcon.c,../samples/.cache/coreutils/coreutils-9.7/src/chcon.c,0,2,0,2,../samples/decompilations/rerolled/src chcon.c,0,0,0,0
