bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
libcrypto-shlib-pcy_tree.c,../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-pcy_tree.c,0,0,0,0,,,,,
libcrypto-lib-p12_crpt.c,../samples/decompilations/rerolled/crypto pkcs12 libcrypto-lib-p12_crpt.c,0,0,0,0,,,,,
libcrypto-shlib-rsa_schemes.c,../samples/decompilations/rerolled/crypto rsa libcrypto-shlib-rsa_schemes.c,0,0,0,0,,,,,
quic_ackm_test-bin-cc_dummy.c,../samples/decompilations/rerolled/test quic_ackm_test-bin-cc_dummy.c,0,0,0,0,,,,,
mesh_library_editor_plugin.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor plugins mesh_library_editor_plugin.linuxbsd.editor.x86_64.c,15,15,29,59,,,,,
libcoreutils_a-utimecmp.c,../samples/decompilations/rerolled/lib libcoreutils_a-utimecmp.c,0,0,0,0,,,,,
openxr_huawei_controller_extension.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules openxr extensions openxr_huawei_controller_extension.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
animation_player.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene animation animation_player.linuxbsd.editor.x86_64.c,6,39,85,130,,,,,
alpha_enc.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libwebp src enc alpha_enc.linuxbsd.editor.x86_64.c,1,0,4,5,,,,,
libcoreutils_a-renameatu.c,../samples/decompilations/rerolled/lib libcoreutils_a-renameatu.c,0,0,0,0,,,,,
libcrypto-lib-cms_kari.c,../samples/decompilations/rerolled/crypto cms libcrypto-lib-cms_kari.c,0,0,0,0,,,,,
libcoreutils_a-ctype_alnum.c,../samples/decompilations/rerolled/lib unictype libcoreutils_a-ctype_alnum.c,0,0,0,0,,,,,
bit_reader.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty brotli dec bit_reader.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
recastregion.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty recastnavigation Recast Source RecastRegion.linuxbsd.editor.x86_64.c,3,15,65,83,,,,,
scene_shader_forward_mobile.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/servers rendering renderer_rd forward_mobile scene_shader_forward_mobile.linuxbsd.editor.x86_64.c,11,18,93,122,,,,,
skeleton_3d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene 3d skeleton_3d.linuxbsd.editor.x86_64.c,17,26,81,124,,,,,
libcrypto-shlib-ml_dsa_sample.c,../samples/decompilations/rerolled/crypto ml_dsa libcrypto-shlib-ml_dsa_sample.c,0,0,0,0,,,,,
convectionkernels_bc7_priodata.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty cvtt ConvectionKernels_BC7_PrioData.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-lib-store_init.c,../samples/decompilations/rerolled/crypto store libcrypto-lib-store_init.c,0,0,0,0,,,,,
editor_scene_importer_ufbx.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules fbx editor editor_scene_importer_ufbx.linuxbsd.editor.x86_64.c,14,12,37,63,,,,,
constraint.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Physics Constraints Constraint.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcoreutils_a-chownat.c,../samples/decompilations/rerolled/lib libcoreutils_a-chownat.c,0,0,0,0,,,,,
nodefltctxtest-bin-nodefltctxtest.c,../samples/decompilations/rerolled/test nodefltctxtest-bin-nodefltctxtest.c,0,0,0,0,,,,,
cmapcache.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty graphite src CmapCache.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
register_types.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules multiplayer register_types.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
factory.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Core Factory.linuxbsd.editor.x86_64.c,19,13,27,59,,,,,
file_info.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor file_info.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcoreutils_a-version-etc.c,../samples/decompilations/rerolled/lib libcoreutils_a-version-etc.c,0,0,0,0,,,,,
spring_arm_3d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene 3d physics spring_arm_3d.linuxbsd.editor.x86_64.c,11,4,19,34,,,,,
libcrypto-lib-aes-x86_64.c,../samples/decompilations/rerolled/crypto aes libcrypto-lib-aes-x86_64.c,0,0,0,0,,,,,
view_panner.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene gui view_panner.linuxbsd.editor.x86_64.c,7,0,8,15,,,,,
libcrypto-shlib-e_sm4.c,../samples/decompilations/rerolled/crypto evp libcrypto-shlib-e_sm4.c,0,0,0,0,,,,,
libdefault-lib-drbg.c,../samples/decompilations/rerolled/providers implementations rands libdefault-lib-drbg.c,1,0,7,8,,,,,
openssl-bin-dsaparam.c,../samples/decompilations/rerolled/apps openssl-bin-dsaparam.c,0,0,0,0,,,,,
bench_crc-randomb.c,../samples/decompilations/rerolled/gnulib-tests bench_crc-randomb.c,0,0,0,0,,,,,
libcrypto-lib-pkcs7err.c,../samples/decompilations/rerolled/crypto pkcs7 libcrypto-lib-pkcs7err.c,0,0,0,0,,,,,
ftinit.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty freetype src base ftinit.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcoreutils_a-dtimespec-bound.c,../samples/decompilations/rerolled/lib libcoreutils_a-dtimespec-bound.c,0,0,0,0,,,,,
featuremap.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty graphite src FeatureMap.linuxbsd.editor.x86_64.c,4,1,12,17,,,,,
libssl-shlib-quic_demux.c,../samples/decompilations/rerolled/ssl quic libssl-shlib-quic_demux.c,2,5,3,10,,,,,
provider_pkey_test-bin-provider_pkey_test.c,../samples/decompilations/rerolled/test provider_pkey_test-bin-provider_pkey_test.c,0,0,0,0,,,,,
tvgaccessor.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty thorvg src renderer tvgAccessor.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libssl-lib-quic_record_tx.c,../samples/decompilations/rerolled/ssl quic libssl-lib-quic_record_tx.c,1,5,7,13,,,,,
loader_logger_recorders.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty openxr src loader loader_logger_recorders.linuxbsd.editor.x86_64.c,2,0,4,6,,,,,
capsule_shape_2d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene resources 2d capsule_shape_2d.linuxbsd.editor.x86_64.c,5,1,13,19,,,,,
libcrypto-lib-ecb3_enc.c,../samples/decompilations/rerolled/crypto des libcrypto-lib-ecb3_enc.c,0,0,0,0,,,,,
bench_sha384-bench-sha384.c,../samples/decompilations/rerolled/gnulib-tests bench_sha384-bench-sha384.c,0,0,0,0,,,,,
cksum-crctab.c,../samples/decompilations/rerolled/src cksum-crctab.c,0,0,0,0,,,,,
users.c,../samples/decompilations/rerolled/src users.c,0,0,0,0,../samples/.cache/coreutils/coreutils-9.7/src/users.c,2,1,0,3
libcrypto-lib-bss_mem.c,../samples/decompilations/rerolled/crypto bio libcrypto-lib-bss_mem.c,0,0,0,0,,,,,
liblegacy-lib-cipher_rc4_hmac_md5_hw.c,../samples/decompilations/rerolled/providers implementations ciphers liblegacy-lib-cipher_rc4_hmac_md5_hw.c,0,0,0,0,,,,,
fbx_state.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules fbx fbx_state.linuxbsd.editor.x86_64.c,3,0,4,7,,,,,
jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules jolt_physics joints jolt_hinge_joint_3d.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
compoundshape.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Physics Collision Shape CompoundShape.linuxbsd.editor.x86_64.c,16,3,18,37,,,,,
res0.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libvorbis res0.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
