Repo,File,for loops,while loops,do-while loops,total
coreutil,src/groups.c,1,1,0,2
coreutil,src/coreutils-dir.c,0,0,0,0
coreutil,src/coreutils-chgrp.c,0,0,0,0
coreutil,src/seq.c,4,5,1,9
coreutil,src/getlimits.c,0,1,0,1
coreutil,src/printenv.c,3,2,0,5
coreutil,src/uniq.c,3,3,0,6
coreutil,src/who.c,0,4,0,4
coreutil,src/uname.c,0,2,0,2
coreutil,src/cksum.c,8,4,0,12
coreutil,src/df.c,21,3,2,24
coreutil,src/lbracket.c,0,0,0,0
coreutil,src/comm.c,3,2,0,5
coreutil,src/rm.c,1,1,0,2
coreutil,src/yes.c,1,1,2,2
coreutil,src/blake2/b2sum.c,2,9,0,11
coreutil,src/blake2/blake2b-ref.c,11,2,0,13
coreutil,src/remove.c,1,1,0,2
coreutil,src/split.c,4,20,4,24
coreutil,src/printf.c,7,3,1,10
coreutil,src/tac-pipe.c,2,3,0,5
coreutil,src/libstdbuf.c,0,0,0,0
coreutil,src/head.c,6,11,1,17
coreutil,src/ln.c,1,1,0,2
coreutil,src/whoami.c,0,0,0,0
coreutil,src/temp-stream.c,0,1,0,1
coreutil,src/basename.c,1,2,0,3
coreutil,src/cksum_vmull.c,0,4,0,4
coreutil,src/tee.c,4,2,0,6
coreutil,src/set-fields.c,3,1,0,4
coreutil,src/expand-common.c,3,1,0,4
coreutil,src/cp.c,2,7,1,9
coreutil,src/csplit.c,13,10,0,23
coreutil,src/ls-vdir.c,0,0,0,0
coreutil,src/sum.c,4,4,0,8
coreutil,src/users.c,2,1,0,3
coreutil,src/touch.c,1,1,0,2
coreutil,src/cksum_pclmul.c,0,4,0,4
coreutil,src/date.c,2,2,0,4
coreutil,src/cut.c,1,5,0,6
coreutil,src/cp-hash.c,0,0,0,0
coreutil,src/tail.c,21,14,2,35
coreutil,src/mkfifo.c,1,1,0,2
coreutil,src/wc.c,11,2,2,13
coreutil,src/rmdir.c,1,3,0,4
coreutil,src/unlink.c,0,0,0,0
coreutil,src/factor.c,45,13,9,58
coreutil,src/pwd.c,1,4,0,5
coreutil,src/id.c,2,1,0,3
coreutil,src/group-list.c,1,0,0,1
coreutil,src/nproc.c,0,1,0,1
coreutil,src/shred.c,7,6,1,13
coreutil,src/stdbuf.c,2,3,0,5
coreutil,src/ls.c,41,19,3,60
coreutil,src/install.c,1,2,0,3
coreutil,src/readlink.c,1,1,0,2
coreutil,src/numfmt.c,5,13,0,18
coreutil,src/du.c,1,6,0,7
coreutil,src/chmod.c,0,2,0,2
coreutil,src/hostid.c,0,0,0,0
coreutil,src/echo.c,1,5,0,6
coreutil,src/cksum_avx2.c,0,4,0,4
coreutil,src/digest.c,7,10,1,17
coreutil,src/expr.c,5,6,2,11
coreutil,src/paste.c,3,5,0,8
coreutil,src/link.c,0,0,0,0
coreutil,src/stat.c,9,2,1,11
coreutil,src/dd.c,12,7,10,19
coreutil,src/ls-ls.c,0,0,0,0
coreutil,src/chown-chgrp.c,0,0,0,0
coreutil,src/hostname.c,0,0,0,0
coreutil,src/sort.c,32,58,8,90
coreutil,src/operand2sig.c,1,0,0,1
coreutil,src/fmt.c,9,11,5,20
coreutil,src/pathchk.c,5,2,0,7
coreutil,src/prog-fprintf.c,0,0,0,0
coreutil,src/coreutils-arch.c,0,0,0,0
coreutil,src/expand.c,0,4,1,4
coreutil,src/fold.c,2,3,0,5
coreutil,src/find-mount-point.c,0,1,0,1
coreutil,src/relpath.c,1,1,0,2
coreutil,src/dircolors.c,3,6,1,9
coreutil,src/tty.c,0,1,0,1
coreutil,src/env.c,10,7,0,17
coreutil,src/nice.c,1,0,0,1
coreutil,src/chcon.c,0,2,0,2
coreutil,src/sleep.c,1,0,0,1
coreutil,src/timeout.c,0,2,0,2
coreutil,src/copy.c,0,7,0,7
coreutil,src/tr.c,25,9,1,34
coreutil,src/pr.c,31,13,0,44
coreutil,src/iopoll.c,2,2,0,4
coreutil,src/join.c,9,7,3,16
coreutil,src/od.c,13,11,4,24
coreutil,src/coreutils-vdir.c,0,0,0,0
coreutil,src/uname-arch.c,0,0,0,0
coreutil,src/uname-uname.c,0,0,0,0
coreutil,src/mkdir.c,0,1,0,1
coreutil,src/dirname.c,1,1,0,2
coreutil,src/runcon.c,0,1,0,1
coreutil,src/version.c,0,0,0,0
coreutil,src/shuf.c,10,1,1,11
coreutil,src/uptime.c,1,0,0,1
coreutil,src/chown.c,0,1,0,1
coreutil,src/false.c,0,0,0,0
coreutil,src/force-link.c,0,0,0,0
coreutil,src/mv.c,2,1,0,3
coreutil,src/test.c,2,5,0,7
coreutil,src/basenc.c,7,12,4,19
coreutil,src/make-prime-list.c,6,1,1,7
coreutil,src/tac.c,1,8,0,9
coreutil,src/stty.c,15,2,0,17
coreutil,src/chroot.c,1,2,0,3
coreutil,src/cksum_avx512.c,0,4,0,4
coreutil,src/coreutils.c,0,0,0,0
coreutil,src/tsort.c,0,9,1,9
coreutil,src/selinux.c,1,0,0,1
coreutil,src/kill.c,6,1,1,7
coreutil,src/ptx.c,16,15,0,31
coreutil,src/cat.c,1,5,4,6
coreutil,src/true.c,0,0,0,0
coreutil,src/mktemp.c,1,1,0,2
coreutil,src/nl.c,1,3,0,4
coreutil,src/unexpand.c,0,3,1,3
coreutil,src/wc_avx2.c,1,2,0,3
coreutil,src/show-date.c,0,0,0,0
coreutil,src/pinky.c,3,6,0,9
coreutil,src/sync.c,1,1,0,2
coreutil,src/chown-chown.c,0,0,0,0
coreutil,src/logname.c,0,0,0,0
coreutil,src/truncate.c,1,3,0,4
coreutil,src/chown-core.c,0,1,0,1
coreutil,src/ls-dir.c,0,0,0,0
coreutil,src/realpath.c,1,2,0,3
coreutil,src/mknod.c,0,1,0,1
coreutil,src/nohup.c,0,0,0,0
coreutil,src/crctab.c,0,0,0,0
coreutil,lib/unsetenv.c,0,2,1,2
coreutil,lib/regex.c,0,0,0,0
coreutil,lib/iconv_close.c,0,0,0,0
coreutil,lib/iswxdigit.c,0,0,0,0
coreutil,lib/chownat.c,0,0,0,0
coreutil,lib/at-func2.c,0,0,0,0
coreutil,lib/fsusage.c,0,0,0,0
coreutil,lib/mini-gmp-gnulib.c,0,0,0,0
coreutil,lib/cl-strtod.c,0,0,0,0
coreutil,lib/write.c,1,0,0,1
coreutil,lib/readlinkat.c,0,0,0,0
coreutil,lib/acl_entries.c,2,0,0,2
coreutil,lib/frexpl.c,0,0,0,0
coreutil,lib/mbtowc.c,0,0,0,0
coreutil,lib/stat-w32.c,1,0,0,1
coreutil,lib/getloadavg.c,7,2,0,9
coreutil,lib/allocator.c,0,0,0,0
coreutil,lib/utimensat.c,0,0,0,0
coreutil,lib/savedir.c,2,0,0,2
coreutil,lib/umaxtostr.c,0,0,0,0
coreutil,lib/xstrtoimax.c,0,0,0,0
coreutil,lib/exitfail.c,0,0,0,0
coreutil,lib/opendir.c,0,0,0,0
coreutil,lib/putenv.c,2,0,0,2
coreutil,lib/sha512-stream.c,0,2,0,2
coreutil,lib/fprintftime.c,0,0,0,0
coreutil,lib/xtime.c,0,0,0,0
coreutil,lib/se-context.c,0,0,0,0
coreutil,lib/c32width.c,0,0,0,0
coreutil,lib/selinux-at.c,0,0,0,0
coreutil,lib/md5.c,0,2,0,2
coreutil,lib/group-member.c,2,0,0,2
coreutil,lib/uname.c,0,1,0,1
coreutil,lib/c32isalnum.c,0,0,0,0
coreutil,lib/tzset.c,2,0,0,2
coreutil,lib/unictype/ctype_print.c,0,0,0,0
coreutil,lib/unictype/ctype_upper.c,0,0,0,0
coreutil,lib/unictype/ctype_blank.c,0,0,0,0
coreutil,lib/unictype/ctype_space.c,0,0,0,0
coreutil,lib/unictype/ctype_graph.c,0,0,0,0
coreutil,lib/unictype/ctype_alnum.c,0,0,0,0
coreutil,lib/unictype/ctype_cntrl.c,0,0,0,0
coreutil,lib/unictype/ctype_lower.c,0,0,0,0
coreutil,lib/unictype/ctype_alpha.c,0,0,0,0
coreutil,lib/unictype/ctype_xdigit.c,0,0,0,0
coreutil,lib/unictype/ctype_punct.c,0,0,0,0
coreutil,lib/unictype/ctype_digit.c,0,0,0,0
coreutil,lib/ftell.c,0,0,0,0
coreutil,lib/getcwd-lgpl.c,0,0,1,0
coreutil,lib/pthread-cond.c,2,0,0,2
coreutil,lib/sm3-stream.c,0,2,0,2
coreutil,lib/signbitd.c,0,0,0,0
coreutil,lib/freopen-safer.c,0,0,0,0
coreutil,lib/strsignal.c,0,0,0,0
coreutil,lib/unlinkdir.c,0,0,0,0
coreutil,lib/anytostr.c,0,0,2,0
coreutil,lib/xstrtol-error.c,0,0,0,0
coreutil,lib/strintcmp.c,0,0,0,0
coreutil,lib/dup.c,0,0,0,0
coreutil,lib/pthread_sigmask.c,0,0,0,0
coreutil,lib/at-func.c,0,0,0,0
coreutil,lib/lchown.c,0,0,0,0
coreutil,lib/sys_socket.c,0,0,0,0
coreutil,lib/argv-iter.c,0,0,0,0
coreutil,lib/basename-lgpl.c,2,1,0,3
coreutil,lib/c-strncasecmp.c,0,0,1,0
coreutil,lib/getugroups.c,2,1,0,3
coreutil,lib/isatty.c,0,0,0,0
coreutil,lib/offtostr.c,0,0,0,0
coreutil,lib/localeconv.c,0,0,0,0
coreutil,lib/linkat.c,0,2,0,2
coreutil,lib/savewd.c,3,1,0,4
coreutil,lib/strtol.c,2,1,0,3
coreutil,lib/opendirat.c,0,0,0,0
coreutil,lib/windows-recmutex.c,0,1,0,1
coreutil,lib/getdelim.c,1,0,0,1
coreutil,lib/wctype.c,0,0,0,0
coreutil,lib/iswctype.c,0,0,0,0
coreutil,lib/setlocale-lock.c,0,1,0,1
coreutil,lib/windows-once.c,0,1,0,1
coreutil,lib/stdc_trailing_zeros.c,0,0,0,0
coreutil,lib/fchown-stub.c,0,0,0,0
coreutil,lib/mkstemp-safer.c,0,0,0,0
coreutil,lib/xvasprintf.c,3,0,0,3
coreutil,lib/hash.c,22,6,1,28
coreutil,lib/xmemcoll.c,0,0,0,0
coreutil,lib/set-permissions.c,2,0,0,2
coreutil,lib/fclose.c,0,0,0,0
coreutil,lib/memchr.c,3,1,0,4
coreutil,lib/sha512.c,3,2,0,5
coreutil,lib/remove.c,0,0,0,0
coreutil,lib/error.c,0,0,0,0
coreutil,lib/realloc.c,0,0,0,0
coreutil,lib/backupfile.c,2,2,0,4
coreutil,lib/closein.c,0,0,0,0
coreutil,lib/sig-handler.c,0,0,0,0
coreutil,lib/mbsrtoc32s.c,0,0,0,0
coreutil,lib/dirfd.c,0,0,0,0
coreutil,lib/c32isspace.c,0,0,0,0
coreutil,lib/xfts.c,0,0,0,0
coreutil,lib/memcoll.c,0,1,0,1
coreutil,lib/root-dev-ino.c,0,0,0,0
coreutil,lib/renameatu.c,0,0,0,0
coreutil,lib/tmpdir.c,0,0,0,0
coreutil,lib/setlocale_null.c,0,0,0,0
coreutil,lib/posix_memalign.c,0,0,0,0
coreutil,lib/c32isgraph.c,0,0,0,0
coreutil,lib/xstrtoul.c,0,0,0,0
coreutil,lib/dup-safer.c,0,0,0,0
coreutil,lib/getgroups.c,0,2,0,2
coreutil,lib/localcharset.c,0,2,0,2
coreutil,lib/strnumcmp.c,0,0,0,0
coreutil,lib/closedir.c,0,0,0,0
coreutil,lib/gettime.c,0,0,0,0
coreutil,lib/setlocale_null-unlocked.c,2,0,0,2
coreutil,lib/basename.c,0,0,0,0
coreutil,lib/asprintf.c,0,0,0,0
coreutil,lib/pipe2.c,0,0,0,0
coreutil,lib/fchownat.c,0,0,0,0
coreutil,lib/mbtowc-lock.c,0,1,0,1
coreutil,lib/gettime-res.c,2,1,0,3
coreutil,lib/write-any-file.c,0,0,0,0
coreutil,lib/fd-safer.c,0,0,0,0
coreutil,lib/printf-args.c,1,0,0,1
coreutil,lib/fcntl.c,2,1,0,3
coreutil,lib/iconv_open.c,0,2,0,2
coreutil,lib/getopt1.c,0,2,0,2
coreutil,lib/fchmodat.c,0,0,0,0
coreutil,lib/modechange.c,5,0,3,5
coreutil,lib/version-etc.c,2,0,0,2
coreutil,lib/stdlib.c,0,0,0,0
coreutil,lib/fseterr.c,0,0,0,0
coreutil,lib/windows-mutex.c,0,1,0,1
coreutil,lib/isnand.c,0,0,0,0
coreutil,lib/acl-internal.c,11,0,0,11
coreutil,lib/hard-locale.c,0,0,0,0
coreutil,lib/i-ring.c,1,0,0,1
coreutil,lib/iswdigit.c,0,0,0,0
coreutil,lib/idcache.c,6,0,0,6
coreutil,lib/progname.c,0,0,0,0
coreutil,lib/rawmemchr.c,1,2,0,3
coreutil,lib/uinttostr.c,0,0,0,0
coreutil,lib/getrandom.c,0,0,0,0
coreutil,lib/dtimespec-bound.c,0,0,0,0
coreutil,lib/freadptr.c,0,0,0,0
coreutil,lib/c32isupper.c,0,0,0,0
coreutil,lib/posixtm.c,2,1,0,3
coreutil,lib/xstrtod.c,0,0,0,0
coreutil,lib/uniwidth/width.c,0,0,0,0
coreutil,lib/dtoastr.c,0,0,0,0
coreutil,lib/mbrlen.c,0,0,0,0
coreutil,lib/qcopy-acl.c,0,0,0,0
coreutil,lib/crc-generate-table.c,4,0,0,4
coreutil,lib/c32isprint.c,0,0,0,0
coreutil,lib/imaxtostr.c,0,0,0,0
coreutil,lib/ialloc.c,0,0,0,0
coreutil,lib/stdio-write.c,0,0,0,0
coreutil,lib/xasprintf.c,0,0,0,0
coreutil,lib/xstrtol.c,0,2,0,2
coreutil,lib/filevercmp.c,2,6,0,8
