Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  152 | This is Boomerang v0.5.2
Msg   | src/boomerang/util/log/Log.cpp          |  153 | Log initialized.
Msg   | src/boomerang/util/log/Log.cpp          |  154 | Log level is 'Msg'.
Msg   | src/boomerang/core/Project.cpp          |  351 | Loading plugins...
Msg   | src/boomerang/ssl/RTLInstDict.cpp       |   56 | Loading machine specifications from '/usr/share/boomerang/ssl/ppc.ssl'...
Msg   | src/boomerang/ssl/RTLInstDict.cpp       |   56 | Loading machine specifications from '/usr/share/boomerang/ssl/sparc.ssl'...
Msg   | src/boomerang/ssl/RTLInstDict.cpp       |   56 | Loading machine specifications from '/usr/share/boomerang/ssl/x86.ssl'...
Msg   | src/boomerang/ssl/RTLInstDict.cpp       |   56 | Loading machine specifications from '/usr/share/boomerang/ssl/st20.ssl'...
Msg   | src/boomerang/core/Project.cpp          |  365 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  368 |   C Code Generator plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  372 |   Capstone PPC decoder plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  372 |   Capstone SPARC decoder plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  372 |   Capstone x86 decoder plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  372 |   ST20 decoder plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  376 |   DOS4GW loader plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  376 |   ELF32 loader plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  376 |   DOS Exe loader plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  376 |   Mach-O loader plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  376 |   ST20 .bin loader plugin [experimental] v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  376 |   Win32 PE loader plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  380 |   PPC FrontEnd plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  380 |   SPARC FrontEnd plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  380 |   ST20 FrontEnd plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  380 |   X86 FrontEnd plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  384 |   C Symbol Provider plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  388 |   DFA Type Recovery plugin v0.5.2 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  108 | Loading binary file '/tmp/tmpd2tpczwy/tmpjizf_4gx'
Warn  | src/boomerang-plugins/loader/elf/ElfBin |  528 | Skipping symbol __libc_start_main@GLIBC_2.34 with unknown location
Warn  | src/boomerang-plugins/loader/elf/ElfBin |  528 | Skipping symbol printf@GLIBC_2.4 with unknown location
Warn  | src/boomerang-plugins/loader/elf/ElfBin |  528 | Skipping symbol puts@GLIBC_2.4 with unknown location
Warn  | src/boomerang-plugins/loader/elf/ElfBin |  528 | Skipping symbol abort@GLIBC_2.4 with unknown location
Warn  | src/boomerang-plugins/loader/elf/ElfBin | 1063 | Unhandled relocation!
Warn  | src/boomerang-plugins/loader/elf/ElfBin | 1063 | Unhandled relocation!
Warn  | src/boomerang-plugins/loader/elf/ElfBin | 1063 | Unhandled relocation!
Warn  | src/boomerang-plugins/loader/elf/ElfBin | 1063 | Unhandled relocation!
Warn  | src/boomerang-plugins/loader/elf/ElfBin | 1063 | Unhandled relocation!
Warn  | src/boomerang-plugins/loader/elf/ElfBin | 1063 | Unhandled relocation!
Error | src/boomerang-plugins/loader/elf/ElfBin |  755 | Unsupported machine type 40
Error | src/boomerang/core/Project.cpp          |  282 | Machine architecture not supported!
Error | src/boomerang/core/Project.cpp          |  296 | Cannot create FrontEnd: Plugin not found.
Error | src/boomerang/core/Project.cpp          |  175 | Cannot decode binary file: No suitable frontend found.
